sequenceID,log_lambda_test_fold1,log_lambda_test_fold2,target_1,target_2,fold_1_total_labels,fold_2_total_labels,fold_1_fp_errs,fold_1_fn_errs,fold_1_tp,fold_1_tn,fold_2_fp_errs,fold_2_fn_errs,fold_2_tp,fold_2_tn
1.1,-0.5,0.5,"[-2.3025851, inf]","[-2.3025851, 1.1512926]",2,1,0,0,1,0,0,0,1,0
1.11,-0.5,0.0,"[-2.3025851, inf]","[-1.1512926, 1.1512926]",1,1,0,0,0,1,0,0,1,0
1.15,-1.0,-0.0,"[-2.3025851, 0.0]","[-3.4538777, inf]",1,1,0,0,1,0,0,0,0,1
1.6,-0.5,0.0,"[-1.1512926, 1.1512926]","[-2.3025851, inf]",1,1,0,0,1,0,0,0,0,1
1.9,-1.0,0.0,"[-1.1512926, 1.1512926]","[0.0, inf]",1,1,0,0,1,0,0,0,0,1
106.11,-0.5,0.0,"[0.0, inf]","[0.0, 2.3025851]",2,1,0,0,0,2,0,0,1,0
106.17,-0.5,0.0,"[-1.1512926, inf]","[-2.3025851, 2.3025851]",2,1,0,0,0,2,0,0,1,0
106.5,-0.5,0.5,"[0.0, inf]","[-3.4538777, -1.1512926]",2,1,1,0,0,1,0,1,0,0
106.6,-0.5,0.0,"[-2.3025851, inf]","[-3.4538777, 0.0]",2,1,0,0,0,2,0,0,1,0
106.9,-0.5,0.0,"[-3.4538777, 0.0]","[-2.3025851, inf]",1,1,0,0,1,0,0,0,0,1
109.2,-0.5,0.5,"[-1.1512926, inf]","[-1.1512926, 0.0]",1,1,0,0,0,1,0,0,1,0
109.8,-0.5,0.5,"[-3.4538777, 0.0]","[-3.4538777, inf]",1,1,0,0,1,0,0,0,0,1
11.1,-0.5,0.5,"[0.0, 2.3025851]","[0.0, inf]",1,1,0,0,1,0,0,0,0,1
11.4,-0.5,0.0,"[-1.1512926, 0.0]","[-1.1512926, inf]",1,1,0,0,1,0,0,0,0,1
12.1,-0.0,0.5,"[-1.1512926, 1.1512926]","[-3.4538777, 0.0]",2,1,0,0,1,1,0,0,1,0
12.11,-0.5,0.0,"[-1.1512926, inf]","[-2.3025851, 2.3025851]",2,1,0,0,0,2,0,0,1,0
12.17,-0.5,0.0,"[-1.1512926, inf]","[-1.1512926, 2.3025851]",2,1,0,0,0,2,0,0,1,0
12.2,-0.5,0.5,"[-2.3025851, inf]","[-3.4538777, 1.1512926]",2,1,0,0,0,2,0,0,1,0
12.6,-0.5,0.0,"[-3.4538777, inf]","[-2.3025851, 1.1512926]",2,1,0,0,0,2,0,0,1,0
12.X,-0.5,0.0,"[-1.1512926, 0.0]","[-2.3025851, 0.0]",3,2,0,0,1,2,0,0,1,1
128.12,-0.5,0.0,"[-1.1512926, inf]","[-2.3025851, 0.0]",2,1,0,0,0,2,0,0,1,0
128.17,-0.5,0.0,"[-1.1512926, inf]","[0.0, 2.3025851]",2,1,0,0,0,2,0,0,1,0
128.2,-0.5,0.5,"[-2.3025851, inf]","[-3.4538777, 0.0]",2,1,0,0,0,2,0,0,1,0
128.3,-0.5,0.0,"[-1.1512926, inf]","[-2.3025851, 1.1512926]",2,1,0,0,0,2,0,0,1,0
128.6,-0.5,0.0,"[-2.3025851, inf]","[-3.4538777, 0.0]",2,1,0,0,0,2,0,0,1,0
138.1,-0.0,0.5,"[-1.1512926, inf]","[-1.1512926, 1.1512926]",2,1,0,0,0,2,0,0,1,0
139.3,-0.5,0.5,"[-2.3025851, inf]","[-3.4538777, 0.0]",2,1,0,0,0,2,0,0,1,0
139.4,-0.5,0.0,"[-3.4538777, inf]","[-5.7564626, -1.1512926]",1,1,0,0,0,1,0,0,0,0
139.7,-0.5,0.0,"[-1.1512926, inf]","[-2.3025851, 1.1512926]",2,1,0,0,0,2,0,0,1,0
145.1,-0.5,0.5,"[-2.3025851, 1.1512926]","[-2.3025851, inf]",1,1,0,0,1,0,0,0,0,1
145.17,-0.5,0.0,"[0.0, 1.1512926]","[-1.1512926, inf]",1,1,0,0,1,0,0,0,0,1
145.19,-1.5,-0.5,"[-4.6051702, inf]","[-2.3025851, -1.1512926]",1,1,0,0,0,1,0,0,0,0
145.2,-0.5,0.0,"[-2.3025851, 1.1512926]","[-3.4538777, inf]",1,1,0,0,1,0,0,0,0,1
145.3,-0.5,0.0,"[0.0, 1.1512926]","[-3.4538777, inf]",1,1,0,0,1,0,0,0,0,1
145.4,-0.5,0.0,"[-2.3025851, -1.1512926]","[-3.4538777, -1.1512926]",2,1,0,0,1,1,0,0,0,0
145.6,-1.0,0.0,"[-2.3025851, 0.0]","[-3.4538777, inf]",2,1,0,0,2,0,0,0,0,1
145.7,-1.0,0.0,"[-3.4538777, 0.0]","[-3.4538777, inf]",1,1,0,0,1,0,0,0,0,1
149.1,-0.0,0.5,"[-1.1512926, inf]","[-3.4538777, -1.1512926]",1,1,0,0,0,1,0,0,0,0
149.11,-0.5,0.0,"[-2.3025851, 1.1512926]","[-1.1512926, inf]",1,1,0,0,1,0,0,0,0,1
149.2,-0.5,0.5,"[-4.6051702, 0.0]","[-2.3025851, inf]",2,1,0,1,1,0,0,0,0,1
149.6,-0.5,0.0,"[-3.4538777, -2.3025851]","[-3.4538777, 1.1512926]",2,1,0,1,0,1,0,0,1,0
153.11,-0.5,0.0,"[-1.1512926, 0.0]","[0.0, inf]",1,1,0,0,1,0,0,0,0,1
153.17,-0.5,0.0,"[0.0, inf]","[-1.1512926, 0.0]",2,1,0,0,0,2,0,0,1,0
153.18,-1.0,-0.0,"[-2.3025851, inf]","[-3.4538777, -1.1512926]",2,1,0,0,0,2,0,0,0,0
153.2,-0.5,0.5,"[0.0, inf]","[-3.4538777, 1.1512926]",2,1,0,0,0,2,0,0,1,0
153.4,-0.5,0.0,"[-2.3025851, inf]","[-3.4538777, 0.0]",2,1,0,0,0,2,0,0,1,0
153.7,-1.0,0.0,"[0.0, inf]","[-2.3025851, -1.1512926]",2,1,0,0,0,2,0,1,0,0
162.1,-0.5,0.5,"[-1.1512926, inf]","[-3.4538777, 0.0]",1,1,0,0,0,1,0,1,0,0
162.11,-0.5,0.0,"[-1.1512926, inf]","[-1.1512926, 1.1512926]",2,1,0,0,0,2,0,0,1,0
162.17,-0.5,0.0,"[-2.3025851, inf]","[-1.1512926, 1.1512926]",2,1,0,0,0,2,0,0,1,0
162.19,-1.5,-0.0,"[-2.3025851, inf]","[-2.3025851, 0.0]",1,1,0,0,0,1,0,0,1,0
162.22,-1.0,-0.0,"[-1.1512926, -1.1512926]","[-4.6051702, inf]",1,1,0,0,1,0,0,0,0,1
162.3,-0.5,0.0,"[-1.1512926, 0.0]","[-3.4538777, 1.1512926]",3,2,0,0,1,2,0,0,1,1
162.5,-0.5,0.0,"[-1.1512926, inf]","[-1.1512926, 1.1512926]",2,1,0,0,0,2,0,0,1,0
162.7,-1.0,0.0,"[-2.3025851, inf]","[-2.3025851, 0.0]",2,1,0,0,0,2,0,0,1,0
162.8,-1.0,0.0,"[-1.1512926, 0.0]","[-4.6051702, inf]",1,1,0,0,1,0,0,0,0,1
17.1,-0.5,0.5,"[-3.4538777, inf]","[-2.3025851, 0.0]",2,1,0,0,0,2,0,0,1,0
17.11,-0.5,0.0,"[-3.4538777, -1.1512926]","[-1.1512926, 0.0]",2,2,0,1,0,1,0,0,1,1
172.1,-0.0,0.5,"[-1.1512926, inf]","[-1.1512926, 0.0]",1,1,0,0,0,1,0,1,0,0
172.17,-0.5,0.0,"[-2.3025851, inf]","[-2.3025851, 0.0]",2,1,0,0,0,2,0,0,1,0
172.3,-0.5,0.5,"[-3.4538777, inf]","[-3.4538777, 0.0]",2,1,0,0,0,2,0,0,1,0
172.4,-0.5,0.0,"[-2.3025851, inf]","[-3.4538777, -1.1512926]",2,1,0,0,0,2,0,1,0,0
173.11,-0.5,0.0,"[-1.1512926, inf]","[-3.4538777, 0.0]",2,1,0,0,0,2,0,0,1,0
173.15,-1.0,-0.0,"[-3.4538777, inf]","[-2.3025851, 0.0]",1,1,0,0,0,1,0,0,1,0
173.16,-1.0,-0.0,"[-2.3025851, inf]","[-3.4538777, 0.0]",2,1,0,0,0,2,0,0,1,0
173.19,-1.5,-0.5,"[-inf, inf]","[-1.1512926, inf]",1,1,0,0,1,0,0,0,0,1
173.4,-0.5,0.0,"[-3.4538777, 0.0]","[-2.3025851, inf]",1,1,0,0,1,0,0,0,0,1
173.8,-1.0,0.0,"[-1.1512926, inf]","[-4.6051702, 0.0]",2,1,0,0,0,2,0,0,1,0
188.1,-0.0,0.5,"[-1.1512926, inf]","[-2.3025851, 2.3025851]",2,1,0,0,0,2,0,0,1,0
188.2,-0.5,0.5,"[-1.1512926, 1.1512926]","[-3.4538777, inf]",1,1,0,0,1,0,0,0,0,1
188.3,-0.5,0.5,"[0.0, inf]","[-1.1512926, 2.3025851]",2,1,0,0,0,2,0,0,1,0
188.6,-0.5,0.0,"[-3.4538777, 1.1512926]","[-2.3025851, inf]",1,1,0,0,1,0,0,0,0,1
188.9,-0.5,0.0,"[-2.3025851, inf]","[-2.3025851, 1.1512926]",1,1,0,0,0,1,0,0,1,0
189.1,-0.0,0.5,"[0.0, inf]","[-1.1512926, 1.1512926]",1,1,0,0,0,1,0,0,1,0
189.11,-0.5,0.0,"[-1.1512926, inf]","[-2.3025851, 2.3025851]",2,1,0,0,0,2,0,0,1,0
189.15,-0.5,0.0,"[-2.3025851, inf]","[-1.1512926, 0.0]",2,1,0,0,0,2,0,0,1,0
189.17,-0.5,0.5,"[-1.1512926, inf]","[-1.1512926, 2.3025851]",2,1,0,0,0,2,0,0,1,0
189.18,-0.5,0.0,"[-2.3025851, -1.1512926]","[-3.4538777, -1.1512926]",2,1,0,1,0,1,0,1,0,0
189.2,-0.5,0.5,"[-2.3025851, inf]","[-3.4538777, -1.1512926]",1,1,0,0,0,1,0,1,0,0
189.20,-0.5,0.0,"[-2.3025851, inf]","[0.0, 0.0]",1,1,0,0,0,1,0,0,1,0
189.3,-0.5,0.5,"[-2.3025851, 1.1512926]","[-2.3025851, inf]",1,1,0,0,1,0,0,0,0,1
189.5,-0.5,0.5,"[-2.3025851, inf]","[-2.3025851, 1.1512926]",2,1,0,0,0,2,0,0,1,0
189.X,-0.5,0.0,"[-1.1512926, 0.0]","[-2.3025851, inf]",1,1,0,0,1,0,0,0,0,1
2.1,-0.0,0.5,"[-1.1512926, inf]","[-2.3025851, 3.4538777]",2,1,0,0,0,2,0,0,1,0
2.19,-1.0,-0.0,"[-2.3025851, 0.0]","[-3.4538777, inf]",1,1,0,0,1,0,0,0,0,1
20003.2,0.5,1.0,"[1.1512926, 4.6051702]","[2.3025851, inf]",2,2,1,0,1,0,2,0,0,0
20005.2,0.5,1.0,"[1.1512926, 1.1512926]","[2.3025851, 4.6051702]",4,4,1,0,3,0,2,0,1,1
