sequenceID,log_lambda_test_fold1,log_lambda_test_fold2,target_1,target_2,fold_1_total_labels,fold_2_total_labels,fold_1_fp_errs,fold_1_fn_errs,fold_1_tp,fold_1_tn,fold_2_fp_errs,fold_2_fn_errs,fold_2_tp,fold_2_tn
1.1,0.02902764,0.73317486,"[-1.0, inf]","[-1.0, 0.5]",2,1,1,0,1,0,0,0,1,0
1.11,0.06774828,0.751693,"[-1.0, inf]","[-0.5, 0.5]",1,1,0,0,0,1,0,0,1,0
1.15,0.09549439,0.7649626,"[-1.0, 0.0]","[-1.5, inf]",1,1,0,0,1,0,0,0,0,1
1.6,0.06582779,0.75077456,"[-0.5, 0.5]","[-1.0, inf]",1,1,0,0,1,0,0,0,0,1
1.9,0.07850164,0.7568358,"[-0.5, 0.5]","[0.0, inf]",1,1,0,0,1,0,0,0,0,1
106.11,0.05839488,0.74721974,"[0.0, inf]","[0.0, 1.0]",2,1,0,0,0,2,0,0,1,0
106.17,0.060483932,0.74821883,"[-0.5, inf]","[-1.0, 1.0]",2,1,0,0,0,2,0,0,1,0
106.5,0.04940349,0.7429196,"[0.0, inf]","[-1.5, -0.5]",2,1,0,0,0,2,0,1,0,0
106.6,0.054278225,0.74525094,"[-1.0, inf]","[-1.5, 0.0]",2,1,0,0,0,2,0,1,0,0
106.9,0.064237654,0.75001407,"[-1.5, 0.0]","[-1.0, inf]",1,1,0,0,1,0,0,0,0,1
109.2,0.033323854,0.73522955,"[-0.5, inf]","[-0.5, 0.0]",1,1,0,0,0,1,0,0,1,0
109.8,0.043611676,0.7401497,"[-1.5, 0.0]","[-1.5, inf]",1,1,0,0,1,0,0,0,0,1
11.1,0.027671486,0.7325263,"[0.0, 1.0]","[0.0, inf]",1,1,0,0,1,0,0,0,0,1
11.4,0.0625135,0.7491895,"[-0.5, 0.0]","[-0.5, inf]",1,1,0,0,1,0,0,0,0,1
12.1,0.025264025,0.7313749,"[-0.5, 0.5]","[-1.5, 0.0]",2,1,0,0,1,1,0,1,0,0
12.11,0.05839488,0.74721974,"[-0.5, inf]","[-1.0, 1.0]",2,1,0,0,0,2,0,0,1,0
12.17,0.060483932,0.74821883,"[-0.5, inf]","[-0.5, 1.0]",2,1,0,0,0,2,0,0,1,0
12.2,0.04044184,0.73863375,"[-1.0, inf]","[-1.5, 0.5]",2,1,0,0,0,2,0,0,1,0
12.6,0.054278225,0.74525094,"[-1.5, inf]","[-1.0, 0.5]",2,1,0,0,0,2,0,0,1,0
12.X,0.060681045,0.7483131,"[-0.5, 0.0]","[-1.0, 0.0]",3,2,0,0,1,2,0,0,1,1
128.12,0.060093462,0.7480321,"[-0.5, inf]","[-1.0, 0.0]",2,1,0,0,0,2,0,0,1,0
128.17,0.070863575,0.7531829,"[-0.5, inf]","[0.0, 1.0]",2,1,0,0,0,2,0,0,1,0
128.2,0.051229984,0.74379313,"[-1.0, inf]","[-1.5, 0.0]",2,1,0,0,0,2,0,0,1,0
128.3,0.06401691,0.7499085,"[-0.5, inf]","[-1.0, 0.5]",2,1,0,0,0,2,0,0,1,0
128.6,0.069268286,0.75241995,"[-1.0, inf]","[-1.5, 0.0]",2,1,0,0,0,2,0,0,1,0
138.1,0.019360334,0.7285515,"[-0.5, inf]","[-0.5, 0.5]",2,1,0,0,0,2,0,0,1,0
139.3,0.049677283,0.7430506,"[-1.0, inf]","[-1.5, 0.0]",2,1,0,0,0,2,0,1,0,0
139.4,0.05271536,0.7445035,"[-1.5, inf]","[-2.5, -0.5]",1,1,0,0,0,1,0,1,0,0
139.7,0.06148219,0.74869627,"[-0.5, inf]","[-1.0, 0.5]",2,1,0,0,0,2,0,0,1,0
145.1,0.033714265,0.73541623,"[-1.0, 0.5]","[-1.0, inf]",1,1,0,0,1,0,0,0,0,1
145.17,0.06774828,0.751693,"[0.0, 0.5]","[-0.5, inf]",1,1,0,0,1,0,0,0,0,1
145.19,0.12957549,0.78126186,"[-2.0, inf]","[-1.0, -0.5]",1,1,0,0,0,1,0,1,0,0
145.2,0.055091083,0.7456397,"[-1.0, 0.5]","[-1.5, inf]",1,1,0,0,1,0,0,0,0,1
145.3,0.06629714,0.75099903,"[0.0, 0.5]","[-1.5, inf]",1,1,0,0,1,0,0,0,0,1
145.4,0.073120415,0.7542622,"[-1.0, -0.5]","[-1.5, -0.5]",2,1,0,1,0,1,0,1,0,0
145.6,0.07554433,0.75542146,"[-1.0, 0.0]","[-1.5, inf]",2,1,0,0,2,0,0,0,0,1
145.7,0.08749789,0.76113826,"[-1.5, 0.0]","[-1.5, inf]",1,1,0,0,1,0,0,0,0,1
149.1,0.026865035,0.7321406,"[-0.5, inf]","[-1.5, -0.5]",1,1,0,0,0,1,0,1,0,0
149.11,0.06379768,0.74980366,"[-1.0, 0.5]","[-0.5, inf]",1,1,0,0,1,0,0,0,0,1
149.2,0.044635147,0.74063915,"[-2.0, 0.0]","[-1.0, inf]",2,1,0,1,1,0,0,0,0,1
149.6,0.06168574,0.7487936,"[-1.5, -1.0]","[-1.5, 0.5]",2,1,0,1,0,1,0,0,1,0
153.11,0.07032302,0.7529244,"[-0.5, 0.0]","[0.0, inf]",1,1,0,0,1,0,0,0,0,1
153.17,0.06799665,0.7518118,"[0.0, inf]","[-0.5, 0.0]",2,1,0,0,0,2,0,1,0,0
153.18,0.0972158,0.7657859,"[-1.0, inf]","[-1.5, -0.5]",2,1,0,0,0,2,0,1,0,0
153.2,0.05065593,0.7435186,"[0.0, inf]","[-1.5, 0.5]",2,1,0,0,0,2,0,0,1,0
153.4,0.06799665,0.7518118,"[-1.0, inf]","[-1.5, 0.0]",2,1,0,0,0,2,0,1,0,0
153.7,0.079195976,0.7571679,"[0.0, inf]","[-1.0, -0.5]",2,1,0,0,0,2,0,1,0,0
162.1,0.030595481,0.7339247,"[-0.5, inf]","[-1.5, 0.0]",1,1,0,0,0,1,0,1,0,0
162.11,0.072829634,0.75412315,"[-0.5, inf]","[-0.5, 0.5]",2,1,0,0,0,2,0,0,1,0
162.17,0.06979135,0.7526701,"[-1.0, inf]","[-0.5, 0.5]",2,1,0,0,0,2,0,0,1,0
162.19,0.1257019,0.77940935,"[-1.0, inf]","[-1.0, 0.0]",1,1,0,0,0,1,0,1,0,0
162.22,0.099022955,0.76665014,"[-0.5, -0.5]","[-2.0, inf]",1,1,0,1,0,0,0,0,0,1
162.3,0.06379768,0.74980366,"[-0.5, 0.0]","[-1.5, 0.5]",3,2,0,0,1,2,0,0,1,1
162.5,0.0602881,0.7481252,"[-0.5, inf]","[-0.5, 0.5]",2,1,0,0,0,2,0,0,1,0
162.7,0.0795486,0.7573365,"[-1.0, inf]","[-1.0, 0.0]",2,1,0,0,0,2,0,1,0,0
162.8,0.077486455,0.7563503,"[-0.5, 0.0]","[-2.0, inf]",1,1,0,0,1,0,0,0,0,1
17.1,0.029562742,0.7334308,"[-1.5, inf]","[-1.0, 0.0]",2,1,0,0,0,2,0,0,1,0
17.11,0.0690099,0.7522964,"[-1.5, -0.5]","[-0.5, 0.0]",2,2,0,1,0,1,0,1,0,1
172.1,0.025264025,0.7313749,"[-0.5, inf]","[-0.5, 0.0]",1,1,0,0,0,1,0,1,0,0
172.17,0.060483932,0.74821883,"[-1.0, inf]","[-1.0, 0.0]",2,1,0,0,0,2,0,1,0,0
