sequenceID,log_lambda_test_fold1,log_lambda_test_fold2,target_1,target_2,fold_1_total_labels,fold_2_total_labels,fold_1_fp_errs,fold_1_fn_errs,fold_1_tp,fold_1_tn,fold_2_fp_errs,fold_2_fn_errs,fold_2_tp,fold_2_tn
1.1,-0.08905843,0.0066700983,"[0.25, 0.5]","[-2.5, 2.0]",2,1,1,0,1,0,0,0,1,0
1.11,-0.7730053,-0.58363646,"[-2.25, 7.0]","[-1.25, 2.0]",1,1,0,0,0,1,0,0,1,0
1.15,-0.2945286,-0.21411546,"[-3.25, 0.0]","[-3.75, 7.0]",1,1,0,0,1,0,0,0,0,1
1.6,-0.71161616,-0.53362364,"[-2.25, 1.5]","[-2.75, 7.0]",1,1,0,0,1,0,0,0,0,1
1.9,-0.33364117,-0.23961486,"[-2.0, 1.25]","[-1.0, 7.0]",1,1,0,0,1,0,0,0,0,1
106.11,0.07320738,0.125809,"[-1.0, 7.0]","[-0.5, 2.75]",2,1,0,0,0,2,0,0,1,0
106.17,-0.27200234,-0.17987527,"[-1.0, 7.0]","[-2.25, 2.75]",2,1,0,0,0,2,0,0,1,0
106.5,-0.29830116,-0.1921347,"[-0.25, 7.0]","[-3.25, -0.5]",2,1,0,0,0,2,0,1,0,0
106.6,-1.0675273,-1.007941,"[-2.75, 7.0]","[-3.5, 0.25]",2,1,0,0,0,2,0,0,1,0
106.9,-1.2829692,-1.4467037,"[-3.5, 0.0]","[-3.25, 7.0]",1,1,0,0,1,0,0,0,0,1
109.2,-0.9757046,-0.7074142,"[-1.5, 7.0]","[-1.5, 0.75]",1,1,0,0,0,1,0,0,1,0
109.8,-1.6572587,-1.9767883,"[-3.75, 0.5]","[-3.5, 7.0]",1,1,0,0,1,0,0,0,0,1
11.1,0.017966673,0.15340947,"[-0.75, 2.25]","[-1.0, 7.0]",1,1,0,0,1,0,0,0,0,1
11.4,-0.65192544,-0.48418525,"[-1.5, 0.5]","[-2.0, 7.0]",1,1,0,0,1,0,0,0,0,1
12.1,-0.6060394,-0.3975778,"[-1.75, 1.0]","[-4.0, 0.5]",2,1,0,0,1,1,0,0,1,0
12.11,-0.34565932,-0.23696382,"[-1.0, 7.0]","[-2.25, 2.75]",2,1,0,0,0,2,0,0,1,0
12.17,-0.44350713,-0.3161604,"[-1.75, 7.0]","[-1.0, 2.5]",2,1,0,0,0,2,0,0,1,0
12.2,-1.3792006,-1.449196,"[-2.75, 7.0]","[-3.25, 1.75]",2,1,0,0,0,2,0,0,1,0
12.6,-0.73714024,-0.54602087,"[-3.75, 7.0]","[-3.25, 1.0]",2,1,0,0,0,2,0,0,1,0
12.X,-0.88625246,-0.7218783,"[-1.25, 0.75]","[-2.75, 0.75]",3,2,0,0,1,2,0,0,1,1
128.12,-1.4582603,-1.7398808,"[-1.75, 7.0]","[-2.5, 0.75]",2,1,0,0,0,2,0,0,1,0
128.17,-0.38539696,-0.27701816,"[-2.25, 7.0]","[-0.5, 2.5]",2,1,0,0,0,2,0,0,1,0
128.2,-1.470763,-1.7058879,"[-3.25, 7.0]","[-4.0, 1.0]",2,1,0,0,0,2,0,0,1,0
128.3,-0.99608284,-0.9360718,"[-1.0, 7.0]","[-2.25, 1.25]",2,1,0,0,0,2,0,0,1,0
128.6,-1.5654507,-1.9727865,"[-3.25, 7.0]","[-4.25, 0.75]",2,1,0,0,0,2,0,0,1,0
138.1,-1.2787557,-0.94834965,"[-1.0, 7.0]","[-2.0, 1.5]",2,1,1,0,0,1,0,0,1,0
139.3,-1.567965,-1.8676896,"[-3.0, 7.0]","[-4.0, 0.5]",2,1,0,0,0,2,0,0,1,0
139.4,-1.4252574,-1.633762,"[-4.25, 7.0]","[-5.75, -0.75]",1,1,0,0,0,1,0,0,1,0
139.7,-0.434506,-0.31072995,"[-1.75, 7.0]","[-2.75, 2.0]",2,1,0,0,0,2,0,0,1,0
145.1,-0.8501095,-0.6099341,"[-2.25, 1.5]","[-2.5, 7.0]",1,1,0,0,1,0,0,0,0,1
145.17,-0.9303275,-0.8329028,"[-0.75, 1.75]","[-2.25, 7.0]",1,1,1,0,0,0,0,0,0,1
145.19,-1.4706725,-1.9173839,"[-5.0, 7.0]","[-3.25, -0.75]",1,1,0,0,0,1,0,0,1,0
145.2,-1.0322267,-0.94854176,"[-3.0, 1.0]","[-3.5, 7.0]",1,1,0,0,1,0,0,0,0,1
145.3,-0.5861618,-0.4346982,"[-1.0, 1.5]","[-3.75, 7.0]",1,1,0,0,1,0,0,0,0,1
145.4,-1.0740348,-1.1093369,"[-3.25, -0.25]","[-4.25, -0.25]",2,1,0,0,1,1,0,0,1,0
145.6,-1.0627291,-1.0978874,"[-3.0, 0.0]","[-3.5, 7.0]",2,1,0,0,2,0,0,0,0,1
145.7,-0.7230066,-0.5532804,"[-4.25, 0.5]","[-4.0, 7.0]",1,1,0,0,1,0,0,0,0,1
149.1,-1.0565639,-0.7606827,"[-1.75, 7.0]","[-4.0, -1.0]",1,1,0,0,0,1,0,1,0,0
149.11,-1.1120982,-1.1397831,"[-2.5, 1.5]","[-2.0, 7.0]",1,1,0,0,1,0,0,0,0,1
149.2,-1.1213969,-1.0283676,"[-1.75, -1.75]","[-2.5, 7.0]",2,1,0,1,1,0,0,0,0,1
149.6,-1.4908893,-1.8046354,"[-3.75, -1.5]","[-3.5, 1.0]",2,1,0,0,1,1,0,0,1,0
153.11,-0.75320715,-0.56942326,"[-2.0, 0.0]","[-1.0, 7.0]",1,1,0,0,1,0,0,0,0,1
153.17,-0.84351826,-0.68020797,"[-1.0, 7.0]","[-1.5, 0.25]",2,1,0,0,0,2,0,0,1,0
153.18,-1.0507948,-1.1296993,"[-2.5, 7.0]","[-3.5, -0.25]",2,1,0,0,0,2,0,0,1,0
153.2,-0.73726887,-0.54215837,"[-0.75, 7.0]","[-3.5, 1.25]",2,1,0,0,0,2,0,0,1,0
153.4,-0.70625204,-0.53068393,"[-3.25, 7.0]","[-3.5, 0.5]",2,1,0,0,0,2,0,0,1,0
153.7,-0.6773991,-0.51347977,"[-1.0, 7.0]","[-3.0, -0.25]",2,1,0,0,0,2,0,0,1,0
162.1,-1.0186311,-0.73802656,"[-1.5, 7.0]","[-3.5, 0.25]",1,1,0,0,0,1,0,0,1,0
162.11,-0.58439523,-0.43647608,"[-1.25, 7.0]","[-1.5, 1.25]",2,1,0,0,0,2,0,0,1,0
162.17,-0.89534646,-0.7796208,"[-2.5, 7.0]","[-1.5, 1.5]",2,1,0,0,0,2,0,0,1,0
162.19,-1.0735574,-1.2053494,"[-2.25, 7.0]","[-2.75, 0.0]",1,1,0,0,0,1,0,0,1,0
162.22,-1.3085779,-1.5929474,"[-1.75, -0.75]","[-5.0, 7.0]",1,1,0,0,1,0,0,0,0,1
162.3,-0.65450925,-0.4871429,"[-2.0, 0.0]","[-3.5, 1.5]",3,2,0,0,1,2,0,0,1,1
162.5,-0.7543337,-0.5645632,"[-1.75, 7.0]","[-1.75, 1.25]",2,1,0,0,0,2,0,0,1,0
162.7,-1.369439,-1.6587857,"[-2.75, 7.0]","[-3.0, 0.25]",2,1,0,0,0,2,0,0,1,0
162.8,-1.3143418,-1.5533038,"[-2.0, 0.25]","[-5.0, 7.0]",1,1,0,0,1,0,0,0,0,1
17.1,-1.4921744,-1.51151,"[-3.5, 7.0]","[-2.75, 0.75]",2,1,0,0,0,2,0,0,1,0
17.11,-1.2396245,-1.390415,"[-4.0, -0.75]","[-2.0, 0.5]",2,2,0,0,1,1,0,0,1,1
172.1,-1.6459587,-1.7160076,"[-1.25, 7.0]","[-2.0, 0.25]",1,1,1,0,0,0,0,0,1,0
172.17,-1.2809616,-1.4246444,"[-2.5, 7.0]","[-2.5, 0.5]",2,1,0,0,0,2,0,0,1,0
172.3,-1.6795125,-2.0642638,"[-3.75, 7.0]","[-4.25, 0.5]",2,1,0,0,0,2,0,0,1,0
172.4,-1.6958134,-2.113204,"[-2.75, 7.0]","[-4.0, -0.25]",2,1,0,0,0,2,0,0,1,0
173.11,-1.3661697,-1.6318083,"[-2.0, 7.0]","[-4.0, 0.75]",2,1,0,0,0,2,0,0,1,0
173.15,-1.1669149,-1.3460371,"[-3.75, 7.0]","[-3.0, 0.25]",1,1,0,0,0,1,0,0,1,0
173.16,-1.3958812,-1.750734,"[-2.75, 7.0]","[-3.25, 0.25]",2,1,0,0,0,2,0,0,1,0
173.19,-1.2009242,-1.4359566,"[-2.25, -1.25]","[-1.75, 7.0]",1,1,0,0,1,0,0,0,0,1
173.4,-1.0144303,-1.0044602,"[-3.75, 0.25]","[-2.5, 7.0]",1,1,0,0,1,0,0,0,0,1
173.8,-0.30604225,-0.22012527,"[-1.25, 7.0]","[-4.75, 0.25]",2,1,0,0,0,2,0,0,1,0
188.1,-1.1145811,-0.8014319,"[-2.0, 7.0]","[-2.75, 2.25]",2,1,0,0,0,2,0,0,1,0
188.2,-1.0145361,-0.7993037,"[-1.5, 2.0]","[-3.25, 7.0]",1,1,0,0,1,0,0,0,0,1
188.3,-0.13414033,-0.060283024,"[-0.75, 7.0]","[-1.75, 2.25]",2,1,0,0,0,2,0,0,1,0
188.6,-1.4628468,-1.714395,"[-3.5, 1.25]","[-2.75, 7.0]",1,1,0,0,1,0,0,0,0,1
