sequenceID,log_lambda,fold_1_total_labels,fold_2_total_labels,fold_1_fp_errs,fold_1_fn_errs,fold_1_tp,fold_1_tn,fold_2_fp_errs,fold_2_fn_errs,fold_2_tp,fold_2_tn
1.1,0.2596590306224476,2,1,0,0,1,1,0,0,1,0
1.11,0.20900144944842117,1,1,0,0,0,1,0,0,1,0
1.15,0.16868502393768328,1,1,0,1,0,0,0,0,0,1
1.6,0.21165822526999897,1,1,0,0,1,0,0,0,0,1
1.9,0.1938171969759164,1,1,0,0,1,0,0,0,0,1
106.11,0.2217904064106154,2,1,0,0,0,2,0,0,1,0
106.17,0.2189665013225638,2,1,0,0,0,2,0,0,1,0
106.5,0.23373926599582934,2,1,0,0,0,2,0,1,0,0
106.6,0.2273019867658422,2,1,0,0,0,2,0,1,0,0
106.9,0.21384576329806765,1,1,0,1,0,0,0,0,0,1
109.2,0.2543211307709985,1,1,0,0,0,1,0,0,1,0
109.8,0.2412656277203367,1,1,0,0,1,0,0,0,0,1
11.1,0.2613304813893438,1,1,0,0,1,0,0,0,0,1
11.4,0.2162053201101166,1,1,0,0,1,0,0,0,0,1
12.1,0.26428190880680996,2,1,0,0,1,1,0,0,1,0
12.11,0.2217904064106154,2,1,0,0,0,2,0,0,1,0
12.17,0.2189665013225638,2,1,0,0,0,2,0,0,1,0
12.2,0.2453302284380189,2,1,0,0,0,2,0,0,1,0
12.6,0.2273019867658422,2,1,0,0,0,2,0,0,1,0
12.X,0.2186991168288243,3,2,0,0,1,2,0,0,1,1
128.12,0.2194957388834299,2,1,0,0,0,2,0,0,1,0
128.17,0.20465684324807049,2,1,0,0,0,2,0,0,1,0
128.2,0.23133850242214044,2,1,0,0,0,2,0,0,1,0
128.3,0.21414859974770414,2,1,0,0,0,2,0,0,1,0
128.6,0.2068870674064101,2,1,0,0,0,2,0,0,1,0
138.1,0.2714357285784885,2,1,0,0,0,2,0,0,1,0
139.3,0.2333802544220712,2,1,0,0,0,2,0,0,1,0
139.4,0.2293762014501474,1,1,0,0,0,1,0,1,0,0
139.7,0.217610588076712,2,1,0,0,0,2,0,0,1,0
145.1,0.25383278030498085,1,1,0,0,1,0,0,0,0,1
145.17,0.20900144944842117,1,1,0,0,1,0,0,0,0,1
145.19,0.11342048172456715,1,1,0,0,0,1,0,1,0,0
145.2,0.22621919302815313,1,1,0,0,1,0,0,0,0,1
145.3,0.2110103973656908,1,1,0,0,1,0,0,0,0,1
145.4,0.20148209337592743,2,1,0,1,0,1,0,1,0,0
145.6,0.19804629447826907,2,1,0,1,1,0,0,0,0,1
145.7,0.18069316646596112,1,1,0,0,1,0,0,0,0,1
149.1,0.26232140112353475,1,1,0,0,0,1,0,1,0,0
149.11,0.21444911931418809,1,1,0,0,1,0,0,0,0,1
149.2,0.23994512775649413,2,1,0,2,0,0,0,0,0,1
149.6,0.21733358534749428,2,1,0,1,0,1,0,0,1,0
153.11,0.20541382554468873,1,1,0,1,0,0,0,0,0,1
153.17,0.20865663811012994,2,1,0,0,0,2,0,1,0,0
153.18,0.1660560185081056,2,1,0,0,0,2,0,1,0,0
153.2,0.23209448578174527,2,1,0,0,0,2,0,0,1,0
153.4,0.20865663811012994,2,1,0,0,0,2,0,0,1,0
153.7,0.19281830225172847,2,1,0,0,0,2,0,1,0,0
162.1,0.2577186188411308,1,1,0,0,0,1,0,1,0,0
162.11,0.20189245794476857,2,1,0,0,0,2,0,0,1,0
162.17,0.20615708646214853,2,1,0,0,0,2,0,0,1,0
162.19,0.12006772288148755,1,1,0,0,0,1,0,1,0,0
162.22,0.16327882830678556,1,1,0,1,0,0,0,0,0,1
162.3,0.21444911931418809,3,2,0,1,0,2,0,0,1,1
162.5,0.21923203432530516,2,1,0,0,0,2,0,0,1,0
162.7,0.19231012541000514,2,1,0,0,0,2,0,0,1,0
162.8,0.19527364131849825,1,1,0,1,0,0,0,0,0,1
17.1,0.25899773859726866,2,1,0,0,0,2,0,0,1,0
17.11,0.20724721028978185,2,2,0,1,0,1,0,0,1,1
172.1,0.26428190880680996,1,1,0,0,0,1,0,1,0,0
172.17,0.2189665013225638,2,1,0,0,0,2,0,0,1,0
172.3,0.2339174222496588,2,1,0,0,0,2,0,0,1,0
172.4,0.23037065045275087,2,1,0,0,0,2,0,1,0,0
173.11,0.20148209337592743,2,1,0,0,0,2,0,0,1,0
173.15,0.15721528281616864,1,1,0,0,0,1,0,0,1,0
173.16,0.16133746325406365,2,1,0,0,0,2,0,0,1,0
173.19,0.11342048172456715,1,1,0,1,0,0,0,0,0,1
173.4,0.2010676596075257,1,1,0,1,0,0,0,0,0,1
173.8,0.18510863355239704,2,1,0,0,0,2,0,1,0,0
188.1,0.26428190880680996,2,1,0,0,0,2,0,0,1,0
188.2,0.24520234865162863,1,1,0,0,1,0,0,0,0,1
188.3,0.2339174222496588,2,1,0,0,0,2,0,0,1,0
188.6,0.2273019867658422,1,1,0,0,1,0,0,0,0,1
188.9,0.21384576329806765,1,1,0,0,0,1,0,0,1,0
189.1,0.2715459504541108,1,1,0,0,0,1,0,0,1,0
189.11,0.22977725729032833,2,1,0,0,0,2,0,0,1,0
189.15,0.20189245794476857,2,1,0,0,0,2,0,0,1,0
189.17,0.23228102036316756,2,1,0,0,0,2,0,0,1,0
189.18,0.19893182522317596,2,1,0,1,0,1,0,1,0,0
189.2,0.2543211307709985,1,1,0,0,0,1,0,1,0,0
189.20,0.2027012628583536,1,1,0,0,0,1,0,0,1,0
189.3,0.25190608211738114,1,1,0,0,1,0,0,0,0,1
189.5,0.24169471684006077,2,1,0,0,0,2,0,0,1,0
189.X,0.22814583839572472,1,1,0,0,1,0,0,0,0,1
2.1,0.26140785452134635,2,1,0,0,0,2,0,0,1,0
2.19,0.14909793881244868,1,1,0,0,1,0,0,0,0,1
20003.2,0.3623763445532909,2,2,0,0,2,0,2,0,0,0
20005.2,0.3623763445532909,4,4,0,0,4,0,2,0,1,1
20005.3,0.3587571622734708,3,3,1,0,2,0,0,0,3,0
20033.11,0.35234993703382217,2,2,1,0,1,0,0,0,2,0
20052.3,0.3587571622734708,2,1,1,0,1,0,0,0,1,0
20082.22,0.36419573315328035,2,2,1,0,1,0,2,0,0,0
20090.20,0.37450936869667767,2,1,1,0,1,0,1,0,0,0
20092.19,0.36809606155577806,1,1,1,0,0,0,1,0,0,0
20105.22,0.36419573315328035,2,1,1,1,0,0,0,1,0,0
20108.20,0.37450936869667767,2,2,2,0,0,0,2,0,0,0
20109.20,0.37450936869667767,2,1,1,0,0,1,0,0,1,0
20118.2,0.3623763445532909,5,4,2,0,3,0,1,0,3,0
20119.2,0.3623763445532909,2,2,0,0,2,0,0,0,1,1
20121.14,0.3420844527266171,2,2,0,0,2,0,1,0,1,0
20121.7,0.35328369671602483,2,2,0,0,1,1,0,0,2,0
20124.1,0.3602588295733776,1,1,1,0,0,0,1,0,0,0
20124.16,0.3386990844333224,1,1,1,0,0,0,1,0,0,0
20124.2,0.3623763445532909,1,1,1,0,0,0,1,0,0,0
20124.3,0.3587571622734708,2,1,2,0,0,0,1,0,0,0
20129.20,0.3737854900824001,2,1,1,0,0,1,0,0,1,0
20133.X,0.3239805443558167,3,3,1,0,2,0,0,1,2,0
20134.X,0.3239805443558167,3,3,1,0,2,0,0,1,2,0
20135.14,0.3098479559661734,3,2,0,0,1,2,0,0,1,1
20136.17,0.3063374239331533,2,1,1,0,1,0,0,0,1,0
20138.1,0.33358778911887815,2,2,1,0,0,1,0,2,0,0
20139.12,0.32017680031065715,2,1,1,1,0,0,0,1,0,0
20139.16,0.3064970795984083,3,2,2,1,0,0,0,2,0,0
20139.17,0.3063374239331533,2,2,0,0,2,0,2,0,0,0
20139.3,0.33014954816769093,1,1,0,0,1,0,1,0,0,0
20139.4,0.329222759921963,2,1,0,1,1,0,1,0,0,0
20139.5,0.3279199782633881,2,1,1,1,0,0,0,1,0,0
20140.14,0.3098479559661734,2,1,1,0,1,0,0,0,1,0
20140.15,0.30764058537384575,2,1,0,1,0,1,0,1,0,0
20141.12,0.32017680031065715,2,1,0,1,0,1,0,1,0,0
20141.14,0.3098479559661734,2,1,1,0,1,0,0,0,1,0
20141.5,0.3279199782633881,2,1,0,1,0,1,0,1,0,0
20142.18,0.3051427728178888,1,1,1,0,0,0,0,0,1,0
20142.22,0.28155114080309257,4,3,0,3,1,0,0,2,0,1
20143.X,0.3239805443558167,3,2,0,0,3,0,1,0,1,0
20144.14,0.3098479559661734,3,2,0,1,1,1,0,1,1,0
20144.9,0.31821690869712743,2,1,1,1,0,0,0,1,0,0
20145.1,0.33358778911887815,2,1,0,1,0,1,0,1,0,0
20145.10,0.320506460299419,2,1,0,1,0,1,0,1,0,0
20145.12,0.32017680031065715,2,1,0,1,0,1,0,1,0,0
20145.14,0.3098479559661734,2,1,0,0,1,1,0,0,1,0
20145.4,0.329222759921963,2,2,0,0,1,1,0,0,1,1
20145.8,0.3225063337514497,2,1,0,1,0,1,0,1,0,0
20145.9,0.31821690869712743,3,2,1,0,2,0,0,0,2,0
20145.X,0.3239805443558167,3,3,0,0,2,1,0,0,3,0
20146.17,0.3063374239331533,1,1,0,0,1,0,0,0,0,1
20146.4,0.329222759921963,2,1,0,0,1,1,0,0,1,0
20148.1,0.33358778911887815,3,3,1,1,1,0,0,1,2,0
20151.14,0.3098479559661734,3,2,0,1,2,0,1,1,0,0
20151.17,0.3063374239331533,1,1,0,0,1,0,1,0,0,0
20154.4,0.329222759921963,3,2,0,1,2,0,2,0,0,0
20154.9,0.31821690869712743,2,1,1,0,1,0,0,0,1,0
20157.11,0.32023209249325535,3,2,2,0,1,0,0,0,2,0
