sequenceID,log_lambda_test_fold1,log_lambda_test_fold2,target_1,target_2,fold_1_total_labels,fold_2_total_labels,fold_1_fp_errs,fold_1_fn_errs,fold_1_tp,fold_1_tn,fold_2_fp_errs,fold_2_fn_errs,fold_2_tp,fold_2_tn
1.1,0.47955847,1.54305,"[0.25, 0.5]","[-2.5, 2.0]",2,1,0,1,0,1,0,0,1,0
1.11,-0.05357933,1.222718,"[-2.25, 7.0]","[-1.25, 2.0]",1,1,0,0,0,1,0,0,1,0
1.15,-0.4356115,0.9931767,"[-3.25, 0.0]","[-3.75, 7.0]",1,1,0,1,0,0,0,0,0,1
1.6,-0.027136803,1.238606,"[-2.25, 1.5]","[-2.75, 7.0]",1,1,0,0,1,0,0,0,0,1
1.9,-0.20164108,1.1337562,"[-2.0, 1.25]","[-1.0, 7.0]",1,1,0,0,1,0,0,0,0,1
106.11,0.075205326,1.3000977,"[-1.0, 7.0]","[-0.5, 2.75]",2,1,0,0,0,2,0,0,1,0
106.17,0.046441555,1.282815,"[-1.0, 7.0]","[-2.25, 2.75]",2,1,0,0,0,2,0,0,1,0
106.5,0.19900656,1.3744826,"[-0.25, 7.0]","[-3.25, -0.5]",2,1,0,0,0,2,0,1,0,0
106.6,0.13188744,1.3341544,"[-2.75, 7.0]","[-3.5, 0.25]",2,1,0,0,0,2,0,0,1,0
106.9,-0.0052428246,1.251761,"[-3.5, 0.0]","[-3.25, 7.0]",1,1,0,1,0,0,0,0,0,1
109.2,0.42040443,1.507508,"[-1.5, 7.0]","[-1.5, 0.75]",1,1,0,0,0,1,0,0,1,0
109.8,0.27875328,1.4223976,"[-3.75, 0.5]","[-3.5, 7.0]",1,1,0,1,0,0,0,0,0,1
11.1,0.49823093,1.5542696,"[-0.75, 2.25]","[-1.0, 7.0]",1,1,0,0,1,0,0,0,0,1
11.4,0.01849699,1.2660246,"[-1.5, 0.5]","[-2.0, 7.0]",1,1,0,1,0,0,0,0,0,1
12.1,0.5313792,1.5741863,"[-1.75, 1.0]","[-4.0, 0.5]",2,1,0,1,0,1,0,0,1,0
12.11,0.075205326,1.3000977,"[-1.0, 7.0]","[-2.25, 2.75]",2,1,0,0,0,2,0,0,1,0
12.17,0.046441555,1.282815,"[-1.75, 7.0]","[-1.0, 2.5]",2,1,0,0,0,2,0,0,1,0
12.2,0.3223982,1.4486215,"[-2.75, 7.0]","[-3.25, 1.75]",2,1,0,0,0,2,0,0,1,0
12.6,0.13188744,1.3341544,"[-3.75, 7.0]","[-3.25, 1.0]",2,1,0,0,0,2,0,0,1,0
12.X,0.043727875,1.2811844,"[-1.25, 0.75]","[-2.75, 0.75]",3,2,0,1,0,2,0,0,1,1
128.12,0.05181837,1.2860456,"[-1.75, 7.0]","[-2.5, 0.75]",2,1,0,0,0,2,0,0,1,0
128.17,-0.096473694,1.1969454,"[-2.25, 7.0]","[-0.5, 2.5]",2,1,0,0,0,2,0,0,1,0
128.2,0.17385817,1.3593724,"[-3.25, 7.0]","[-4.0, 1.0]",2,1,0,0,0,2,0,0,1,0
128.3,-0.0022029877,1.2535872,"[-1.0, 7.0]","[-2.25, 1.25]",2,1,0,0,0,2,0,0,1,0
128.6,-0.07450819,1.2101431,"[-3.25, 7.0]","[-4.25, 0.75]",2,1,0,0,0,2,0,0,1,0
138.1,0.61266613,1.6230271,"[-1.0, 7.0]","[-2.0, 1.5]",2,1,0,0,0,2,0,0,1,0
139.3,0.19523668,1.3722177,"[-3.0, 7.0]","[-4.0, 0.5]",2,1,0,0,0,2,0,0,1,0
139.4,0.15340614,1.3470838,"[-4.25, 7.0]","[-5.75, -0.75]",1,1,0,0,0,1,0,1,0,0
139.7,0.032696724,1.2745566,"[-1.75, 7.0]","[-2.75, 2.0]",2,1,0,0,0,2,0,0,1,0
145.1,0.41502905,1.5042782,"[-2.25, 1.5]","[-2.5, 7.0]",1,1,0,0,1,0,0,0,0,1
145.17,-0.05357933,1.222718,"[-0.75, 1.75]","[-2.25, 7.0]",1,1,0,0,1,0,0,0,0,1
145.19,-0.9048686,0.71122694,"[-5.0, 7.0]","[-3.25, -0.75]",1,1,0,0,0,1,0,0,1,0
145.2,0.120695114,1.3274295,"[-3.0, 1.0]","[-3.5, 7.0]",1,1,0,1,0,0,0,0,0,1
145.3,-0.033599377,1.2347229,"[-1.0, 1.5]","[-3.75, 7.0]",1,1,0,0,1,0,0,0,0,1
145.4,-0.12754774,1.1782746,"[-3.25, -0.25]","[-4.25, -0.25]",2,1,0,1,0,1,0,0,1,0
145.6,-0.16092205,1.158222,"[-3.0, 0.0]","[-3.5, 7.0]",2,1,0,2,0,0,0,0,0,1
145.7,-0.32550907,1.0593312,"[-4.25, 0.5]","[-4.0, 7.0]",1,1,0,1,0,0,0,0,0,1
149.1,0.50933504,1.5609412,"[-1.75, 7.0]","[-4.0, -1.0]",1,1,0,0,0,1,0,1,0,0
149.11,0.00081539154,1.2554009,"[-2.5, 1.5]","[-2.0, 7.0]",1,1,0,0,1,0,0,0,0,1
149.2,0.2646613,1.4139307,"[-1.75, -1.75]","[-2.5, 7.0]",2,1,0,2,0,0,0,0,0,1
149.6,0.029894352,1.2728727,"[-3.75, -1.5]","[-3.5, 1.0]",2,1,0,1,0,1,0,0,1,0
153.11,-0.08903122,1.2014172,"[-2.0, 0.0]","[-1.0, 7.0]",1,1,0,1,0,0,0,0,0,1
153.17,-0.056999207,1.2206631,"[-1.0, 7.0]","[-1.5, 0.25]",2,1,0,0,0,2,0,0,1,0
153.18,-0.4593134,0.9789357,"[-2.5, 7.0]","[-3.5, -0.25]",2,1,0,0,0,2,0,0,1,0
153.2,0.18176222,1.3641214,"[-0.75, 7.0]","[-3.5, 1.25]",2,1,0,0,0,2,0,0,1,0
153.4,-0.056999207,1.2206631,"[-3.25, 7.0]","[-3.5, 0.5]",2,1,0,0,0,2,0,0,1,0
153.7,-0.21120167,1.128012,"[-1.0, 7.0]","[-3.0, -0.25]",2,1,0,0,0,2,0,0,1,0
162.1,0.4579711,1.5300796,"[-1.5, 7.0]","[-3.5, 0.25]",1,1,0,0,0,1,0,1,0,0
162.11,-0.123544216,1.1806803,"[-1.25, 7.0]","[-1.5, 1.25]",2,1,0,0,0,2,0,0,1,0
162.17,-0.08171034,1.2058158,"[-2.5, 7.0]","[-1.5, 1.5]",2,1,0,0,0,2,0,0,1,0
162.19,-0.8515339,0.74327254,"[-2.25, 7.0]","[-2.75, 0.0]",1,1,0,0,0,1,0,0,1,0
162.22,-0.4841957,0.9639852,"[-1.75, -0.75]","[-5.0, 7.0]",1,1,0,1,0,0,0,0,0,1
162.3,0.00081539154,1.2554009,"[-2.0, 0.0]","[-3.5, 1.5]",3,2,0,1,0,2,0,0,1,1
162.5,0.049138546,1.2844353,"[-1.75, 7.0]","[-1.75, 1.25]",2,1,0,0,0,2,0,0,1,0
162.7,-0.21605635,1.1250949,"[-2.75, 7.0]","[-3.0, 0.25]",2,1,0,0,0,2,0,0,1,0
162.8,-0.18766308,1.1421549,"[-2.0, 0.25]","[-5.0, 7.0]",1,1,0,1,0,0,0,0,0,1
17.1,0.47219038,1.5386233,"[-3.5, 7.0]","[-2.75, 0.75]",2,1,0,0,0,2,0,0,1,0
17.11,-0.07095051,1.2122808,"[-4.0, -0.75]","[-2.0, 0.5]",2,2,0,1,0,1,0,0,1,1
172.1,0.5313792,1.5741863,"[-1.25, 7.0]","[-2.0, 0.25]",1,1,0,0,0,1,0,1,0,0
172.17,0.046441555,1.282815,"[-2.5, 7.0]","[-2.5, 0.5]",2,1,0,0,0,2,0,0,1,0
172.3,0.20087814,1.375607,"[-3.75, 7.0]","[-4.25, 0.5]",2,1,0,0,0,2,0,0,1,0
172.4,0.16375923,1.3533044,"[-2.75, 7.0]","[-4.0, -0.25]",2,1,0,0,0,2,0,1,0,0
173.11,-0.12754774,1.1782746,"[-2.0, 7.0]","[-4.0, 0.75]",2,1,0,0,0,2,0,0,1,0
