method,fold,F1
linear.1,1,96.14791987673343
linear.2,1,97.31389102072143
linear.4,1,97.83616692426584
linear.1,2,96.37625289128758
linear.2,2,97.06790123456791
linear.4,2,97.15165511932256
linear.1,3,96.77926158680283
linear.2,3,97.03125
linear.4,3,97.48822605965464
linear.1,4,96.57273419649658
linear.2,4,97.2644376899696
linear.4,4,97.56468797564688
linear.1,5,95.56057185854027
linear.2,5,96.1854899027674
linear.4,5,96.79343773303505
linear.1,6,96.30746043707612
linear.2,6,96.32408102025506
linear.4,6,97.06103993971364
linear.117,1,97.60247486465585
linear.117,2,97.23502304147465
linear.117,3,97.41176470588235
linear.117,4,97.26858877086494
linear.117,5,96.73105497771174
linear.117,6,96.2406015037594
mmit.1,1,92.1965317919075
mmit.117,1,96.12403100775194
mmit.2,1,92.1965317919075
mmit.4,1,96.67440061871616
mmit.1,2,94.01840490797547
mmit.117,2,96.0060286360211
mmit.2,2,94.01840490797547
mmit.4,2,82.83712784588442
mmit.1,3,92.4872355944566
mmit.117,3,96.28482972136223
mmit.2,3,92.4087591240876
mmit.4,3,87.92517006802721
mmit.1,4,92.61648745519715
mmit.117,4,96.01203912716328
mmit.2,4,92.75985663082437
mmit.4,4,97.31800766283524
mmit.1,5,93.24424647364515
mmit.117,5,95.10173323285606
mmit.2,5,93.24424647364515
mmit.4,5,84.20168067226889
mmit.1,6,94.60269865067467
mmit.117,6,95.88235294117648
mmit.2,6,94.60269865067467
mmit.4,6,90.199203187251
aft_xgboost.1,1,96.36363636363636
aft_xgboost.117,1,96.36913767019666
aft_xgboost.2,1,96.2121212121212
aft_xgboost.4,1,96.36913767019666
aft_xgboost.1,2,95.46142208774583
aft_xgboost.117,2,96.91032403918614
aft_xgboost.2,2,95.61933534743203
aft_xgboost.4,2,97.04769114307342
aft_xgboost.1,3,95.90100541376644
aft_xgboost.117,3,97.68518518518519
aft_xgboost.2,3,97.04968944099377
aft_xgboost.4,3,96.98841698841699
aft_xgboost.1,4,96.31855747558227
aft_xgboost.117,4,96.0960960960961
aft_xgboost.2,4,96.31855747558227
aft_xgboost.4,4,96.25748502994011
aft_xgboost.1,5,94.90022172949001
aft_xgboost.117,5,96.5925925925926
aft_xgboost.2,5,95.9349593495935
aft_xgboost.4,5,96.07116382505559
aft_xgboost.1,6,96.06533036377134
aft_xgboost.117,6,96.46017699115043
aft_xgboost.2,6,95.79955784819454
aft_xgboost.4,6,96.6740576496674
mlp.1,1,96.6565349544073
mlp.2,1,97.26027397260275
mlp.4,1,98.85604900459418
mlp.117,1,97.75604900459418
mlp.1,2,96.63608562691131
mlp.2,2,96.92307692307692
mlp.4,2,98.09035222052067
mlp.117,2,96.99035222052067
mlp.1,3,96.63799843627834
mlp.2,3,96.95550351288057
mlp.4,3,97.40769835035351
mlp.117,3,97.10769835035351
mlp.1,4,96.73500379650723
mlp.2,4,96.96509863429439
mlp.4,4,97.72036474164135
mlp.117,4,97.02036474164135
mlp.1,5,96.26307922272048
mlp.2,5,96.1854899027674
mlp.4,5,97.30941704035874
mlp.117,5,96.30941704035874
mlp.1,6,96.60377358490567
mlp.2,6,96.25187406296851
mlp.4,6,97.14714714714715
mlp.117,6,96.14714714714715
