method,fold,feature engineer,acc
BIC.1,1,yes,90.29790623923273
BIC.1,2,yes,91.02108338963347
BIC.1,3,yes,93.48936567042527
BIC.1,4,yes,91.46966720617337
BIC.1,5,yes,89.16374774604193
BIC.1,6,yes,92.23352278772427
linear.1,1,yes,96.80723224969687
linear.2,1,yes,97.29650723312635
linear.4,1,yes,97.5653759093983
linear.1,2,yes,96.5928439343584
linear.2,2,yes,97.91783933971335
linear.4,2,yes,97.51480469968767
linear.1,3,yes,97.40549599194394
linear.2,3,yes,97.76123892292433
linear.4,3,yes,96.9341111692401
linear.1,4,yes,97.21593775156975
linear.2,4,yes,97.21480678747594
linear.4,4,yes,97.48335833377138
linear.1,5,yes,96.36104733229428
linear.2,5,yes,97.65206021430363
linear.4,5,yes,97.39461619862513
linear.1,6,yes,95.97874945734276
linear.2,6,yes,96.5563906049838
linear.4,6,yes,96.3190364152491
linear.117,1,yes,97.54832207272362
linear.117,2,yes,97.5244117443922
linear.117,3,yes,97.68111624746825
linear.117,4,yes,97.47259535101175
linear.117,5,yes,98.43885350207282
linear.117,6,yes,96.51107211365782
mmit.1,1,no,88.63901743755586
mmit.2,1,no,88.59182487958616
mmit.4,1,no,97.39862890135707
mmit.117,1,no,95.84723147934365
mmit.1,2,no,87.85427903779286
mmit.2,2,no,88.6044010142596
mmit.4,2,no,97.47471798927924
mmit.117,2,no,88.69990205583044
mmit.1,3,no,89.89216893213671
mmit.2,3,no,89.89494346548216
mmit.4,3,no,97.0040621022934
mmit.117,3,no,97.31080023460896
mmit.1,4,no,90.67292860918789
mmit.2,4,no,90.86932776726358
mmit.4,4,no,96.58314462778918
mmit.117,4,no,96.52502535097628
mmit.1,5,no,87.36000826997888
mmit.2,5,no,87.00497119807278
mmit.4,5,no,96.71189490862608
mmit.117,5,no,96.67309098256733
mmit.1,6,no,88.76777218364833
mmit.2,6,no,88.83916334945289
mmit.4,6,no,96.94981574705085
mmit.117,6,no,95.25098015402281
mlp.1,1,yes,96.65551602908278
mlp.2,1,yes,98.87230156940029
mlp.4,1,yes,98.56495215299117
mlp.1,2,yes,97.77643678443238
mlp.2,2,yes,98.19801100863091
mlp.4,2,yes,99.009531919323
mlp.1,3,yes,95.0957672660679
mlp.2,3,yes,97.71696153706054
mlp.4,3,yes,98.31051327044784
mlp.1,4,yes,95.18582192163139
mlp.2,4,yes,97.57757521338822
mlp.4,4,yes,98.06932350856191
mlp.1,5,yes,96.58252804563733
mlp.2,5,yes,98.4990347082002
mlp.4,5,yes,98.74633749066643
mlp.1,6,yes,97.02473966429251
mlp.2,6,yes,97.48827652839896
mlp.4,6,yes,97.50462221965374
mlp.117,1,no,97.71146594259214
mlp.117,2,no,97.75476316506267
mlp.117,3,no,97.80986829707055
mlp.117,4,no,98.01464784241641
mlp.117,5,no,98.54360530467018
mlp.117,6,no,98.03466062887289
aft_xgboost.1,1,no,96.32176212460932
aft_xgboost.117,1,no,96.56656623857627
aft_xgboost.2,1,no,94.67380268721593
aft_xgboost.4,1,no,95.99907674519476
aft_xgboost.1,2,no,96.67198890756167
aft_xgboost.117,2,no,96.61961288651646
aft_xgboost.2,2,no,95.7238610036406
aft_xgboost.4,2,no,96.5202410372008
aft_xgboost.1,3,no,97.02170133099588
aft_xgboost.117,3,no,95.94881038939776
aft_xgboost.2,3,no,95.80675858085421
aft_xgboost.4,3,no,95.93489188154966
aft_xgboost.1,4,no,96.33570097936192
aft_xgboost.117,4,no,96.13739024760794
aft_xgboost.2,4,no,95.71318185223991
aft_xgboost.4,4,no,96.59251275208722
aft_xgboost.1,5,no,96.21364074688115
aft_xgboost.117,5,no,96.30862375754397
aft_xgboost.2,5,no,95.04921849188761
aft_xgboost.4,5,no,96.83904370712492
aft_xgboost.1,6,no,95.23125400246337
aft_xgboost.117,6,no,95.94052755505139
aft_xgboost.2,6,no,95.67350556324611
aft_xgboost.4,6,no,95.98739357260493
