method,fold,acc
linear_unreg.1,1,81.08995403808274
linear_unreg.2,1,80.8929743926461
linear_unreg.4,1,80.63033486539724
linear_unreg.1,2,80.57343475716795
linear_unreg.2,2,80.39789350497367
linear_unreg.4,2,78.75950848449385
linear_L1reg.100,1,81.02429415627051
linear_L1reg.100,2,79.87126974839087
mmit.1,1,80.8929743926461
mmit.2,1,80.49901510177281
mmit.4,1,79.97373604727511
mmit.1,2,79.98829724985372
mmit.2,2,80.57343475716795
mmit.4,2,78.93504973668813
mmit.100,1,79.71109652002626
mmit.100,2,77.76477472205968
mlp_hingesquare.4,1,80.3676953381484
mlp_hingesquare.4,2,80.16383850204798
mlp_hingesquare_new_features.1,1,80.82731451083389
mlp_hingesquare_new_features.2,1,81.22127380170716
mlp_hingesquare_new_features.4,1,80.49901510177281
mlp_hingesquare_new_features.1,2,80.69046225863077
mlp_hingesquare_new_features.2,2,81.50965476887069
mlp_hingesquare_new_features.4,2,81.04154476301932
mlp_hingesquare.2,1,80.69599474720945
mlp_hingesquare.2,2,79.9297834991223
mlp_hingesquare.1,1,81.02429415627051
mlp_hingesquare.1,2,80.2223522527794
mlp_hingesquare.100,1,78.79185817465529
mlp_hingesquare.100,2,79.4031597425395
rf_linear.1,1,80.8929743926461
rf_linear.10,1,80.82731451083389
rf_linear.2,1,81.08995403808274
rf_linear.4,1,81.483913328956
rf_linear.1,2,79.98829724985372
rf_linear.10,2,80.63194850789935
rf_linear.2,2,80.33937975424224
rf_linear.4,2,80.63194850789935
rf_power_linear.1,1,80.8929743926461
rf_power_linear.2,1,80.82731451083389
rf_power_linear.4,1,80.76165462902168
rf_power_linear.1,2,80.04681100058514
rf_power_linear.2,2,80.2223522527794
rf_power_linear.4,2,78.93504973668813
rf_power_lq.1,1,81.15561391989495
rf_power_lq.2,1,80.69599474720945
rf_power_lq.4,1,80.3676953381484
rf_power_lq.6,1,80.69599474720945
rf_power_lq.1,2,80.33937975424224
rf_power_lq.2,2,80.69046225863077
rf_power_lq.4,2,80.45640725570509
rf_power_lq.6,2,80.80748976009362
