method,fold,acc
linear_unreg.1,1,76.37695805962608
linear_unreg.2,1,79.18140474987368
linear_unreg.4,1,79.18140474987368
linear_unreg.1,2,76.54467680608364
linear_unreg.2,2,85.09980988593155
linear_unreg.4,2,85.1235741444867
linear_unreg.1,3,78.54624355844861
linear_unreg.2,3,81.50257662055871
linear_unreg.4,3,81.66531055058313
linear_unreg.1,4,76.42767295597484
linear_unreg.2,4,77.9874213836478
linear_unreg.4,4,79.84905660377358
linear_L1reg.100,1,87.97372410308236
linear_L1reg.100,2,92.79942965779468
linear_L1reg.100,3,91.42934635204772
linear_L1reg.100,4,86.23899371069183
mmit.1,1,78.60030318342596
mmit.2,1,90.60131379484588
mmit.4,1,84.10813542193026
mmit.1,2,74.12072243346007
mmit.2,2,87.38117870722434
mmit.4,2,88.07034220532319
mmit.1,3,79.4684024952536
mmit.2,3,88.82560347165717
mmit.4,3,88.1475454298888
mmit.1,4,77.15723270440252
mmit.2,4,90.1383647798742
mmit.4,4,85.43396226415095
mmit.100,1,80.77311773623042
mmit.100,2,80.65589353612167
mmit.100,3,88.52725793327909
mmit.100,4,90.26415094339625
mlp_hingesquare.4,1,86.05356240525518
mlp_hingesquare.4,2,90.85076045627376
mlp_hingesquare.4,3,88.1475454298888
mlp_hingesquare.4,4,89.28301886792453
mlp_hingesquare_new_features.1,1,79.23193532086913
mlp_hingesquare_new_features.2,1,82.56695300656898
mlp_hingesquare_new_features.4,1,86.88731682668013
mlp_hingesquare_new_features.1,2,74.76235741444867
mlp_hingesquare_new_features.2,2,89.9477186311787
mlp_hingesquare_new_features.4,2,92.79942965779468
mlp_hingesquare_new_features.1,3,78.43775427176566
mlp_hingesquare_new_features.2,3,88.12042310821806
mlp_hingesquare_new_features.4,3,90.26308652020612
mlp_hingesquare_new_features.1,4,75.64779874213836
mlp_hingesquare_new_features.2,4,83.59748427672956
mlp_hingesquare_new_features.4,4,85.73584905660377
mlp_hingesquare.2,1,84.76503284487114
mlp_hingesquare.2,2,91.4448669201521
mlp_hingesquare.2,3,89.01545972335232
mlp_hingesquare.2,4,86.9937106918239
mlp_hingesquare.1,1,77.81707933299646
mlp_hingesquare.1,2,76.47338403041825
mlp_hingesquare.1,3,79.19717927854624
mlp_hingesquare.1,4,77.05660377358491
mlp_hingesquare.100,1,88.17584638706417
mlp_hingesquare.100,2,93.037072243346
mlp_hingesquare.100,3,91.5649579604014
mlp_hingesquare.100,4,90.26415094339625
rf_linear.1,1,77.69075290550784
rf_linear.10,1,83.12278928751896
rf_linear.2,1,82.84487114704396
rf_linear.4,1,84.53764527539161
rf_linear.1,2,74.1444866920152
rf_linear.10,2,90.47053231939164
rf_linear.2,2,86.95342205323195
rf_linear.4,2,87.23859315589354
rf_linear.1,3,76.97314890154597
rf_linear.10,3,88.7713588283157
rf_linear.2,3,83.26552752915649
rf_linear.4,3,84.4317873609981
rf_linear.1,4,74.44025157232704
rf_linear.10,4,85.10691823899371
rf_linear.2,4,82.49056603773585
rf_linear.4,4,84.95597484276729
rf_power_linear.1,1,77.18544719555331
rf_power_linear.2,1,78.90348660939868
rf_power_linear.4,1,84.99242041435068
rf_power_linear.8,1,84.66397170288025
rf_power_linear.1,2,75.40399239543726
rf_power_linear.2,2,80.94106463878326
rf_power_linear.4,2,89.59125475285171
rf_power_linear.8,2,88.94961977186313
rf_power_linear.1,3,77.73257390832656
rf_power_linear.2,3,81.1771087605099
rf_power_linear.4,3,88.12042310821806
rf_power_linear.8,3,87.55085435313262
rf_power_linear.1,4,75.59748427672956
rf_power_linear.2,4,77.63522012578616
rf_power_linear.4,4,85.50943396226415
rf_power_linear.8,4,85.48427672955975
rf_power_lq.1,1,72.96614451743305
rf_power_lq.2,1,74.40626579080345
rf_power_lq.4,1,72.46083880747852
rf_power_lq.6,1,72.15765538150582
rf_power_lq.8,1,72.68822637695807
rf_power_lq.1,2,66.68250950570342
rf_power_lq.2,2,66.61121673003802
rf_power_lq.4,2,66.46863117870723
rf_power_lq.6,2,66.4448669201521
rf_power_lq.8,2,65.89828897338404
rf_power_lq.1,3,71.16897206400868
rf_power_lq.2,3,70.6536479522647
rf_power_lq.4,3,71.81990778410632
rf_power_lq.6,3,71.30458367236236
rf_power_lq.8,3,71.27746135069162
rf_power_lq.1,4,70.66666666666667
rf_power_lq.2,4,70.76729559748428
rf_power_lq.4,4,69.55974842767296
rf_power_lq.6,4,69.13207547169812
rf_power_lq.8,4,69.63522012578616
