method,fold,acc
linear_unreg.1,1,72.1311475409836
linear_unreg.2,1,81.31147540983606
linear_unreg.4,1,77.70491803278688
linear_unreg.1,2,77.95031055900621
linear_unreg.2,2,77.95031055900621
linear_unreg.4,2,74.22360248447205
linear_L1reg.100,1,81.31147540983606
linear_L1reg.100,2,81.36645962732919
mmit.1,1,75.08196721311475
mmit.2,1,75.73770491803279
mmit.4,1,75.08196721311475
mmit.1,2,67.08074534161491
mmit.2,2,73.6024844720497
mmit.4,2,77.01863354037268
mmit.100,1,74.75409836065575
mmit.100,2,78.26086956521739
mlp_hingesquare.4,1,79.01639344262294
mlp_hingesquare.4,2,76.08695652173914
mlp_hingesquare_new_features.1,1,78.36065573770492
mlp_hingesquare_new_features.2,1,79.67213114754098
mlp_hingesquare_new_features.4,1,71.47540983606558
mlp_hingesquare_new_features.1,2,47.82608695652174
mlp_hingesquare_new_features.2,2,52.48447204968944
mlp_hingesquare_new_features.4,2,75.15527950310559
mlp_hingesquare.2,1,79.67213114754098
mlp_hingesquare.2,2,79.8136645962733
mlp_hingesquare.1,1,75.40983606557377
mlp_hingesquare.1,2,78.57142857142857
mlp_hingesquare.100,1,68.85245901639344
mlp_hingesquare.100,2,77.01863354037268
