method,fold,acc
linear_unreg.1,1,66.92015209125475
linear_unreg.2,1,68.8212927756654
linear_unreg.4,1,68.06083650190115
linear_unreg.1,2,62.33766233766234
linear_unreg.2,2,63.63636363636363
linear_unreg.4,2,63.20346320346321
mmit.1,1,61.97718631178707
mmit.2,1,64.63878326996198
mmit.4,1,66.92015209125475
mmit.1,2,60.17316017316018
mmit.2,2,64.5021645021645
mmit.4,2,65.36796536796537
mmit.100,1,64.25855513307985
mmit.100,2,67.53246753246754
linear_L1reg.100,1,68.44106463878326
linear_L1reg.100,2,60.60606060606061
mlp.4,1,68.10631229235881
mlp.4,2,53.53159851301115
mlp.1,1,66.77740863787376
mlp.2,1,68.10631229235881
mlp.1,2,60.594795539033456
mlp.2,2,59.10780669144982
AFT_XGboost.100,1,65.78073089700996
AFT_XGboost.100,2,64.68401486988847
linear_piecewise_2_regions.4,1,68.10631229235881
linear_piecewise_2_regions.4,2,60.594795539033456
