method,fold,acc
linear_unreg.1,1,93.57142857142857
linear_unreg.2,1,95.0
linear_unreg.4,1,93.57142857142857
linear_unreg.1,2,96.29629629629629
linear_unreg.2,2,97.03703703703704
linear_unreg.4,2,94.07407407407408
linear_L1reg.100,1,92.85714285714286
linear_L1reg.100,2,93.33333333333333
mmit.1,1,95.71428571428572
mmit.2,1,90.0
mmit.4,1,90.0
mmit.1,2,87.4074074074074
mmit.2,2,84.44444444444444
mmit.4,2,88.88888888888889
mmit.100,1,87.85714285714286
mmit.100,2,87.4074074074074
ensemble.1,1,92.85714285714286
ensemble.10,1,86.42857142857143
ensemble.2,1,95.0
ensemble.3,1,95.0
ensemble.4,1,92.85714285714286
ensemble.5,1,92.14285714285714
ensemble.6,1,90.71428571428571
ensemble.7,1,91.42857142857143
ensemble.8,1,90.0
ensemble.9,1,90.0
ensemble.1,2,91.11111111111111
ensemble.10,2,80.0
ensemble.2,2,90.37037037037037
ensemble.3,2,90.37037037037037
ensemble.4,2,91.11111111111111
ensemble.5,2,83.7037037037037
ensemble.6,2,85.92592592592592
ensemble.7,2,82.96296296296296
ensemble.8,2,82.96296296296296
ensemble.9,2,80.74074074074075
ensemble.11,1,88.57142857142857
ensemble.12,1,88.57142857142857
ensemble.13,1,85.0
ensemble.14,1,85.0
ensemble.15,1,86.42857142857143
ensemble.16,1,87.14285714285714
ensemble.17,1,87.14285714285714
ensemble.18,1,71.42857142857143
ensemble.19,1,71.42857142857143
ensemble.20,1,71.42857142857143
ensemble.11,2,81.48148148148148
ensemble.12,2,88.14814814814815
ensemble.13,2,74.07407407407408
ensemble.14,2,74.07407407407408
ensemble.15,2,74.07407407407408
ensemble.16,2,76.29629629629629
ensemble.17,2,76.29629629629629
ensemble.18,2,71.85185185185186
ensemble.19,2,71.85185185185186
ensemble.20,2,71.85185185185186
