method,fold,acc
linear_unreg.1,1,94.46808510638299
linear_unreg.2,1,96.17021276595744
linear_unreg.4,1,95.31914893617022
linear_unreg.1,2,93.44827586206897
linear_unreg.2,2,96.89655172413794
linear_unreg.4,2,96.89655172413794
linear_L1reg.100,1,94.8936170212766
linear_L1reg.100,2,96.89655172413794
mmit.1,1,88.51063829787233
mmit.2,1,97.87234042553192
mmit.4,1,97.02127659574468
mmit.1,2,90.0
mmit.2,2,95.51724137931035
mmit.4,2,93.79310344827586
mmit.100,1,96.59574468085106
mmit.100,2,94.13793103448276
ensemble.1,1,93.61702127659575
ensemble.10,1,96.59574468085106
ensemble.2,1,91.91489361702128
ensemble.3,1,97.44680851063829
ensemble.4,1,96.17021276595744
ensemble.5,1,97.87234042553192
ensemble.6,1,96.59574468085106
ensemble.7,1,96.59574468085106
ensemble.8,1,96.59574468085106
ensemble.9,1,96.59574468085106
ensemble.1,2,94.48275862068965
ensemble.10,2,97.58620689655172
ensemble.2,2,94.13793103448276
ensemble.3,2,93.79310344827586
ensemble.4,2,96.20689655172414
ensemble.5,2,97.24137931034483
ensemble.6,2,97.24137931034483
ensemble.7,2,97.24137931034483
ensemble.8,2,97.24137931034483
ensemble.9,2,97.58620689655172
ensemble.11,1,94.46808510638299
ensemble.12,1,94.46808510638299
ensemble.13,1,91.06382978723404
ensemble.14,1,91.48936170212765
ensemble.15,1,91.48936170212765
ensemble.16,1,94.04255319148936
ensemble.17,1,91.06382978723404
ensemble.18,1,91.06382978723404
ensemble.19,1,91.06382978723404
ensemble.20,1,91.06382978723404
ensemble.11,2,97.24137931034483
ensemble.12,2,96.55172413793103
ensemble.13,2,95.86206896551724
ensemble.14,2,95.51724137931035
ensemble.15,2,96.20689655172414
ensemble.16,2,95.51724137931035
ensemble.17,2,95.17241379310344
ensemble.18,2,95.17241379310344
ensemble.19,2,95.17241379310344
ensemble.20,2,95.17241379310344
