method,fold,acc
linear_unreg.1,1,70.5982905982906
linear_unreg.2,1,72.47863247863248
linear_unreg.4,1,71.7948717948718
linear_unreg.1,2,66.40926640926641
linear_unreg.2,2,68.72586872586872
linear_unreg.4,2,70.27027027027027
mmit.1,1,68.88888888888889
mmit.2,1,72.13675213675214
mmit.4,1,69.91452991452991
mmit.1,2,68.14671814671814
mmit.2,2,68.53281853281852
mmit.4,2,68.14671814671814
mmit.100,1,73.50427350427351
mmit.100,2,70.27027027027027
linear_L1reg.100,1,72.47863247863248
linear_L1reg.100,2,66.40926640926641
mlp.4,1,71.62393162393163
mlp.4,2,70.65637065637065
mlp.1,1,70.42735042735043
mlp.2,1,74.01709401709402
mlp.1,2,67.76061776061776
mlp.2,2,68.72586872586872
linear_chosen_features.4,1,72.47863247863248
linear_chosen_features.4,2,69.4980694980695
mlp_chosen_features.4,1,72.13675213675214
mlp_chosen_features.4,2,69.1119691119691
AFT_XGboost.100,1,76.5811965811966
AFT_XGboost.100,2,71.42857142857143
mlp_chosen_fewer_features.2,1,73.16239316239316
mlp_chosen_fewer_features.2,2,69.6911196911197
linear_piecewise_2_regions.4,1,71.45299145299145
linear_piecewise_2_regions.4,2,69.6911196911197
