method,fold,acc
linear_unreg.1,1,82.62711864406779
linear_unreg.2,1,83.89830508474576
linear_unreg.4,1,85.59322033898306
linear_unreg.1,2,87.5
linear_unreg.2,2,86.8421052631579
linear_unreg.4,2,85.52631578947368
linear_L1reg.100,1,84.7457627118644
linear_L1reg.100,2,87.17105263157895
mmit.1,1,82.62711864406779
mmit.2,1,78.38983050847457
mmit.4,1,83.47457627118644
mmit.1,2,82.23684210526315
mmit.2,2,87.17105263157895
mmit.4,2,86.8421052631579
mmit.100,1,86.01694915254238
mmit.100,2,85.85526315789474
mlp_hingesquare.4,1,68.64406779661016
mlp_hingesquare.4,2,86.51315789473685
mlp_hingesquare_new_features.1,1,79.23728813559322
mlp_hingesquare_new_features.2,1,80.08474576271186
mlp_hingesquare_new_features.4,1,78.8135593220339
mlp_hingesquare_new_features.1,2,83.88157894736842
mlp_hingesquare_new_features.2,2,77.63157894736842
mlp_hingesquare_new_features.4,2,83.88157894736842
mlp_hingesquare.2,1,86.4406779661017
mlp_hingesquare.2,2,83.55263157894737
mlp_hingesquare.1,1,83.47457627118644
mlp_hingesquare.1,2,87.82894736842105
mlp_hingesquare.100,1,63.13559322033898
mlp_hingesquare.100,2,55.92105263157895
rf_linear.1,1,82.62711864406779
rf_linear.10,1,84.32203389830508
rf_linear.2,1,82.62711864406779
rf_linear.4,1,83.05084745762711
rf_linear.1,2,87.5
rf_linear.10,2,86.51315789473685
rf_linear.2,2,87.5
rf_linear.4,2,87.17105263157895
rf_power_linear.1,2,86.8421052631579
rf_power_linear.2,2,85.85526315789474
rf_power_linear.4,2,85.85526315789474
rf_power_linear.8,2,86.18421052631578
rf_power_lq.1,1,84.32203389830508
rf_power_lq.2,1,85.59322033898306
rf_power_lq.4,1,83.05084745762711
rf_power_lq.6,1,83.05084745762711
rf_power_lq.8,1,83.05084745762711
rf_power_lq.1,2,86.18421052631578
rf_power_lq.2,2,87.17105263157895
rf_power_lq.4,2,87.5
rf_power_lq.6,2,86.8421052631579
rf_power_lq.8,2,86.8421052631579
