method,fold,acc
linear_unreg.1,1,93.13186813186813
linear_unreg.2,1,95.1923076923077
linear_unreg.4,1,96.15384615384616
linear_unreg.1,2,93.44490934449094
linear_unreg.2,2,94.70013947001394
linear_unreg.4,2,94.83960948396096
linear_unreg.1,3,94.18439716312056
linear_unreg.2,3,94.60992907801419
linear_unreg.4,3,95.46099290780143
linear_unreg.1,4,93.75866851595008
linear_unreg.2,4,95.00693481276005
linear_unreg.4,4,95.5617198335645
linear_unreg.1,5,92.01623815967524
linear_unreg.2,5,93.09878213802436
linear_unreg.4,5,94.18132611637347
linear_unreg.1,6,93.39622641509435
linear_unreg.2,6,93.39622641509435
linear_unreg.4,6,94.74393530997305
linear_L1reg.100,1,96.7032967032967
linear_L1reg.100,2,95.25801952580196
linear_L1reg.100,3,95.88652482269504
linear_L1reg.100,4,95.97780859916783
linear_L1reg.100,5,94.72259810554804
linear_L1reg.100,6,94.33962264150944
mmit.1,1,85.10928961748634
mmit.2,1,85.24590163934425
mmit.4,1,85.10928961748634
mmit.1,2,84.56189151599443
mmit.2,2,84.7009735744089
mmit.4,2,89.4297635605007
mmit.1,3,85.39007092198581
mmit.2,3,85.2482269503546
mmit.4,3,91.20567375886525
mmit.1,4,85.71428571428571
mmit.2,4,86.26907073509015
mmit.4,4,89.73647711511789
mmit.1,5,84.16779431664412
mmit.2,5,84.70906630581867
mmit.4,5,83.22056833558862
mmit.1,6,82.50336473755047
mmit.2,6,82.23418573351279
mmit.4,6,82.50336473755047
mmit.100,1,93.71584699453553
mmit.100,2,94.71488178025035
mmit.100,3,79.29078014184398
mmit.100,4,95.5617198335645
mmit.100,5,93.50473612990527
mmit.100,6,94.07806191117093
ensemble.1,1,92.4863387978142
ensemble.10,1,87.70491803278688
ensemble.2,1,94.39890710382514
ensemble.3,1,93.85245901639344
ensemble.4,1,88.79781420765028
ensemble.5,1,89.07103825136612
ensemble.6,1,88.66120218579235
ensemble.7,1,89.89071038251366
ensemble.8,1,88.79781420765028
ensemble.9,1,89.34426229508196
ensemble.1,2,92.48956884561892
ensemble.10,2,83.86648122392212
ensemble.2,2,93.88038942976355
ensemble.3,2,93.18497913769124
ensemble.4,2,86.23087621696801
ensemble.5,2,86.23087621696801
ensemble.6,2,85.53546592489569
ensemble.7,2,85.95271210013908
ensemble.8,2,86.23087621696801
ensemble.9,2,85.81363004172462
ensemble.1,3,90.49645390070921
ensemble.10,3,82.5531914893617
ensemble.2,3,92.62411347517731
ensemble.3,3,91.91489361702128
ensemble.4,3,84.25531914893617
ensemble.5,3,83.82978723404256
ensemble.6,3,83.12056737588652
ensemble.7,3,83.26241134751773
ensemble.8,3,84.25531914893617
ensemble.9,3,83.26241134751773
ensemble.1,4,93.34257975034674
ensemble.10,4,86.40776699029125
ensemble.2,4,94.45214979195562
ensemble.3,4,94.03606102635229
ensemble.4,4,87.79472954230236
ensemble.5,4,87.79472954230236
ensemble.6,4,86.9625520110957
ensemble.7,4,87.65603328710125
ensemble.8,4,86.54646324549236
ensemble.9,4,86.68515950069347
ensemble.1,5,91.06901217861976
ensemble.10,5,74.15426251691474
ensemble.2,5,93.64005412719891
ensemble.3,5,92.69282814614344
ensemble.4,5,64.81732070365359
ensemble.5,5,65.2232746955345
ensemble.6,5,61.299052774018946
ensemble.7,5,60.487144790257105
ensemble.8,5,69.41813261163735
ensemble.9,5,68.87686062246279
ensemble.1,6,91.65545087483177
ensemble.10,6,84.79138627187079
ensemble.2,6,92.46298788694482
ensemble.3,6,92.32839838492598
ensemble.4,6,87.3485868102288
ensemble.5,6,86.94481830417227
ensemble.6,6,86.27187079407807
ensemble.7,6,86.81022880215343
ensemble.8,6,86.94481830417227
ensemble.9,6,86.54104979811575
ensemble.11,1,84.69945355191257
ensemble.12,1,84.42622950819673
ensemble.13,1,84.42622950819673
ensemble.14,1,84.56284153005464
ensemble.15,1,84.2896174863388
ensemble.16,1,84.2896174863388
