n_features,fold,feature engineer,n_layer,layer_size,val_acc
1,1,yes,1,2,94.12568306010928
1,1,yes,1,4,94.12568306010928
1,1,yes,1,8,94.12568306010928
1,1,yes,1,16,94.12568306010928
1,1,yes,1,32,94.12568306010928
1,1,yes,1,64,94.12568306010928
1,1,yes,1,128,94.12568306010928
1,1,yes,1,256,94.12568306010928
1,1,yes,2,2,89.75409836065575
1,1,yes,2,4,94.12568306010928
1,1,yes,2,8,94.12568306010928
1,1,yes,2,16,94.12568306010928
1,1,yes,2,32,94.12568306010928
1,1,yes,2,64,94.12568306010928
1,1,yes,2,128,94.12568306010928
1,1,yes,2,256,94.12568306010928
1,1,yes,3,2,89.75409836065575
1,1,yes,3,4,94.12568306010928
1,1,yes,3,8,94.12568306010928
1,1,yes,3,16,94.12568306010928
1,1,yes,3,32,94.12568306010928
1,1,yes,3,64,94.12568306010928
1,1,yes,3,128,94.12568306010928
1,1,yes,3,256,94.12568306010928
2,1,yes,1,2,95.49180327868852
2,1,yes,1,4,95.08196721311475
2,1,yes,1,8,95.08196721311475
2,1,yes,1,16,95.62841530054644
2,1,yes,1,32,95.08196721311475
2,1,yes,1,64,95.49180327868852
2,1,yes,1,128,95.76502732240438
2,1,yes,1,256,96.31147540983606
2,1,yes,2,2,95.49180327868852
2,1,yes,2,4,95.08196721311475
2,1,yes,2,8,95.08196721311475
2,1,yes,2,16,95.21857923497268
2,1,yes,2,32,95.21857923497268
2,1,yes,2,64,96.31147540983606
2,1,yes,2,128,97.40437158469946
2,1,yes,2,256,98.08743169398907
2,1,yes,3,2,89.75409836065575
2,1,yes,3,4,95.08196721311475
2,1,yes,3,8,89.75409836065575
2,1,yes,3,16,95.3551912568306
2,1,yes,3,32,96.99453551912568
2,1,yes,3,64,98.36065573770492
2,1,yes,3,128,98.90710382513662
2,1,yes,3,256,98.90710382513662
4,1,yes,1,2,95.90163934426229
4,1,yes,1,4,96.17486338797814
4,1,yes,1,8,97.1311475409836
4,1,yes,1,16,96.85792349726776
4,1,yes,1,32,97.26775956284153
4,1,yes,1,64,96.72131147540983
4,1,yes,1,128,98.36065573770492
4,1,yes,1,256,98.77049180327869
4,1,yes,2,2,96.31147540983606
4,1,yes,2,4,96.31147540983606
4,1,yes,2,8,96.31147540983606
4,1,yes,2,16,96.99453551912568
4,1,yes,2,32,97.26775956284153
4,1,yes,2,64,98.224043715847
4,1,yes,2,128,98.77049180327869
4,1,yes,2,256,99.31693989071039
4,1,yes,3,2,89.75409836065575
4,1,yes,3,4,96.99453551912568
4,1,yes,3,8,96.99453551912568
4,1,yes,3,16,98.224043715847
4,1,yes,3,32,98.63387978142076
4,1,yes,3,64,98.63387978142076
4,1,yes,3,128,98.63387978142076
4,1,yes,3,256,98.63387978142076
1,2,yes,1,2,93.18497913769124
1,2,yes,1,4,93.18497913769124
1,2,yes,1,8,93.18497913769124
1,2,yes,1,16,93.18497913769124
1,2,yes,1,32,93.18497913769124
1,2,yes,1,64,93.18497913769124
1,2,yes,1,128,93.18497913769124
1,2,yes,1,256,93.18497913769124
1,2,yes,2,2,89.29068150208623
1,2,yes,2,4,93.18497913769124
1,2,yes,2,8,93.18497913769124
1,2,yes,2,16,93.18497913769124
1,2,yes,2,32,93.18497913769124
1,2,yes,2,64,93.18497913769124
1,2,yes,2,128,93.18497913769124
1,2,yes,2,256,93.18497913769124
1,2,yes,3,2,89.29068150208623
1,2,yes,3,4,89.29068150208623
1,2,yes,3,8,93.18497913769124
1,2,yes,3,16,93.18497913769124
1,2,yes,3,32,93.18497913769124
1,2,yes,3,64,93.18497913769124
1,2,yes,3,128,93.18497913769124
1,2,yes,3,256,93.18497913769124
2,2,yes,1,2,94.43671766342142
2,2,yes,1,4,94.43671766342142
2,2,yes,1,8,94.01947148817803
2,2,yes,1,16,94.29763560500696
2,2,yes,1,32,94.71488178025035
2,2,yes,1,64,94.57579972183588
2,2,yes,1,128,94.71488178025035
2,2,yes,1,256,94.85396383866481
2,2,yes,2,2,89.29068150208623
2,2,yes,2,4,93.88038942976355
2,2,yes,2,8,94.01947148817803
2,2,yes,2,16,95.41029207232266
2,2,yes,2,32,95.13212795549374
2,2,yes,2,64,94.71488178025035
2,2,yes,2,128,97.49652294853965
2,2,yes,2,256,97.77468706536857
2,2,yes,3,2,89.29068150208623
2,2,yes,3,4,94.01947148817803
2,2,yes,3,8,94.85396383866481
2,2,yes,3,16,94.57579972183588
2,2,yes,3,32,95.54937413073714
2,2,yes,3,64,96.24478442280946
2,2,yes,3,128,96.105702364395
2,2,yes,3,256,97.91376912378304
4,2,yes,1,2,89.29068150208623
4,2,yes,1,4,94.85396383866481
4,2,yes,1,8,96.24478442280946
4,2,yes,1,16,96.105702364395
4,2,yes,1,32,95.96662030598053
4,2,yes,1,64,96.66203059805285
4,2,yes,1,128,99.02642559109874
4,2,yes,1,256,99.16550764951322
4,2,yes,2,2,89.29068150208623
4,2,yes,2,4,95.13212795549374
4,2,yes,2,8,95.2712100139082
4,2,yes,2,16,98.33101529902642
4,2,yes,2,32,98.19193324061196
4,2,yes,2,64,99.30458970792768
4,2,yes,2,128,99.16550764951322
4,2,yes,2,256,99.16550764951322
4,2,yes,3,2,94.85396383866481
4,2,yes,3,4,96.38386648122392
4,2,yes,3,8,89.29068150208623
4,2,yes,3,16,98.33101529902642
4,2,yes,3,32,99.16550764951322
4,2,yes,3,64,99.30458970792768
4,2,yes,3,128,99.16550764951322
4,2,yes,3,256,99.16550764951322
1,3,yes,1,2,93.90070921985816
1,3,yes,1,4,93.90070921985816
1,3,yes,1,8,93.90070921985816
1,3,yes,1,16,93.90070921985816
1,3,yes,1,32,93.90070921985816
1,3,yes,1,64,93.90070921985816
1,3,yes,1,128,93.90070921985816
1,3,yes,1,256,93.90070921985816
1,3,yes,2,2,93.90070921985816
1,3,yes,2,4,93.90070921985816
1,3,yes,2,8,93.90070921985816
1,3,yes,2,16,93.90070921985816
1,3,yes,2,32,93.90070921985816
1,3,yes,2,64,93.90070921985816
1,3,yes,2,128,93.90070921985816
1,3,yes,2,256,93.90070921985816
1,3,yes,3,2,93.90070921985816
1,3,yes,3,4,93.90070921985816
1,3,yes,3,8,93.90070921985816
1,3,yes,3,16,93.90070921985816
1,3,yes,3,32,93.90070921985816
1,3,yes,3,64,93.90070921985816
1,3,yes,3,128,93.90070921985816
1,3,yes,3,256,93.90070921985816
2,3,yes,1,2,95.0354609929078
2,3,yes,1,4,95.0354609929078
2,3,yes,1,8,95.88652482269504
2,3,yes,1,16,95.46099290780143
2,3,yes,1,32,95.74468085106383
2,3,yes,1,64,95.60283687943263
2,3,yes,1,128,95.74468085106383
2,3,yes,1,256,96.02836879432624
2,3,yes,2,2,91.34751773049645
2,3,yes,2,4,91.34751773049645
2,3,yes,2,8,95.0354609929078
2,3,yes,2,16,95.74468085106383
2,3,yes,2,32,96.87943262411348
2,3,yes,2,64,96.59574468085106
2,3,yes,2,128,98.01418439716312
2,3,yes,2,256,99.00709219858156
2,3,yes,3,2,95.0354609929078
2,3,yes,3,4,94.60992907801419
2,3,yes,3,8,95.60283687943263
2,3,yes,3,16,95.31914893617022
2,3,yes,3,32,97.02127659574468
2,3,yes,3,64,97.16312056737588
2,3,yes,3,128,99.14893617021276
2,3,yes,3,256,98.15602836879432
4,3,yes,1,2,95.74468085106383
4,3,yes,1,4,95.74468085106383
4,3,yes,1,8,96.02836879432624
4,3,yes,1,16,96.02836879432624
4,3,yes,1,32,97.02127659574468
4,3,yes,1,64,98.43971631205673
4,3,yes,1,128,98.58156028368793
4,3,yes,1,256,99.29078014184397
4,3,yes,2,2,95.74468085106383
4,3,yes,2,4,95.74468085106383
