method,fold,feature engineer,acc
BIC.1,1,yes,59.44353518821603
BIC.1,2,yes,61.24299373557533
BIC.1,3,yes,59.78818998716303
BIC.1,4,yes,60.37207770826474
BIC.1,5,yes,59.71491600203631
BIC.1,6,yes,62.34156104069379
mlp.1,1,yes,74.92168178070898
mlp.2,1,yes,78.73042044517724
mlp.4,1,yes,82.83594394064303
mlp.1,2,yes,76.43047238855623
mlp.2,2,yes,78.35994677312043
mlp.4,2,yes,84.44777112441784
mlp.1,3,yes,74.22380336351875
mlp.2,3,yes,77.32858990944372
mlp.4,3,yes,82.11513583441138
mlp.1,4,yes,76.26751167444962
mlp.2,4,yes,78.18545697131421
mlp.4,4,yes,83.75583722481655
mlp.1,5,yes,75.74358974358975
mlp.2,5,yes,79.76068376068376
mlp.4,5,yes,83.43589743589743
mlp.1,6,yes,72.04264680995092
mlp.2,6,yes,75.34269757996277
mlp.4,6,yes,78.79505838551363
mlp.117,1,no,82.1434460016488
mlp.117,2,no,82.91749833666002
mlp.117,3,no,82.30918499353169
mlp.117,4,no,85.22348232154769
mlp.117,5,no,82.92307692307692
mlp.117,6,no,82.80588932137417
mmit.1,1,no,75.18549051937346
mmit.2,1,no,80.49464138499587
mmit.4,1,no,76.96619950535862
mmit.117,1,no,64.22093981863149
mmit.1,2,no,76.54690618762476
mmit.2,2,no,75.99800399201597
mmit.4,2,no,75.68196939454424
mmit.117,2,no,67.86427145708582
mmit.1,3,no,74.40168175937904
mmit.2,3,no,76.77878395860284
mmit.4,3,no,77.39327296248383
mmit.117,3,no,66.9954721862872
mmit.1,4,no,75.30020013342228
mmit.2,4,no,76.4342895263509
mmit.4,4,no,76.15076717811876
mmit.117,4,no,65.49366244162775
mmit.1,5,no,75.86324786324786
mmit.2,5,no,79.008547008547
mmit.4,5,no,77.7094017094017
mmit.117,5,no,64.71794871794872
mmit.1,6,no,73.02420037231342
mmit.2,6,no,75.20731088170587
mmit.4,6,no,73.05804704687763
mmit.117,6,no,68.04873921137248
linear.1,1,yes,74.26215993404782
linear.2,1,yes,74.72382522671064
linear.4,1,yes,77.90601813685079
linear.1,2,yes,77.14570858283433
linear.2,2,yes,74.11842980705256
linear.4,2,yes,78.82568196939455
linear.1,3,yes,73.83570504527813
linear.2,3,yes,75.04851228978008
linear.4,3,yes,78.39586028460543
linear.1,4,yes,76.28418945963976
linear.2,4,yes,75.71714476317545
linear.4,4,yes,78.50233488992662
linear.1,5,yes,75.62393162393163
linear.2,5,yes,77.04273504273505
linear.4,5,yes,79.02564102564102
linear.1,6,yes,72.31342020646471
linear.2,6,yes,72.1441868336436
linear.4,6,yes,74.86884413606363
linear.117,1,yes,82.32481450948063
linear.117,2,yes,80.72188955422487
linear.117,3,yes,81.01552393272962
linear.117,4,yes,82.50500333555703
linear.117,5,yes,82.3076923076923
linear.117,6,yes,79.72584193602978
aft_xgboost.1,1,no,74.3116240725474
aft_xgboost.117,1,no,82.93487221764221
aft_xgboost.2,1,no,79.2085737840066
aft_xgboost.4,1,no,79.2085737840066
aft_xgboost.1,2,no,75.39920159680639
aft_xgboost.117,2,no,79.2085737840066
aft_xgboost.2,2,no,78.44311377245509
aft_xgboost.4,2,no,79.2085737840066
aft_xgboost.1,3,no,73.23738680465718
aft_xgboost.117,3,no,78.20181112548512
aft_xgboost.2,3,no,78.20181112548512
aft_xgboost.4,3,no,78.20181112548512
aft_xgboost.1,4,no,74.89993328885924
aft_xgboost.117,4,no,74.89993328885924
aft_xgboost.2,4,no,76.26751167444962
aft_xgboost.4,4,no,76.26751167444962
aft_xgboost.1,5,no,74.63247863247862
aft_xgboost.117,5,no,82.13675213675214
aft_xgboost.2,5,no,79.35042735042735
aft_xgboost.4,5,no,82.0
aft_xgboost.1,6,no,72.2964968691826
aft_xgboost.117,6,no,82.09510915552546
aft_xgboost.2,6,no,75.7996276865798
aft_xgboost.4,6,no,82.19664917921814
