method,fold,acc
linear_unreg.1,1,97.36842105263158
linear_unreg.2,1,98.24561403508771
linear_unreg.4,1,98.0701754385965
linear_unreg.1,2,97.19298245614036
linear_unreg.2,2,98.42105263157895
linear_unreg.4,2,98.24561403508771
linear_unreg.1,3,98.0701754385965
linear_unreg.2,3,98.42105263157895
linear_unreg.4,3,97.89473684210527
linear_unreg.1,4,97.71929824561404
linear_unreg.2,4,97.71929824561404
linear_unreg.4,4,98.24561403508771
linear_unreg.1,5,97.01230228471002
linear_unreg.2,5,98.41827768014059
linear_unreg.4,5,98.24253075571178
linear_unreg.1,6,96.66080843585237
linear_unreg.2,6,97.36379613356766
linear_unreg.4,6,97.18804920913884
linear_L1reg.100,1,98.42105263157895
linear_L1reg.100,2,98.24561403508771
linear_L1reg.100,3,98.0701754385965
linear_L1reg.100,4,98.42105263157895
linear_L1reg.100,5,98.41827768014059
linear_L1reg.100,6,97.01230228471002
mmit.1,1,89.47368421052632
mmit.2,1,89.12280701754386
mmit.4,1,89.47368421052632
mmit.1,2,88.7719298245614
mmit.2,2,89.29824561403508
mmit.4,2,89.12280701754386
mmit.1,3,90.87719298245615
mmit.2,3,90.70175438596492
mmit.4,3,90.52631578947368
mmit.1,4,91.57894736842105
mmit.2,4,91.22807017543859
mmit.4,4,91.40350877192982
mmit.1,5,87.87346221441125
mmit.2,5,87.87346221441125
mmit.4,5,88.22495606326889
mmit.1,6,89.45518453427064
mmit.2,6,89.63093145869946
mmit.4,6,89.80667838312829
mmit.100,1,98.0701754385965
mmit.100,2,97.71929824561404
mmit.100,3,98.0701754385965
mmit.100,4,97.01754385964912
mmit.100,5,98.06678383128296
mmit.100,6,97.01230228471002
ensemble.1,1,97.01754385964912
ensemble.10,1,87.01754385964912
ensemble.2,1,96.84210526315789
ensemble.3,1,93.15789473684211
ensemble.4,1,95.96491228070175
ensemble.5,1,89.47368421052632
ensemble.6,1,89.82456140350877
ensemble.7,1,87.71929824561403
ensemble.8,1,87.19298245614036
ensemble.9,1,87.71929824561403
ensemble.1,2,97.01754385964912
ensemble.10,2,87.89473684210526
ensemble.2,2,95.43859649122807
ensemble.3,2,93.6842105263158
ensemble.4,2,93.33333333333333
ensemble.5,2,89.82456140350877
ensemble.6,2,89.82456140350877
ensemble.7,2,87.54385964912281
ensemble.8,2,87.54385964912281
ensemble.9,2,87.36842105263159
ensemble.1,3,95.78947368421052
ensemble.10,3,85.26315789473684
ensemble.2,3,95.08771929824562
ensemble.3,3,92.10526315789474
ensemble.4,3,92.45614035087719
ensemble.5,3,88.59649122807018
ensemble.6,3,88.7719298245614
ensemble.7,3,86.31578947368422
ensemble.8,3,85.43859649122807
ensemble.9,3,85.43859649122807
ensemble.1,4,95.6140350877193
ensemble.10,4,86.49122807017544
ensemble.2,4,95.26315789473684
ensemble.3,4,92.80701754385964
ensemble.4,4,93.85964912280701
ensemble.5,4,89.29824561403508
ensemble.6,4,89.12280701754386
ensemble.7,4,86.8421052631579
ensemble.8,4,87.01754385964912
ensemble.9,4,87.01754385964912
ensemble.1,5,97.18804920913884
ensemble.10,5,87.87346221441125
ensemble.2,5,95.60632688927943
ensemble.3,5,92.97012302284709
ensemble.4,5,93.49736379613357
ensemble.5,5,90.15817223198594
ensemble.6,5,89.98242530755711
ensemble.7,5,87.5219683655536
ensemble.8,5,86.99472759226714
ensemble.9,5,87.34622144112478
ensemble.1,6,96.30931458699473
ensemble.10,6,87.17047451669596
ensemble.2,6,96.30931458699473
ensemble.3,6,93.84885764499121
ensemble.4,6,94.90333919156416
ensemble.5,6,90.15817223198594
ensemble.6,6,90.15817223198594
ensemble.7,6,86.99472759226714
ensemble.8,6,86.8189806678383
ensemble.9,6,86.8189806678383
ensemble.11,1,87.71929824561403
ensemble.12,1,84.3859649122807
ensemble.13,1,84.21052631578947
ensemble.14,1,84.21052631578947
ensemble.15,1,84.21052631578947
ensemble.16,1,84.3859649122807
ensemble.17,1,84.03508771929825
ensemble.18,1,84.21052631578947
ensemble.19,1,84.03508771929825
ensemble.20,1,84.03508771929825
ensemble.11,2,87.71929824561403
ensemble.12,2,85.43859649122807
ensemble.13,2,85.6140350877193
ensemble.14,2,85.6140350877193
ensemble.15,2,85.78947368421052
ensemble.16,2,85.26315789473684
ensemble.17,2,85.26315789473684
ensemble.18,2,85.08771929824562
ensemble.19,2,85.26315789473684
ensemble.20,2,85.26315789473684
ensemble.11,3,85.43859649122807
ensemble.12,3,83.50877192982456
ensemble.13,3,83.50877192982456
ensemble.14,3,83.50877192982456
ensemble.15,3,83.6842105263158
ensemble.16,3,83.85964912280703
ensemble.17,3,83.15789473684211
ensemble.18,3,82.98245614035088
ensemble.19,3,82.98245614035088
ensemble.20,3,82.98245614035088
ensemble.11,4,86.8421052631579
ensemble.12,4,85.08771929824562
ensemble.13,4,85.08771929824562
ensemble.14,4,85.08771929824562
ensemble.15,4,85.08771929824562
ensemble.16,4,84.56140350877193
ensemble.17,4,84.73684210526315
ensemble.18,4,84.91228070175438
ensemble.19,4,85.08771929824562
ensemble.20,4,85.08771929824562
ensemble.11,5,87.5219683655536
ensemble.12,5,86.29173989455184
ensemble.13,5,86.46748681898066
ensemble.14,5,86.46748681898066
ensemble.15,5,86.46748681898066
ensemble.16,5,86.64323374340948
ensemble.17,5,86.64323374340948
ensemble.18,5,86.99472759226714
ensemble.19,5,86.8189806678383
ensemble.20,5,86.8189806678383
ensemble.11,6,87.17047451669596
ensemble.12,6,85.58875219683657
ensemble.13,6,85.58875219683657
ensemble.14,6,85.58875219683657
ensemble.15,6,85.58875219683657
ensemble.16,6,85.76449912126537
ensemble.17,6,85.76449912126537
ensemble.18,6,85.58875219683657
ensemble.19,6,85.58875219683657
ensemble.20,6,85.58875219683657
