fold,n_layer,layer_size,n_features,f_engineer,normalize,val_acc
1,0,1,1,1,0,92.03508772
1,0,1,1,0,0,91.50877193
1,0,1,2,1,0,92.68421053
1,0,1,2,0,0,92.33333333
1,0,1,4,1,0,92.98245614
1,0,1,4,0,0,91.40350877
2,0,1,1,1,0,94.06140351
2,0,1,1,0,0,94.9122807
2,0,1,2,1,0,94.38596491
2,0,1,2,0,0,95.0877193
2,0,1,4,1,0,94.38596491
2,0,1,4,0,0,93.50877193
3,0,1,1,1,0,92.10526316
3,0,1,1,0,0,93.50877193
3,0,1,2,1,0,92.45614035
3,0,1,2,0,0,93.68421053
3,0,1,4,1,0,93.10526316
3,0,1,4,0,0,93.15789474
4,0,1,1,1,0,93.50877193
4,0,1,1,0,0,94.38596491
4,0,1,2,1,0,93.68421053
4,0,1,2,0,0,94.38596491
4,0,1,4,1,0,94.38596491
4,0,1,4,0,0,94.38596491
5,0,1,1,1,0,88.40070299
5,0,1,1,0,0,89.63093146
5,0,1,2,1,0,88.75219684
5,0,1,2,0,0,90.50966608
5,0,1,4,1,0,89.27943761
5,0,1,4,0,0,89.10369069
6,0,1,1,1,0,94.02460457
6,0,1,1,0,0,94.20035149
6,0,1,2,1,0,94.02460457
6,0,1,2,0,0,93.67311072
6,0,1,4,1,0,94.37609842
6,0,1,4,0,0,94.37609842
1,1,2,1,1,1,94.21052632
1,1,2,1,0,1,93.50877193
1,1,2,2,1,1,93.68421053
1,1,2,2,0,1,94.03508772
1,1,2,4,1,1,93.33333333
1,1,2,4,0,1,94.21052632
1,1,4,1,1,1,93.33333333
1,1,4,1,0,1,93.50877193
1,1,4,2,1,1,94.33333333
1,1,4,2,0,1,94.03508772
1,1,4,4,1,1,95.80701754
1,1,4,4,0,1,94.9122807
1,1,8,1,1,1,93.50877193
1,1,8,1,0,1,92.80701754
1,1,8,2,1,1,92.98245614
1,1,8,2,0,1,93.33333333
1,1,8,4,1,1,91.57894737
1,1,8,4,0,1,94.38596491
1,1,16,1,1,1,92.63157895
1,1,16,1,0,1,93.33333333
1,1,16,2,1,1,92.45614035
1,1,16,2,0,1,93.50877193
1,1,16,4,1,1,90.87719298
1,1,16,4,0,1,93.85964912
1,1,32,1,1,1,92.45614035
1,1,32,1,0,1,92.80701754
1,1,32,2,1,1,91.05263158
1,1,32,2,0,1,93.15789474
1,1,32,4,1,1,88.42105263
1,1,32,4,0,1,91.92982456
1,1,64,1,1,1,92.63157895
1,1,64,1,0,1,93.15789474
1,1,64,2,1,1,89.12280702
1,1,64,2,0,1,92.10526316
1,1,64,4,1,1,89.12280702
1,1,64,4,0,1,91.22807018
1,1,128,1,1,1,92.10526316
1,1,128,1,0,1,92.80701754
1,1,128,2,1,1,88.94736842
1,1,128,2,0,1,90.87719298
1,1,128,4,1,1,86.14035088
1,1,128,4,0,1,88.77192982
1,2,2,1,1,1,93.15789474
1,2,2,1,0,1,93.50877193
1,2,2,2,1,1,93.68421053
1,2,2,2,0,1,94.03508772
1,2,2,4,1,1,93.68421053
1,2,2,4,0,1,93.85964912
1,2,4,1,1,1,93.15789474
1,2,4,1,0,1,93.85964912
1,2,4,2,1,1,93.50877193
1,2,4,2,0,1,92.63157895
1,2,4,4,1,1,89.47368421
1,2,4,4,0,1,93.85964912
1,2,8,1,1,1,92.28070175
1,2,8,1,0,1,92.98245614
1,2,8,2,1,1,92.80701754
1,2,8,2,0,1,91.57894737
1,2,8,4,1,1,91.57894737
1,2,8,4,0,1,91.40350877
1,2,16,1,1,1,91.92982456
1,2,16,1,0,1,92.80701754
1,2,16,2,1,1,87.19298246
1,2,16,2,0,1,90.1754386
1,2,16,4,1,1,88.24561404
1,2,16,4,0,1,91.40350877
1,2,32,1,1,1,91.22807018
1,2,32,1,0,1,92.63157895
1,2,32,2,1,1,84.38596491
1,2,32,2,0,1,88.59649123
1,2,32,4,1,1,84.56140351
1,2,32,4,0,1,84.73684211
1,2,64,1,1,1,91.57894737
1,2,64,1,0,1,92.45614035
1,2,64,2,1,1,84.56140351
1,2,64,2,0,1,86.31578947
