seqID,small_end,big_end
0,-1.0,5.0
1,-1.0,5.0
2,-1.0,0.0
3,-0.5,0.5
4,-0.5,0.5
5,0.0,5.0
6,-0.5,5.0
7,0.0,5.0
8,-1.0,5.0
9,-1.5,0.0
10,-0.5,5.0
11,-1.5,0.0
12,0.0,1.0
13,-0.5,0.0
14,-0.5,0.5
15,-0.5,5.0
16,-0.5,5.0
17,-1.0,5.0
18,-1.5,5.0
19,-0.5,0.0
20,-0.5,5.0
21,-0.5,5.0
22,-1.0,5.0
23,-0.5,5.0
24,-1.0,5.0
25,-0.5,5.0
26,-1.0,5.0
27,-1.5,5.0
28,-0.5,5.0
29,-1.0,0.5
30,0.0,0.5
31,-2.0,5.0
32,-1.0,0.5
33,0.0,0.5
34,-1.0,-0.5
35,-1.0,0.0
36,-1.5,0.0
37,-0.5,5.0
38,-1.0,0.5
39,-2.0,0.0
40,-1.5,-1.0
41,-0.5,0.0
42,0.0,5.0
43,-1.0,5.0
44,0.0,5.0
45,-1.0,5.0
46,0.0,5.0
47,-0.5,5.0
48,-0.5,5.0
49,-1.0,5.0
50,-1.0,5.0
51,-0.5,-0.5
52,-0.5,0.0
53,-0.5,5.0
54,-1.0,5.0
55,-0.5,0.0
56,-1.5,5.0
57,-1.5,-0.5
58,-0.5,5.0
59,-1.0,5.0
60,-1.5,5.0
61,-1.0,5.0
62,-0.5,5.0
63,-1.5,5.0
64,-1.0,5.0
65,-5.0,5.0
66,-1.5,0.0
67,-0.5,5.0
68,-0.5,5.0
69,-0.5,0.5
70,0.0,5.0
71,-1.5,0.5
72,-1.0,5.0
73,0.0,5.0
74,-0.5,5.0
75,-1.0,5.0
76,-0.5,5.0
77,-1.0,-0.5
78,-1.0,5.0
79,-1.0,5.0
80,-1.0,0.5
81,-1.0,5.0
82,-0.5,0.0
83,-0.5,5.0
84,-1.0,0.0
85,0.5,2.0
86,0.5,0.5
87,1.0,1.5
88,1.0,2.5
89,-0.5,5.0
90,0.5,1.0
91,1.0,1.5
92,1.5,5.0
93,1.0,5.0
94,1.0,1.5
95,1.0,1.5
96,0.5,2.0
97,0.5,2.5
98,0.0,0.5
99,0.5,1.5
100,1.0,2.5
101,1.5,2.0
102,1.0,2.5
103,1.0,5.0
104,0.5,1.0
105,0.5,0.5
106,0.5,0.5
107,0.5,0.5
108,0.0,5.0
109,2.0,5.0
110,1.0,5.0
111,-0.5,5.0
112,0.5,1.5
113,0.0,2.5
114,-1.0,0.0
115,-1.0,5.0
116,-1.0,5.0
117,-0.5,5.0
118,-1.0,5.0
119,0.0,5.0
120,-2.5,5.0
121,1.5,5.0
122,0.0,0.0
123,0.5,1.0
124,0.5,0.5
125,-0.5,5.0
126,-0.5,5.0
127,0.0,0.0
128,-1.0,5.0
129,0.5,0.5
130,0.0,5.0
131,-0.5,5.0
132,0.5,1.5
133,-1.0,1.0
134,0.5,2.5
135,-0.5,0.0
136,-0.5,0.0
137,0.0,0.0
138,0.5,2.0
139,0.0,0.0
140,1.5,1.5
141,1.0,1.0
142,1.0,5.0
143,-0.5,-0.5
144,0.0,0.5
145,0.5,0.5
146,1.0,1.5
147,0.5,0.5
148,0.5,0.5
149,-0.5,0.0
150,-0.5,5.0
151,1.0,2.0
152,0.5,5.0
153,0.5,0.5
154,-1.0,5.0
155,-0.5,5.0
156,-0.5,5.0
157,-0.5,5.0
158,0.5,2.0
159,0.5,1.5
160,-2.5,5.0
161,-0.5,-0.5
162,-0.5,-0.5
163,-0.5,0.0
164,0.5,0.5
165,-1.0,5.0
166,0.5,5.0
167,0.0,1.5
168,-1.0,5.0
169,-0.5,5.0
170,0.5,1.5
171,0.0,0.0
172,0.0,0.0
173,-1.0,0.0
174,-1.0,-0.5
175,-1.0,5.0
176,0.0,2.5
177,1.0,5.0
178,0.0,5.0
179,-1.0,5.0
180,0.0,0.5
181,0.5,2.0
182,0.0,5.0
183,-1.0,5.0
184,-0.5,5.0
185,0.0,0.0
186,0.0,0.0
187,1.0,1.0
188,0.0,0.0
189,0.5,1.0
190,1.0,1.5
191,0.5,5.0
192,0.5,1.0
193,0.5,1.0
194,-1.0,5.0
195,-1.0,0.5
196,-1.0,5.0
197,-1.0,5.0
198,-1.0,5.0
199,-1.0,0.5
200,-1.5,5.0
