sequenceID,fold_1_total_labels,fold_2_total_labels,fold_1_errs,fold_2_errs
0,2,1,1,0
1,1,1,0,0
2,1,1,0,0
3,1,1,0,0
4,1,1,0,0
5,2,1,0,0
6,2,1,0,0
7,2,1,0,1
8,2,1,0,0
9,1,1,0,0
10,1,1,0,0
11,1,1,0,0
12,1,1,0,0
13,1,1,0,0
14,2,1,0,0
15,2,1,0,0
16,2,1,0,0
17,2,1,0,0
18,2,1,0,0
19,3,2,0,0
20,2,1,0,0
21,2,1,0,0
22,2,1,0,0
23,2,1,0,0
24,2,1,0,0
25,2,1,0,0
26,2,1,0,0
27,1,1,0,1
28,2,1,0,0
29,1,1,0,0
30,1,1,0,0
31,1,1,0,1
32,1,1,0,0
33,1,1,0,0
34,2,1,1,1
35,2,1,0,0
36,1,1,0,0
37,1,1,0,1
38,1,1,0,0
39,2,1,1,0
40,2,1,1,0
41,1,1,0,0
42,2,1,0,0
43,2,1,0,1
44,2,1,0,0
45,2,1,0,0
46,2,1,0,1
47,1,1,0,0
48,2,1,0,0
49,2,1,0,0
50,1,1,0,1
51,1,1,1,0
52,3,2,0,0
53,2,1,0,0
54,2,1,0,0
55,1,1,0,0
56,2,1,0,0
57,2,2,1,0
58,1,1,0,0
59,2,1,0,0
60,2,1,0,0
61,2,1,0,1
62,2,1,0,0
63,1,1,0,0
64,2,1,0,0
65,1,1,1,0
66,1,1,0,0
67,2,1,0,0
68,2,1,0,0
69,1,1,0,0
70,2,1,0,0
71,1,1,0,0
72,1,1,0,0
73,1,1,0,0
74,2,1,0,0
75,2,1,0,0
76,2,1,0,0
77,2,1,1,1
78,1,1,0,1
79,1,1,0,0
80,1,1,0,0
81,2,1,0,0
82,1,1,0,0
83,2,1,0,0
84,1,1,0,0
85,2,2,2,2
86,4,4,3,3
87,3,3,1,0
88,2,2,1,0
89,2,1,1,0
90,2,2,1,2
91,2,1,2,1
92,1,1,1,1
93,2,1,2,0
94,2,2,2,2
95,2,1,2,1
96,5,4,2,2
97,2,2,1,0
98,2,2,0,1
99,2,2,1,0
100,1,1,1,1
101,1,1,1,1
102,1,1,1,1
103,2,1,2,1
104,2,1,2,0
105,3,3,1,0
106,3,3,1,0
107,3,2,1,1
108,2,1,1,0
109,2,2,2,0
110,2,1,2,1
111,3,2,2,1
112,2,2,1,2
113,1,1,0,1
114,2,1,0,1
115,2,1,1,0
116,2,1,1,0
117,2,1,2,1
118,2,1,2,1
119,2,1,1,0
120,2,1,1,0
121,1,1,1,1
122,4,3,0,1
123,3,2,2,2
124,3,2,2,1
125,2,1,1,0
126,2,1,1,0
127,2,1,1,1
128,2,1,2,1
129,2,1,1,0
130,2,2,1,1
131,2,1,2,0
132,3,2,2,0
133,3,3,1,0
134,1,1,1,0
135,2,1,0,0
136,3,3,1,1
137,3,2,0,1
138,1,1,1,1
139,3,2,0,2
140,2,1,2,0
141,3,2,3,0
142,2,2,1,0
143,3,3,1,0
144,6,5,1,1
145,2,1,1,0
146,2,1,1,0
147,3,2,1,1
148,5,4,2,0
149,2,2,0,2
150,2,1,1,0
151,2,1,2,1
152,2,1,2,0
153,2,2,2,2
154,2,1,1,0
155,2,1,2,1
156,2,1,1,1
157,2,1,2,1
158,1,1,1,1
159,3,2,2,0
160,2,1,1,0
161,3,2,2,1
162,5,4,3,2
163,4,3,2,1
164,2,1,1,0
165,2,2,2,1
166,2,1,1,0
167,3,2,1,1
168,2,1,1,1
169,2,1,2,1
170,2,1,1,1
171,3,2,0,1
172,4,3,0,1
173,3,2,1,2
