dataset,model,num_layers,hidden_size,test_fold,stop_epoch,train_loss,val_loss,test_loss,time
cancer,gru,1,2,1,183,1.7350440071389461,1.5839875401039338,1.6809087956842381,2992.7655744552612
cancer,gru,1,2,2,374,1.2754333171250023,1.0737257950142565,1.8893549052826062,5013.774759054184
cancer,gru,1,4,1,143,1.2134928281100092,1.3684934871159045,1.3508933341138119,2585.6568925380707
cancer,gru,1,4,2,109,1.252769764560319,0.9478557430290483,1.772890805743245,1872.2004463672638
cancer,gru,1,8,1,94,1.573879731104314,1.4192439290815515,1.4667648269957876,1960.3867728710175
cancer,gru,1,8,2,26,1.4917435620615807,1.1079750416028251,1.8587583687770437,1062.909743309021
cancer,gru,1,16,1,34,1.4784853772211741,1.4723247679852296,1.5046155785398574,1085.1223423480988
cancer,gru,1,16,2,38,1.2159921816196928,0.8139960207942739,1.4867714448049145,958.5261859893799
cancer,gru,2,2,1,201,1.3182058931510752,1.3003641398250496,1.526408703898581,3526.56719994545
cancer,gru,2,2,2,145,1.3125031620780205,1.3512830091528145,1.8740636483560387,2700.934042930603
cancer,gru,2,4,1,145,1.3408398484499313,1.2998140144431178,1.3638808606096653,2806.56738615036
cancer,gru,2,4,2,158,1.0167357576433214,0.8483229249285209,1.8524663130308956,2930.7592554092407
cancer,gru,2,8,1,139,1.078867158792491,1.3150677985068002,1.4980364931937866,1483.03368973732
cancer,gru,2,8,2,101,1.0842421377863751,0.9610270234054524,1.5646861056141772,1144.991954088211
cancer,gru,2,16,1,9,2.213485129655314,2.455296262091654,2.1804363454960414,66.7712459564209
cancer,gru,2,16,2,22,1.1640356908646137,0.8539051067488022,1.4967804328575756,566.1290376186371
