dataset,model,num_layers,hidden_size,test_fold,stop_epoch,train_loss,val_loss,test_loss,time
detailed,rnn,1,2,1,29,0.4240912359648852,0.44075889619586406,0.453149331003731,23492.85803079605
detailed,rnn,1,2,2,2,0.4606740145131849,0.3523397028361834,0.5207698934532514,15652.526569128036
detailed,rnn,1,2,3,34,0.4172067975225588,0.48603854715415223,0.3725314063229646,25067.53822827339
detailed,rnn,1,2,4,1,0.5950581543888642,0.46297115373072945,0.4435679312754564,15268.170156478882
detailed,rnn,1,2,5,7,0.4553757603693187,0.4087972982573558,0.4835262038447152,16606.09056687355
detailed,rnn,1,2,6,1,0.48074521442291035,0.402795857108249,0.416986929114606,15325.243960380554
detailed,rnn,1,4,1,1,0.4485812183074918,0.46209987325226964,0.4624095398159151,15112.81709909439
detailed,rnn,1,4,2,40,0.3794500703626923,0.29277750784674184,0.4022125597321503,14764.0818400383
detailed,rnn,1,4,3,39,0.37733805596761,0.4530064119110128,0.3316297275926416,11860.253704547882
detailed,rnn,1,4,4,67,0.43434973229312074,0.46000206314146486,0.4396300216584125,34605.263741731644
detailed,rnn,1,4,5,25,0.44359613518875374,0.40685782481185545,0.498489123857986,21720.855943202972
detailed,rnn,1,4,6,65,0.35672589791312825,0.3463697118568439,0.39157970663704356,31972.32507109642
detailed,rnn,1,8,1,17,0.3493246666185911,0.3678691367290456,0.3810831943091804,5005.620620250702
