dataset,num_layers,layer_size,test_fold,stop_epoch,train_loss,val_loss,test_loss,time
H3K27ac_TDH_some,1,2,1,5708,2.1794052124023438,0.8462530374526978,7.552164077758789,10.711084842681885
H3K27ac_TDH_some,1,2,2,16201,6.074167728424072,0.7032185792922974,3.6620750427246094,30.204258680343628
H3K27ac_TDH_some,1,4,1,4757,2.181598424911499,0.8778767585754395,7.722089767456055,8.880253553390503
H3K27ac_TDH_some,1,4,2,226,20.625879287719727,26.900634765625,14.05740737915039,0.6154506206512451
H3K27ac_TDH_some,1,8,1,4661,2.1727240085601807,0.8811680674552917,7.703789710998535,8.817466497421265
H3K27ac_TDH_some,1,8,2,159,21.72772216796875,30.71149253845215,16.53093147277832,0.48085975646972656
H3K27ac_TDH_some,1,16,1,3176,2.183079242706299,0.8978912234306335,7.7903523445129395,6.030420303344727
H3K27ac_TDH_some,1,16,2,108,19.043989181518555,27.494949340820312,14.215100288391113,0.38568973541259766
H3K27ac_TDH_some,1,32,1,2155,2.189544916152954,0.8893298506736755,7.780030727386475,4.133573770523071
H3K27ac_TDH_some,1,32,2,810,4.99066162109375,2.38702654838562,5.4517316818237305,1.6783990859985352
H3K27ac_TDH_some,1,64,1,1967,1.52266263961792,0.7182855010032654,6.199882984161377,3.783036231994629
H3K27ac_TDH_some,1,64,2,529,3.9673969745635986,3.0136373043060303,6.030052661895752,1.1536626815795898
H3K27ac_TDH_some,1,128,1,1356,1.8249402046203613,0.8885242342948914,7.083597660064697,2.672504425048828
H3K27ac_TDH_some,1,128,2,413,4.406771183013916,2.653625965118408,5.806859016418457,0.9431495666503906
H3K27ac_TDH_some,1,256,1,967,1.5900298357009888,0.7114216089248657,6.235971450805664,1.9973313808441162
H3K27ac_TDH_some,1,256,2,321,3.96874737739563,2.37194561958313,5.722196578979492,0.7840478420257568
H3K27ac_TDH_some,1,512,1,608,1.5583049058914185,0.7287513017654419,6.690308570861816,1.3501930236816406
H3K27ac_TDH_some,1,512,2,219,2.8263144493103027,1.908992052078247,5.452232360839844,0.6056039333343506
H3K27ac_TDH_some,1,1024,1,423,1.4307832717895508,0.6385094523429871,6.118420124053955,1.032928466796875
H3K27ac_TDH_some,1,1024,2,159,2.6434762477874756,1.7688010931015015,5.019633769989014,0.5246307849884033
H3K27ac_TDH_some,1,2048,1,292,1.342221975326538,0.6094393134117126,5.96251916885376,0.7979259490966797
H3K27ac_TDH_some,1,2048,2,200,1.8747022151947021,1.5281050205230713,5.285585880279541,0.5950503349304199
H3K27ac_TDH_some,1,4096,1,214,1.3270457983016968,0.6008722186088562,6.110554218292236,0.6682989597320557
H3K27ac_TDH_some,1,4096,2,142,1.7802789211273193,1.3810847997665405,5.500211238861084,0.5144765377044678
H3K27ac_TDH_some,2,2,1,12425,4.326100826263428,1.0182112455368042,4.905857563018799,26.159706592559814
H3K27ac_TDH_some,2,2,2,15386,6.074167728424072,0.7032185792922974,3.6620750427246094,32.68195462226868
H3K27ac_TDH_some,2,4,1,2805,4.281807899475098,1.0182160139083862,4.903472423553467,6.174182653427124
H3K27ac_TDH_some,2,4,2,367,21.40711212158203,28.993494033813477,16.15288734436035,0.9894583225250244
H3K27ac_TDH_some,2,8,1,3797,2.1638238430023193,0.8604564070701599,7.507325172424316,8.185079574584961
H3K27ac_TDH_some,2,8,2,204,20.462053298950195,29.36181640625,15.198331832885742,0.6463010311126709
H3K27ac_TDH_some,2,16,1,933,1.9057937860488892,0.8976629376411438,6.927842140197754,2.169215202331543
H3K27ac_TDH_some,2,16,2,527,4.187977313995361,1.9313853979110718,4.856844902038574,1.336709976196289
H3K27ac_TDH_some,2,32,1,873,1.8770333528518677,0.7271880507469177,6.72537088394165,2.046267032623291
H3K27ac_TDH_some,2,32,2,416,4.124064922332764,1.7992353439331055,4.993408203125,1.092625379562378
H3K27ac_TDH_some,2,64,1,587,1.8161925077438354,0.8798379302024841,6.848498821258545,1.4444935321807861
H3K27ac_TDH_some,2,64,2,215,2.7224724292755127,1.4176666736602783,5.113406658172607,0.661048412322998
H3K27ac_TDH_some,2,128,1,335,1.4837404489517212,0.6809054017066956,6.191164970397949,0.9205272197723389
H3K27ac_TDH_some,2,128,2,290,1.8768454790115356,1.1557848453521729,4.594852447509766,0.8259172439575195
H3K27ac_TDH_some,2,256,1,267,1.388731598854065,0.5965156555175781,5.739463806152344,0.8351669311523438
H3K27ac_TDH_some,2,256,2,203,1.8373254537582397,1.3322665691375732,5.392653465270996,0.7021315097808838
H3K27ac_TDH_some,2,512,1,185,1.3238084316253662,0.6015777587890625,6.231683731079102,0.679112434387207
H3K27ac_TDH_some,2,512,2,120,1.7769396305084229,1.499630331993103,5.365068435668945,0.5277600288391113
H3K27ac_TDH_some,2,1024,1,545,0.9564647078514099,0.49865737557411194,7.45586633682251,1.5262527465820312
H3K27ac_TDH_some,2,1024,2,91,1.7062397003173828,1.5253355503082275,6.110301494598389,0.47290921211242676
H3K27ac_TDH_some,2,2048,1,423,0.9160313606262207,0.4711221158504486,7.861900806427002,1.4115052223205566
H3K27ac_TDH_some,2,2048,2,205,1.3382328748703003,1.817233920097351,12.300114631652832,0.8344182968139648
H3K27ac_TDH_some,2,4096,1,279,0.903128445148468,0.4154815375804901,8.495344161987305,1.6451120376586914
H3K27ac_TDH_some,2,4096,2,248,0.8844765424728394,2.2839066982269287,23.394142150878906,1.5159058570861816
H3K27ac_TDH_some,3,2,1,1929,4.265155792236328,1.0182371139526367,4.904680252075195,4.79720139503479
H3K27ac_TDH_some,3,2,2,464,14.82369327545166,17.502891540527344,9.617677688598633,1.3338189125061035
H3K27ac_TDH_some,3,4,1,11892,4.326214790344238,1.018215537071228,4.905817031860352,28.44251823425293
H3K27ac_TDH_some,3,4,2,125,16.603744506835938,23.82202911376953,11.696521759033203,0.5406124591827393
H3K27ac_TDH_some,3,8,1,2877,2.206329345703125,0.7617737650871277,7.113916873931885,6.871001482009888
H3K27ac_TDH_some,3,8,2,113,17.378625869750977,27.179153442382812,12.54853343963623,0.5109224319458008
H3K27ac_TDH_some,3,16,1,774,1.58894944190979,0.756298840045929,7.076372146606445,2.078904628753662
H3K27ac_TDH_some,3,16,2,569,4.570037841796875,1.8248239755630493,5.33549165725708,1.5821797847747803
H3K27ac_TDH_some,3,32,1,751,1.6193240880966187,0.7144618034362793,6.43097448348999,2.016432762145996
H3K27ac_TDH_some,3,32,2,366,2.1213014125823975,0.9081659317016602,5.500617504119873,1.0969491004943848
H3K27ac_TDH_some,3,64,1,503,1.589391827583313,0.6988328099250793,6.178794860839844,1.4102582931518555
H3K27ac_TDH_some,3,64,2,252,2.208479642868042,1.4670112133026123,5.5063910484313965,0.8337442874908447
H3K27ac_TDH_some,3,128,1,295,1.3717330694198608,0.6303095817565918,5.676111698150635,0.9362058639526367
H3K27ac_TDH_some,3,128,2,177,1.830009937286377,1.2978016138076782,5.887449264526367,0.6604540348052979
H3K27ac_TDH_some,3,256,1,236,1.3691991567611694,0.5805198550224304,6.114968299865723,0.8970217704772949
H3K27ac_TDH_some,3,256,2,146,1.778964638710022,1.309340476989746,5.131564140319824,0.6558852195739746
H3K27ac_TDH_some,3,512,1,162,1.2593417167663574,0.5911315679550171,6.400162696838379,0.7275557518005371
H3K27ac_TDH_some,3,512,2,101,1.7227703332901,1.6712486743927002,5.60216760635376,0.5575931072235107
H3K27ac_TDH_some,3,1024,1,194,1.0822206735610962,0.5522428154945374,7.081193447113037,0.8280105590820312
