dataset,num_layers,layer_size,test_fold,stop_epoch,train_loss,val_loss,test_loss,time
H3K4me3_PGP_immune,1,2,1,14791,2.6776957511901855,2.4870078563690186,2.5574822425842285,29.45226263999939
H3K4me3_PGP_immune,1,2,2,12771,2.5131819248199463,2.6982574462890625,2.6373558044433594,25.546464204788208
H3K4me3_PGP_immune,1,4,1,5522,2.386582612991333,1.9894793033599854,5.612095832824707,11.006919145584106
H3K4me3_PGP_immune,1,4,2,5492,1.9105223417282104,2.275404214859009,2.3868038654327393,10.916341781616211
H3K4me3_PGP_immune,1,8,1,5511,2.3361239433288574,1.9880588054656982,3.8464272022247314,10.94512414932251
H3K4me3_PGP_immune,1,8,2,3719,2.079235315322876,2.43833065032959,2.518216133117676,7.531679153442383
H3K4me3_PGP_immune,1,16,1,4219,2.3611347675323486,1.9970072507858276,4.377246856689453,8.513755321502686
H3K4me3_PGP_immune,1,16,2,2625,2.0622851848602295,2.411292552947998,2.4995410442352295,5.448935270309448
H3K4me3_PGP_immune,1,32,1,2900,2.3837575912475586,1.985892415046692,4.928024768829346,5.98090934753418
H3K4me3_PGP_immune,1,32,2,4497,1.607259750366211,2.0398905277252197,2.491826295852661,8.960766792297363
H3K4me3_PGP_immune,1,64,1,2481,2.3870155811309814,1.9924341440200806,5.006289005279541,5.167102813720703
H3K4me3_PGP_immune,1,64,2,4056,1.5761289596557617,2.0871288776397705,2.4312942028045654,8.182599067687988
H3K4me3_PGP_immune,1,128,1,1945,2.320317506790161,1.968279242515564,4.594042778015137,4.07425856590271
H3K4me3_PGP_immune,1,128,2,1710,1.6908657550811768,2.131420612335205,2.425340175628662,3.600414991378784
H3K4me3_PGP_immune,1,256,1,1514,2.137558698654175,2.015789747238159,3.597438335418701,3.448029041290283
H3K4me3_PGP_immune,1,256,2,2787,1.5443226099014282,1.9107685089111328,2.3410143852233887,6.140654802322388
H3K4me3_PGP_immune,1,512,1,816,2.1113076210021973,1.9256830215454102,3.3989171981811523,1.9391295909881592
H3K4me3_PGP_immune,1,512,2,868,1.6451061964035034,1.927718997001648,2.3323497772216797,2.059809923171997
H3K4me3_PGP_immune,1,1024,1,523,2.029946804046631,1.949031949043274,3.1336278915405273,1.3791139125823975
H3K4me3_PGP_immune,1,1024,2,771,1.5837945938110352,1.9947689771652222,2.308555841445923,1.9290862083435059
H3K4me3_PGP_immune,1,2048,1,327,2.0176804065704346,1.9126015901565552,3.5338754653930664,0.9509260654449463
H3K4me3_PGP_immune,1,2048,2,663,1.5376813411712646,1.9291810989379883,2.3603932857513428,1.7034614086151123
H3K4me3_PGP_immune,1,4096,1,221,2.002814769744873,1.9175611734390259,3.806013822555542,0.7421824932098389
