dataset,num_layers,layer_size,test_fold,test_ratio,stop_epoch,train_loss,val_loss,test_loss,time
cancer,1,1,1,0.1,302,2.2495899200439453,2.630764961242676,2.296767473220825,5.273183822631836
cancer,1,1,1,0.2,134,2.2296478748321533,2.514106035232544,2.2576000690460205,4.893632888793945
cancer,1,2,1,0.1,2201,0.9185336828231812,1.4226281642913818,1.2461203336715698,5.303467988967896
cancer,1,1024,1,0.1,215,0.5049147009849548,1.4605562686920166,1.592211365699768,9.892573356628418
cancer,1,1024,1,0.2,7,0.7089015245437622,1.245545506477356,1.3004363775253296,3.111689329147339
cancer,1,1024,1,0.3,52,0.581070601940155,1.285538673400879,1.414676070213318,3.680511474609375
cancer,1,1024,1,0.4,40,0.5990400314331055,1.2217084169387815,1.2748574018478394,3.5530893802642822
cancer,1,1024,1,0.5,13,0.5711966156959534,1.1978448629379272,1.3879598379135132,3.213080883026123
cancer,1,1024,2,0.1,80,0.6186593770980835,0.9962366223335266,1.717791199684143,4.308006048202515
cancer,1,1024,2,0.2,58,0.6793851256370544,0.8662168979644775,1.623573899269104,3.922910213470459
cancer,1,1024,2,0.3,66,0.6137467622756958,0.9774227738380432,1.693240523338318,3.823373556137085
cancer,1,1024,2,0.4,64,0.6321738362312317,1.0338990688323977,1.4981160163879397,3.699992895126343
cancer,1,1024,2,0.5,77,0.5549549460411072,0.9987715482711792,1.5240203142166138,3.963350296020508
cancer,1,2,1,0.2,1663,0.958258867263794,1.3360766172409058,1.307230830192566,4.259023904800415
cancer,1,2048,1,0.1,22,0.6134729385375977,1.6115233898162842,1.3953557014465332,5.337942600250244
cancer,1,2048,1,0.2,4,0.6211255192756653,1.245798945426941,1.3195842504501345,5.101181268692017
cancer,1,2048,1,0.3,34,0.5544620156288147,1.2796212434768677,1.377739191055298,6.050278663635254
cancer,1,2048,1,0.4,22,0.5616813898086548,1.214211106300354,1.3389298915863037,5.230326175689697
cancer,1,2048,1,0.5,37,0.4990516901016235,1.1987968683242798,1.4479172229766846,5.736835956573486
cancer,1,2048,2,0.1,45,0.5976414680480957,0.9835121631622314,1.723605036735535,6.524045944213867
cancer,1,2048,2,0.2,37,0.6426165699958801,0.8589264154434204,1.7194453477859497,6.287123441696167
cancer,1,2048,2,0.3,56,0.5574207901954651,0.9722901582717896,1.750143051147461,6.653642654418945
cancer,1,2048,2,0.4,43,0.5855673551559448,1.0309679508209229,1.481598734855652,5.924998044967651
cancer,1,2048,2,0.5,53,0.5332728624343872,0.9978014826774596,1.5151114463806152,6.110865592956543
cancer,1,2,1,0.3,2939,0.809566080570221,1.183780312538147,1.2531960010528564,6.503419399261475
cancer,1,4096,1,0.1,150,0.4795750975608825,1.4921048879623413,1.696427822113037,20.035776615142822
cancer,1,4096,1,0.2,8,0.583603024482727,1.2327486276626587,1.32816743850708,11.054547309875488
cancer,1,4096,1,0.3,26,0.530754566192627,1.2668733596801758,1.4112956523895264,11.891803741455078
cancer,1,4096,1,0.4,25,0.537131667137146,1.200737237930298,1.3784685134887695,11.503806114196776
cancer,1,4096,1,0.5,44,0.4841075241565704,1.185118317604065,1.3817583322525024,12.51494812965393
cancer,1,4096,2,0.1,47,0.571320652961731,0.984647274017334,1.854113221168518,11.281782388687134
cancer,1,4096,2,0.2,39,0.6442356109619141,0.854344367980957,1.6845747232437134,10.219887018203735
cancer,1,4096,2,0.3,53,0.5495942234992981,0.972444713115692,1.7961605787277222,10.678087949752808
cancer,1,4096,2,0.4,45,0.5672154426574707,1.0251506567001345,1.571317434310913,9.81111216545105
cancer,1,4096,2,0.5,51,0.5190446376800537,0.995006263256073,1.5923198461532593,10.051320791244509
cancer,1,2,1,0.4,3499,0.8172664046287537,1.1153233051300049,1.1940293312072754,7.4139392375946045
cancer,2,1,1,0.1,3907,2.2495899200439453,2.630765914916992,2.2967681884765625,9.939661979675291
cancer,2,1,1,0.2,1768,2.2302870750427246,2.514106035232544,2.277301788330078,4.70029354095459
cancer,2,1,1,0.3,1831,2.1947550773620605,2.5024337768554688,2.2714080810546875,4.719908475875855
cancer,2,1,1,0.4,1034,2.227038145065308,2.393972873687744,2.352165699005127,3.310810089111328
cancer,2,1,1,0.5,2949,2.1534643173217773,2.4197423458099365,2.256016731262207,6.910196542739868
cancer,2,1,2,0.1,5156,1.9882616996765137,2.129026412963867,2.664767026901245,11.253525972366331
cancer,2,1,2,0.2,3233,2.043521881103516,1.8416751623153689,2.637161493301392,7.703505992889404
cancer,2,1,2,0.3,2971,2.0535976886749268,1.886715054512024,2.6212408542633057,7.137826681137085
