dataset,num_layers,layer_size,stop_epoch,train_loss,val_loss,test_loss,time
detailed,1,2,4149,0.1603553593158722,0.15030308067798615,0.31748032569885254,19.51407504081726
detailed,1,4,971,0.1895623505115509,0.15698294341564178,1.4200736284255981,3.2287614345550537
detailed,1,2,4149,0.1603553593158722,0.15030308067798615,0.31748032569885254,26.82573390007019
detailed,1,4,971,0.1895623505115509,0.15698294341564178,1.4200736284255981,3.618537187576294
detailed,1,8,2425,0.1537681519985199,0.14592315256595612,0.2986045777797699,7.683769226074219
detailed,1,16,1501,0.14003583788871765,0.14450597763061523,0.26774847507476807,4.924998044967651
detailed,1,32,935,0.13349413871765137,0.1475723832845688,0.2559230625629425,3.2684261798858643
detailed,1,64,671,0.13817596435546875,0.1450178325176239,0.26183563470840454,2.4642157554626465
detailed,1,1024,91,0.12887054681777954,0.1526917964220047,0.28843769431114197,0.6507172584533691
detailed,1,2048,57,0.12009598314762115,0.1524253934621811,0.35749492049217224,0.5389523506164551
detailed,1,4096,56,0.11188185960054398,0.15364833176136017,0.4492206275463104,0.5295894145965576
detailed,2,2,2656,0.16671381890773773,0.15580227971076965,0.29950809478759766,8.816773891448975
detailed,2,4,903,0.15869446098804474,0.15156301856040955,0.41606688499450684,3.2480874061584473
detailed,2,8,611,0.167803093791008,0.15641221404075623,0.37031716108322144,2.436141014099121
detailed,2,16,629,0.13166245818138123,0.14263735711574554,0.2676737308502197,2.4935483932495117
detailed,2,32,409,0.13696467876434326,0.14376510679721832,0.2897600829601288,1.7914767265319824
detailed,2,64,214,0.12774264812469482,0.14390288293361664,0.26645153760910034,1.1488280296325684
detailed,2,1024,37,0.08910072594881058,0.14789646863937378,1.042027235031128,0.6123359203338623
detailed,2,2048,47,0.0777689665555954,0.15089057385921478,1.1286565065383911,1.322737216949463
detailed,2,4096,42,0.06281426548957825,0.14868654310703278,1.7538256645202637,3.942255973815918
detailed,3,2,244,0.3508658707141876,0.2833639681339264,3.9171698093414307,1.247704267501831
detailed,3,4,870,0.19806316494941711,0.1637376844882965,1.4615422487258911,3.464139699935913
detailed,3,8,391,0.17228375375270844,0.1513829529285431,0.39201611280441284,1.8293533325195312
detailed,3,16,228,0.15745745599269867,0.14920806884765625,0.40534600615501404,1.22218918800354
detailed,3,32,349,0.1340976357460022,0.14993634819984436,0.281136155128479,1.6919937133789062
detailed,3,64,138,0.13433358073234558,0.1485731452703476,0.4071663022041321,0.9471719264984131
detailed,3,1024,26,0.07904332131147385,0.14914679527282715,1.1489553451538086,0.788445234298706
detailed,3,2048,27,0.06753677874803543,0.14920775592327118,1.5453827381134033,1.9806227684020996
detailed,3,4096,35,0.07123862206935883,0.14939793944358826,0.941190779209137,7.080971002578735
detailed,4,2,924,0.3509537875652313,0.2833639681339264,3.968005657196045,3.914867877960205
detailed,4,4,126,0.3508630394935608,0.283570259809494,3.906498908996582,0.8910861015319824
detailed,4,8,1493,0.1497468501329422,0.13656313717365265,0.3249455690383911,6.212188720703125
detailed,4,16,242,0.15759146213531494,0.1510714739561081,0.39000704884529114,1.36350417137146
detailed,4,32,364,0.12328843027353287,0.13765418529510498,0.23674722015857697,1.8701460361480713
detailed,4,64,145,0.12440676987171173,0.1443951576948166,0.2827254831790924,1.0305547714233398
detailed,4,1024,35,0.06430777907371521,0.1477828174829483,0.9394251704216003,1.0826530456542969
detailed,4,2048,35,0.055687498301267624,0.14980323612689972,1.597119927406311,2.9672586917877197
detailed,4,4096,46,0.08500253409147263,0.15065713226795197,0.873631477355957,11.23390507698059
