Feature,Mean Importance,Lower Bound,Upper Bound
abs_skewness,0.14663538960055017,0.10904162114266935,0.18422915805843096
variance,0.0955872485813811,0.06973911978118492,0.12143537738157727
max_diff,0.09190181197271731,0.0754284755205691,0.10837514842486554
std_deviation,0.08414710460978853,0.06682335061286547,0.1014708586067116
autocorr,0.07830482611782524,0.055478233008073356,0.10113141922757712
sum_diff,0.07522391973536958,0.0638636369850439,0.08658420248569527
kurtosis,0.07061638880708387,0.05324107572750729,0.08799170188666045
count,0.0692015377279217,0.057671232419313274,0.08073184303653014
mean_diff,0.06895948589691533,0.055680224882238116,0.08223874691159255
mean,0.05668601973559015,0.04792938016830054,0.06544265930287976
unique_count,0.04113227302486407,0.018285675985130097,0.06397887006459804
max_value,0.035080551088334314,0.025988155070279198,0.04417294710638943
range_value,0.031691737734081064,0.023768070622758854,0.039615404845403275
percentile_25,0.015560825545438098,0.009922665850319715,0.02119898524055648
percentile_75,0.012405798270834642,0.006616838944986793,0.01819475759668249
iqr,0.01167314122057177,0.006775179954617244,0.016571102486526296
percentile_50,0.007877498171950225,0.004345471165077979,0.011409525178822471
median,0.007314442158782804,0.0038523203108894307,0.010776564006676176
min_value,0.0,0.0,0.0
min_diff,0.0,0.0,0.0
