Feature,Mean Importance,Lower Bound,Upper Bound
autocorr,0.2105214383540906,0.1365040567406529,0.28453881996752833
abs_skewness,0.13950686935861853,0.07258450430006008,0.20642923441717698
kurtosis,0.10049463344470175,0.043111853624228105,0.1578774132651754
mean_diff,0.07082517913282063,0.025849885535012333,0.11580047273062895
max_diff,0.05960989719531491,0.024142576756473764,0.09507721763415605
mean,0.05281659402682337,0.0142093624964119,0.09142382555723484
percentile_25,0.05048451823282493,-0.020281329012964366,0.12125036547861423
sum_diff,0.04813266425819096,0.025362093343658725,0.0709032351727232
count,0.0384268220767504,0.02426856927618983,0.05258507487731096
max_value,0.03733022383384056,0.0068704943188206595,0.06778995334886047
variance,0.0368329070428494,0.021843556333472708,0.0518222577522261
std_deviation,0.0329381917446255,0.012601592569617319,0.053274790919633684
unique_count,0.028148056392621308,0.01453490057804892,0.0417612122071937
range_value,0.026722968721623556,0.009619147729653822,0.04382678971359329
iqr,0.02493277814409791,0.008811546000436012,0.04105401028775981
percentile_75,0.022414687506609833,0.010310575587217315,0.034518799426002354
percentile_50,0.010274691988779927,0.003858880400804972,0.016690503576754882
median,0.009586878544815911,0.0042415209545892864,0.014932236135042534
min_value,0.0,0.0,0.0
min_diff,0.0,0.0,0.0
