Feature,Mean Importance,Lower Bound,Upper Bound
sum_diff,0.09993443906891053,0.07087713273573253,0.12899174540208855
mean_diff,0.09635813409172034,0.06180101666337004,0.1309152515200706
kurtosis,0.09192904140662479,0.0719255661708566,0.11193251664239298
count,0.08374938573431362,0.05968776079467815,0.10781101067394909
abs_skewness,0.08022404154914309,0.06572170297622815,0.09472638012205806
autocorr,0.07456978607212986,0.05877685784758234,0.09036271429667736
max_diff,0.06817852821731407,0.05258660613522197,0.08377045029940616
mean,0.05682533932917815,0.03839633107537378,0.07525434758298252
unique_count,0.05646628043609482,0.029581719321392017,0.08335084155079764
iqr,0.05240363919506094,0.03422493212661323,0.07058234626350864
variance,0.04487520586922841,0.030588003238319325,0.0591624085001375
max_value,0.04358791433983277,0.02688587650717108,0.060289952172494464
range_value,0.041693411720350494,0.027239094061987164,0.05614772937871382
std_deviation,0.04159368449335289,0.028013785564458972,0.055173583422246805
percentile_75,0.027192004765882627,0.004422987049981952,0.0499610224817833
median,0.014537212752455498,0.006556348070166573,0.022518077434744422
percentile_50,0.013601151676573189,0.006319048126103675,0.0208832552270427
percentile_25,0.01228079928183389,0.00583527403502789,0.01872632452863989
min_value,0.0,0.0,0.0
min_diff,0.0,0.0,0.0
