Feature,Mean Importance,Lower Bound,Upper Bound
abs_skewness,0.18792108767999255,0.07822675514665431,0.2976154202133309
kurtosis,0.15684103401810356,0.09249550994839958,0.22118655808780752
mean_diff,0.12763859986218318,0.05346614864121049,0.20181105108315583
count,0.11640197969468215,0.0546239170048254,0.17818004238453888
sum_diff,0.0873970934486236,0.054278774027509906,0.1205154128697373
max_diff,0.06599095761890464,0.0037299681450178347,0.12825194709279145
std_deviation,0.03828834892634896,0.012062840166357646,0.06451385768634028
autocorr,0.03798811372626698,0.01821876895019443,0.057757458502339536
variance,0.03675247266828059,0.012009370350917455,0.061495574985643724
max_value,0.03617921867048749,0.01576578516271398,0.056592652178261
unique_count,0.03476353996850316,0.010228085464749952,0.05929899447225638
mean,0.03196063096438861,0.019526461659079924,0.04439480026969729
range_value,0.027536639949560186,0.012559567362079294,0.04251371253704108
percentile_75,0.006273514310665697,0.0014436701185482428,0.01110335850278315
iqr,0.005168779731464308,-0.00023746895794595608,0.010575028420874572
percentile_25,0.0015788946819852625,0.00013835079705662987,0.0030194385669138953
median,0.0007288848352824897,3.79489728374378e-05,0.0014198206977275416
percentile_50,0.0005902092442766048,8.314193616916385e-05,0.001097276552384046
min_value,0.0,0.0,0.0
min_diff,0.0,0.0,0.0
