Feature,Mean Importance,Lower Bound,Upper Bound
autocorr,0.2645066431036107,0.09498439466404249,0.43402889154317903
kurtosis,0.09556908586566934,-0.012498581538823168,0.20363675327016187
count,0.09177661214099125,0.034922747404525334,0.14863047687745717
sum_diff,0.07108711363376938,0.02889877929467497,0.11327544797286376
iqr,0.0655179822949207,0.02483436429901859,0.10620160029082279
abs_skewness,0.056631438719076894,0.0032020836467668012,0.11006079379138699
variance,0.05154047697725621,0.02254179710897858,0.08053915684553384
max_diff,0.05086964960381028,0.015607789794739488,0.08613150941288107
mean_diff,0.04969884945592902,0.01313602114650481,0.08626167776535323
mean,0.04315704154144266,0.018531626677359823,0.06778245640552549
std_deviation,0.038659565190541284,0.01105310332901811,0.06626602705206447
percentile_75,0.03789285935900818,0.015209761449320762,0.0605759572686956
max_value,0.01920309785653438,0.004432898234704552,0.03397329747836421
median,0.01868918152705205,0.008611933337491589,0.02876642971661251
percentile_50,0.016494383071945604,0.0035436285043526005,0.029445137639538602
unique_count,0.012584448688486422,0.0023811889636866593,0.022787708413286187
range_value,0.01114556734199212,0.004762367233830546,0.017528767450153696
percentile_25,0.004976003627963489,0.0012796481955990948,0.008672359060327883
min_value,0.0,0.0,0.0
min_diff,0.0,0.0,0.0
