Feature,Mean Importance,Lower Bound,Upper Bound
mean_diff,0.12155778781155444,-0.0006631372097207315,0.2437787128328296
max_value,0.1060499185150015,0.0547865036720943,0.1573133333579087
unique_count,0.09847359267722589,0.04819134838235216,0.1487558369720996
sum_diff,0.0958606711573318,0.014689157232984293,0.1770321850816793
count,0.09307875214972189,0.017184733686358374,0.1689727706130854
abs_skewness,0.08224587009043084,0.03453232400732419,0.1299594161735375
range_value,0.07882797184574761,0.04289000664677148,0.11476593704472375
max_diff,0.05588883270946189,0.013833076291892975,0.09794458912703081
kurtosis,0.053026696024490234,0.00882717562882204,0.09722621642015843
std_deviation,0.04007972451304102,0.00912938216605336,0.07103006686002869
variance,0.0375748666756817,0.012101293673267694,0.0630484396780957
autocorr,0.03142429214223239,0.007037106147976019,0.05581147813648876
percentile_50,0.021207668740742973,-0.0008820402862315772,0.04329737776771752
mean,0.0196193466392054,0.010240064679877068,0.028998628598533735
iqr,0.019344936170436387,-0.00626480666566145,0.04495467900653422
median,0.018631325702910005,-0.0066612127967399385,0.043923864202559955
percentile_25,0.017326970326026907,-0.0016111427904462808,0.036265083442500096
percentile_75,0.00978077610875713,0.0018687628810329687,0.017692789336481288
min_value,0.0,0.0,0.0
min_diff,0.0,0.0,0.0
