Feature,Mean Importance,Lower Bound,Upper Bound
unique_count,0.10905400457511727,0.05669883045811126,0.1614091786921233
autocorr,0.10273762596954468,0.04960473534313268,0.1558705165959567
mean,0.0715014304544562,0.03895465541333281,0.10404820549557958
mean_diff,0.0696251575852015,0.04416578649821859,0.09508452867218442
max_diff,0.06825595363691628,0.05247214665097343,0.08403976062285912
variance,0.06808309934429832,0.030085587197176876,0.10608061149141979
max_value,0.06281308015658754,0.039677493387439595,0.08594866692573551
std_deviation,0.061697068212559644,0.02955211373762915,0.09384202268749013
kurtosis,0.06137095135557473,0.030103000837513803,0.09263890187363566
abs_skewness,0.05946558391864467,0.04450287833769648,0.07442828949959288
count,0.05724433960492338,0.04087095738078579,0.07361772182906097
sum_diff,0.05686058521181887,0.03415720180814383,0.07956396861549392
range_value,0.05563196167817659,0.03658536198652891,0.07467856136982429
percentile_75,0.02471324391355747,0.006329666485490151,0.04309682134162479
percentile_50,0.020761604413240032,0.006647579237047724,0.03487562958943234
median,0.020468194062310124,0.007095633970113367,0.03384075415450688
iqr,0.017088815167257347,0.005999203763016895,0.028178426571497793
percentile_25,0.012627300739815361,0.006174362133554311,0.01908023934607641
min_value,0.0,0.0,0.0
min_diff,0.0,0.0,0.0
