Feature,Mean Importance,Lower Bound,Upper Bound
sum_diff,0.18023401569612976,0.11680922295635902,0.2436588084359005
mean_diff,0.11399326943508314,0.05226630311762956,0.1757202357525367
count,0.10254100359944078,0.07725802847280436,0.1278239787260772
max_diff,0.09535405763835751,0.04680773333875062,0.1439003819379644
autocorr,0.09381723854595506,0.04559109875802229,0.14204337833388783
mean,0.056347071195594095,0.03495449792568102,0.07773964446550717
kurtosis,0.05284808467784277,0.030281082612323207,0.07541508674336234
abs_skewness,0.051669942622421416,0.031370338212840354,0.07196954703200249
unique_count,0.04486318560208455,0.02069943705985851,0.06902693414431058
variance,0.042621613785083765,0.02510969821090782,0.06013352935925972
std_deviation,0.04047610554968774,0.024207492241946432,0.05674471885742904
max_value,0.024948291343286973,0.018662852443617164,0.031233730242956777
range_value,0.024564078885045505,0.017433673338604676,0.03169448443148633
percentile_75,0.024040084637355817,0.011843347618538266,0.03623682165617337
iqr,0.02166900516501847,0.005475340863884625,0.03786266946615231
percentile_25,0.011304707337343846,0.0052227964974389,0.017386618177248795
percentile_50,0.009671793761718606,0.003037704849616241,0.016305882673820972
median,0.009036450522550192,0.004443352353638002,0.01362954869146238
min_value,0.0,0.0,0.0
min_diff,0.0,0.0,0.0
