Feature,Mean Importance,Lower Bound,Upper Bound
count,0.12372347861704051,0.07619355045855729,0.17125340677552375
mean_diff,0.12127320821311463,0.05895469603476309,0.18359172039146615
max_diff,0.11600964805380531,0.06079596846662807,0.17122332764098258
sum_diff,0.11394799614543955,0.0705623907979572,0.1573336014929219
kurtosis,0.06660476204903702,0.040995849040131344,0.0922136750579427
abs_skewness,0.06497912190975833,0.03482066373135645,0.0951375800881602
mean,0.057209673181693566,0.03071618567576167,0.08370316068762547
autocorr,0.05215817130032405,0.03071846021005003,0.07359788239059807
unique_count,0.04834628420669573,0.0048565661494612365,0.09183600226393022
variance,0.046131463241715825,0.019274540103882146,0.0729883863795495
std_deviation,0.04247935871827578,0.023308951804041328,0.061649765632510234
max_value,0.029248592601295604,0.019001058331580195,0.03949612687101101
range_value,0.027114222331320964,0.016937529736561492,0.03729091492608043
iqr,0.02175928236827859,0.012440924369690045,0.031077640366867134
percentile_50,0.020287825215798715,0.01080468300575013,0.029770967425847304
percentile_25,0.01753476167521347,0.010641195985208823,0.024428327365218116
median,0.017399706853921663,0.008193931890400682,0.026605481817442645
percentile_75,0.013792443317270708,0.008006164150441943,0.019578722484099476
min_value,0.0,0.0,0.0
min_diff,0.0,0.0,0.0
