seqID,small_end,big_end
0,-5.0,0.5
1,-5.0,0.5
2,-1.5,5.0
3,-1.0,5.0
4,0.0,5.0
5,-5.0,1.0
6,-5.0,1.0
7,-5.0,-0.5
8,-5.0,0.0
9,-1.0,5.0
10,-5.0,0.0
11,-1.5,5.0
12,0.0,5.0
13,-0.5,5.0
14,-5.0,0.0
15,-5.0,1.0
16,-5.0,1.0
17,-5.0,0.5
18,-5.0,0.5
19,-1.0,0.0
20,-5.0,0.0
21,-5.0,1.0
22,-5.0,0.0
23,-5.0,0.5
24,-5.0,0.0
25,-5.0,0.5
26,-5.0,0.0
27,-5.0,-0.5
28,-5.0,0.5
29,-1.0,5.0
30,-0.5,5.0
31,-5.0,-0.5
32,-1.5,5.0
33,-1.5,5.0
34,-5.0,-0.5
35,-1.5,5.0
36,-1.5,5.0
37,-5.0,-0.5
38,-0.5,5.0
39,-1.0,5.0
40,-5.0,0.5
41,0.0,5.0
42,-5.0,0.0
43,-5.0,-0.5
44,-5.0,0.5
45,-5.0,0.0
46,-5.0,-0.5
47,-5.0,0.0
48,-5.0,0.5
49,-5.0,0.5
50,-5.0,0.0
51,-2.0,5.0
52,-1.5,0.5
53,-5.0,0.5
54,-5.0,0.0
55,-2.0,5.0
56,-5.0,0.0
57,-0.5,0.0
58,-5.0,0.0
59,-5.0,0.0
60,-5.0,0.0
61,-5.0,-0.5
62,-5.0,0.0
63,-5.0,0.0
64,-5.0,0.0
65,-0.5,5.0
66,-1.0,5.0
67,-5.0,0.0
68,-5.0,1.0
69,-1.5,5.0
70,-5.0,1.0
71,-1.0,5.0
72,-5.0,0.5
73,-5.0,0.5
74,-5.0,1.0
75,-5.0,0.0
76,-5.0,1.0
77,-5.0,-0.5
78,-5.0,-0.5
79,-5.0,0.0
80,-1.0,5.0
81,-5.0,0.5
82,-1.0,5.0
83,-5.0,1.5
84,-1.5,5.0
85,1.0,5.0
86,1.0,2.0
87,-5.0,0.5
88,-5.0,1.0
89,-5.0,0.5
90,1.0,2.5
91,-5.0,1.5
92,-5.0,2.5
93,-5.0,0.0
94,2.5,5.0
95,-5.0,1.5
96,1.0,1.0
97,0.0,1.5
98,1.5,2.5
99,-5.0,0.0
100,1.5,5.0
101,1.5,5.0
102,1.0,5.0
103,-5.0,3.0
104,-5.0,1.0
105,-5.0,0.0
106,-5.0,0.0
107,0.5,0.5
108,-5.0,0.0
109,-5.0,0.0
110,-5.0,-0.5
111,-5.0,0.0
112,1.0,2.0
113,1.0,5.0
114,1.0,5.0
115,-5.0,0.0
116,-5.0,0.5
117,-5.0,-0.5
118,-5.0,-0.5
119,-5.0,0.5
120,-5.0,0.0
121,-5.0,1.0
122,-5.0,0.0
123,-5.0,5.0
124,-5.0,-0.5
125,-5.0,0.0
126,-5.0,-0.5
127,-5.0,0.0
128,-5.0,-0.5
129,-5.0,0.5
130,-5.0,5.0
131,-5.0,-0.5
132,-5.0,1.5
133,-5.0,0.5
134,-0.5,5.0
135,-5.0,0.0
136,-5.0,0.0
137,-5.0,5.0
138,1.0,5.0
139,1.0,2.0
140,-5.0,1.5
141,-5.0,1.0
142,-5.0,0.0
143,0.0,0.0
144,-5.0,0.5
145,-5.0,0.5
146,-5.0,1.5
147,0.5,0.5
148,-5.0,0.0
149,1.5,2.5
150,-5.0,0.5
151,1.0,5.0
152,-5.0,0.5
153,-5.0,5.0
154,-5.0,1.5
155,-5.0,-0.5
156,-5.0,-0.5
157,-5.0,-0.5
158,1.0,5.0
159,-5.0,0.5
160,-5.0,0.0
161,-5.0,-0.5
162,-5.0,0.0
163,-5.0,-1.0
164,-5.0,0.5
165,-5.0,5.0
166,-5.0,2.0
167,-5.0,5.0
168,-5.0,-0.5
169,-5.0,-0.5
170,-5.0,1.5
171,-5.0,5.0
172,-5.0,0.0
173,-5.0,5.0
174,0.0,0.0
175,-5.0,-0.5
176,-5.0,5.0
177,-5.0,-0.5
178,-5.0,5.0
179,-5.0,-0.5
180,1.0,1.0
181,1.0,5.0
182,-5.0,-0.5
183,-5.0,0.0
184,0.0,0.0
185,-5.0,0.0
186,0.5,0.5
187,-5.0,0.5
188,-5.0,0.0
189,-5.0,1.0
190,-5.0,1.5
191,-5.0,1.0
192,-5.0,1.0
193,-5.0,1.0
194,-5.0,0.0
195,-1.0,0.5
196,-5.0,0.5
197,-5.0,0.0
198,-5.0,0.5
199,-1.5,5.0
200,-5.0,0.5
201,-1.0,0.5
202,-5.0,-0.5
203,-1.0,5.0
204,-5.0,-1.0
205,-5.0,0.5
206,-5.0,0.5
207,-1.0,5.0
208,-5.0,0.0
209,-5.0,0.0
210,-5.0,-0.5
211,-5.0,0.5
212,-5.0,0.5
213,-5.0,-0.5
214,-5.0,0.0
215,-5.0,0.0
216,-5.0,1.0
217,-1.0,5.0
218,-2.0,5.0
219,-5.0,0.0
220,-5.0,1.0
221,-5.0,0.5
222,-5.0,0.5
223,-5.0,0.0
224,-1.0,5.0
225,-5.0,-0.5
226,-5.0,0.0
227,-5.0,0.5
228,-5.0,1.0
229,-5.0,0.5
230,-5.0,0.5
231,-5.0,1.5
232,-5.0,0.5
233,-5.0,0.5
234,-5.0,1.0
235,0.5,5.0
236,2.0,2.0
237,-5.0,0.5
238,1.5,5.0
239,1.0,5.0
240,1.0,1.5
241,-5.0,5.0
242,0.0,5.0
243,-5.0,0.5
244,2.5,5.0
245,1.0,5.0
246,1.0,5.0
247,1.0,1.0
248,-5.0,1.0
249,-5.0,1.0
250,1.0,5.0
251,-5.0,1.0
252,-5.0,1.5
253,-0.5,5.0
254,-5.0,0.5
255,-5.0,0.5
256,-5.0,0.5
257,-5.0,-0.5
258,-5.0,1.0
259,-5.0,1.5
260,-5.0,0.5
261,-5.0,0.0
262,-5.0,0.0
263,-5.0,0.0
264,-1.0,5.0
265,-5.0,0.0
266,-5.0,0.0
267,-5.0,0.5
268,-1.0,5.0
269,-5.0,1.0
270,-1.0,5.0
271,-1.5,0.0
272,-5.0,0.0
273,-5.0,0.0
274,-5.0,0.0
275,-5.0,0.5
276,-1.5,5.0
277,-5.0,-0.5
278,-5.0,1.0
279,-5.0,0.0
280,-5.0,0.5
281,-0.5,5.0
282,0.0,0.0
283,-5.0,0.5
284,-0.5,5.0
285,-0.5,5.0
286,-0.5,5.0
287,-5.0,0.0
288,-1.0,0.0
289,-5.0,0.5
290,-0.5,0.0
291,0.0,5.0
292,-0.5,5.0
293,-5.0,0.0
294,-5.0,0.0
295,0.0,5.0
296,-5.0,0.0
297,-5.0,-0.5
298,-5.0,1.0
299,-1.0,5.0
300,-5.0,0.0
301,-1.0,5.0
302,-5.0,0.5
303,-5.0,0.5
304,0.0,5.0
305,-5.0,0.0
306,-5.0,-0.5
307,-5.0,-0.5
308,-5.0,0.0
309,-5.0,-0.5
310,0.5,5.0
311,-5.0,-0.5
312,-5.0,0.5
313,-1.0,5.0
314,-5.0,0.5
315,-0.5,1.0
316,-5.0,0.5
317,-5.0,1.0
318,-5.0,1.0
319,-5.0,0.5
320,-0.5,0.5
321,-0.5,5.0
322,-1.5,0.0
323,-5.0,0.5
324,-5.0,0.0
325,-5.0,0.0
326,-0.5,5.0
327,-5.0,0.0
328,-0.5,5.0
329,-5.0,0.0
330,-1.0,0.5
331,-5.0,1.0
332,-5.0,0.5
333,-5.0,-0.5
334,-5.0,0.0
335,-5.0,0.0
336,-5.0,0.5
337,-5.0,0.0
338,-1.5,5.0
339,-1.0,5.0
340,-5.0,0.0
341,-5.0,0.0
342,-5.0,0.0
343,-1.0,5.0
344,-5.0,0.0
345,-5.0,0.0
346,-5.0,0.0
347,-5.0,-1.0
348,-5.0,0.5
349,-5.0,0.5
350,-1.5,5.0
351,-5.0,0.0
352,-1.5,5.0
353,-1.0,5.0
354,-1.5,5.0
355,-1.5,5.0
356,1.5,5.0
357,-5.0,-0.5
358,-5.0,0.0
359,-5.0,0.0
360,-5.0,0.0
361,-0.5,5.0
362,-5.0,0.5
363,-5.0,0.5
364,-5.0,-0.5
365,-5.0,0.5
366,-5.0,0.0
367,-5.0,0.0
368,-1.5,0.0
369,-0.5,5.0
370,-5.0,0.0
371,-5.0,1.0
372,-5.0,0.5
373,-0.5,5.0
374,-5.0,0.5
375,-1.0,5.0
376,0.0,5.0
377,-5.0,0.0
378,0.0,5.0
379,-5.0,0.0
380,-5.0,0.0
381,-5.0,-0.5
382,-5.0,1.0
383,-1.5,5.0
384,-5.0,0.5
385,-1.0,5.0
386,-5.0,2.5
387,-5.0,-0.5
388,-5.0,0.5
389,-5.0,0.0
390,-5.0,0.0
391,-5.0,0.0
392,-5.0,0.5
393,-5.0,0.0
394,-5.0,1.0
395,-5.0,0.5
396,-5.0,1.0
397,-5.0,0.0
398,-5.0,0.0
399,-5.0,0.0
400,-5.0,0.5
401,-5.0,1.0
402,-5.0,1.0
403,-5.0,1.0
404,-5.0,0.0
405,-5.0,0.5
406,-5.0,1.0
407,-5.0,0.0
408,-5.0,1.0
409,-5.0,0.5
410,-5.0,0.5
411,-1.5,5.0
412,-1.0,5.0
