sequenceID,sum_diff,mean_diff,max_diff,min_diff,std_deviation,mean,median,variance,min_value,max_value,range_value,iqr,abs_skewness,kurtosis,count,unique_count,percentile_25,percentile_50,percentile_75,autocorr
H3K4me3_TDH_ENCODE/samples/aorta/ENCFF115HTK/problems/chr1:30028082-91800000,2379504,1.0207644459697138,40,1,11.419991022862172,6.502836642427763,2.0,130.4161949622526,0,75,75,3.0,2.607106041973817,6.2390633887223785,2331101,76,1.0,2.0,4.0,0.9959027908282292
H3K4me3_TDH_ENCODE/samples/aorta/ENCFF115HTK/problems/chr2:110251337-149690582,1213396,1.014861658360007,56,1,8.927777053153877,4.316429524902395,2.0,79.7052031108209,0,115,115,2.0,3.784811645984605,14.903609497925911,1195628,113,1.0,2.0,3.0,0.9933413226054548
H3K4me3_TDH_ENCODE/samples/aorta/ENCFF115HTK/problems/chr3:93504854-194041961,3699449,1.0173841851849,33,1,10.192296551953472,5.399233603310235,2.0,103.88290900296263,0,81,81,3.0,3.114016400945558,9.488045863926942,3636237,82,1.0,2.0,4.0,0.9949037222437108
H3K4me3_TDH_ENCODE/samples/aorta/ENCFF115HTK/problems/chr4:32840638-40296396,242320,1.0140779055558349,31,1,9.105256628554612,4.330561565469938,2.0,82.90569827183774,0,77,77,2.0,3.817908774210574,14.893311415551633,238957,78,1.0,2.0,3.0,0.9936588878692196
H3K4me3_TDH_ENCODE/samples/aorta/ENCFF115HTK/problems/chr4:40297096-49000000,298723,1.0137440484876457,22,1,8.74949972054407,4.355884808296626,2.0,76.55374535980079,0,72,72,2.0,3.856930916175476,15.618140079648612,294674,73,1.0,2.0,3.0,0.9931681510089676
H3K4me3_TDH_ENCODE/samples/aorta/ENCFF502AXL/problems/chr1:30028082-91800000,2269275,1.0278351496045874,53,1,15.610084901199958,8.82293401503111,2.0,243.6747506226709,0,92,92,5.0,2.3449440399584294,4.691178064040477,2207821,93,1.0,2.0,6.0,0.997752175438777
H3K4me3_TDH_ENCODE/samples/aorta/ENCFF502AXL/problems/chr2:110251337-149690582,1114088,1.0195940615625096,45,1,12.428927639698513,5.7239472891855705,2.0,154.47824227286162,0,127,127,2.0,3.3885926852448205,11.460808171645027,1092679,127,1.0,2.0,3.0,0.9965122209996266
H3K4me3_TDH_ENCODE/samples/aorta/ENCFF502AXL/problems/chr3:93504854-194041961,3466187,1.0231842337764236,40,1,14.009508778730636,7.205910708550594,2.0,196.2663362213308,0,101,101,3.0,2.822006284302208,7.461960987491004,3387648,102,1.0,2.0,4.0,0.9972417847647606
H3K4me3_TDH_ENCODE/samples/aorta/ENCFF502AXL/problems/chr4:32840638-40296396,223334,1.0191337996997367,35,1,12.888870847508302,5.861669602358289,2.0,166.1229917237494,0,93,93,2.0,3.3825989662580254,11.171958433406385,219142,94,1.0,2.0,3.0,0.996771112600288
H3K4me3_TDH_ENCODE/samples/aorta/ENCFF502AXL/problems/chr4:40297096-49000000,272183,1.0183440586650705,21,1,12.35807668181396,5.78332541407732,2.0,152.7220592735939,0,89,89,2.0,3.472760710020143,12.227360995781885,267281,90,1.0,2.0,3.0,0.9965290636297472
H3K4me3_TDH_ENCODE/samples/aorta/ENCFF974KVN/problems/chr1:30028082-91800000,736409,1.0157043293798955,14,1,6.440439126649243,3.969856170278501,1.0,41.479256144074455,0,46,46,3.0,2.161566823381682,4.076373300897048,725024,47,0.0,1.0,3.0,0.9873309987025458
H3K4me3_TDH_ENCODE/samples/aorta/ENCFF974KVN/problems/chr2:110251337-149690582,350318,1.011421576269914,35,1,5.254752611877859,2.673117509664716,1.0,27.61242501203719,0,64,64,2.0,3.204442614409698,11.403253577459497,346363,65,0.0,1.0,2.0,0.9810317222760282
H3K4me3_TDH_ENCODE/samples/aorta/ENCFF974KVN/problems/chr3:93504854-194041961,1085349,1.0127074916256893,15,1,5.811863449773344,3.2639197709126635,1.0,33.77775675881131,0,46,46,2.0,2.593044849639333,6.480734755455394,1071731,47,0.0,1.0,2.0,0.984585764943698
H3K4me3_TDH_ENCODE/samples/aorta/ENCFF974KVN/problems/chr4:32840638-40296396,69236,1.0111578455427035,12,1,5.663793923152837,2.806127962846669,1.0,32.078561603943,0,44,44,2.0,3.072444288414759,9.511969734018138,68473,45,0.0,1.0,2.0,0.9837819809776128
H3K4me3_TDH_ENCODE/samples/aorta/ENCFF974KVN/problems/chr4:40297096-49000000,84735,1.009904176201373,13,1,5.090335892534898,2.58910672784697,1.0,25.91151949882906,0,39,39,2.0,3.2320949631598888,10.835896350554783,83905,40,0.0,1.0,2.0,0.9800434793833568
H3K4me3_TDH_ENCODE/samples/colon/ENCFF332UYK/problems/chr1:30028082-91800000,4359404,1.0120597837656882,10,1,2.425322245014126,3.5820274974242348,3.0,5.882187992160359,0,38,38,3.0,2.625303976861713,14.837009105217415,4307458,39,2.0,3.0,5.0,0.9117527659874878
H3K4me3_TDH_ENCODE/samples/colon/ENCFF332UYK/problems/chr2:110251337-149690582,2593138,1.0122750852658768,61,1,2.424314937722577,3.4617706096044256,3.0,5.877302917264823,0,142,142,3.0,7.995718679343653,248.19277105139645,2561694,133,2.0,3.0,5.0,0.9112524420855728
H3K4me3_TDH_ENCODE/samples/colon/ENCFF332UYK/problems/chr3:93504854-194041961,7302146,1.012209901687856,12,1,2.281161024950175,3.598369102353403,3.0,5.2036956217517325,0,38,38,3.0,2.415109869869229,14.841863157418585,7214064,39,2.0,3.0,5.0,0.9001984835898879
H3K4me3_TDH_ENCODE/samples/colon/ENCFF332UYK/problems/chr4:32840638-40296396,546576,1.0122827552486924,15,1,2.231710809897539,3.5716804489346137,3.0,4.980533139013528,0,32,32,3.0,2.3401887519610045,14.369527087744167,539945,33,2.0,3.0,5.0,0.895612124864692
H3K4me3_TDH_ENCODE/samples/colon/ENCFF332UYK/problems/chr4:40297096-49000000,629976,1.0121836203170669,7,1,2.1387551602175408,3.530580307650781,3.0,4.574273635357158,0,33,33,3.0,2.15769912445607,14.51309356029991,622394,34,2.0,3.0,5.0,0.8864657530919792
H3K4me3_TDH_ENCODE/samples/colon/ENCFF873WWR/problems/chr1:30028082-91800000,1266578,1.0131197527388145,21,1,8.203942098653508,4.2636866619686655,1.0,67.30466595805932,0,67,67,2.0,2.900963006509052,8.243880855188252,1250177,68,1.0,1.0,3.0,0.9922484691054376
H3K4me3_TDH_ENCODE/samples/colon/ENCFF873WWR/problems/chr2:110251337-149690582,682922,1.0101036694764465,60,1,6.619020772326888,2.9389165971495004,1.0,43.81143598449483,0,117,117,1.0,4.397130703173006,23.367055265039244,676092,116,1.0,1.0,2.0,0.9880554220881376
H3K4me3_TDH_ENCODE/samples/colon/ENCFF873WWR/problems/chr3:93504854-194041961,1957996,1.0102099517750167,17,1,7.08425960274417,3.3681034233683897,1.0,50.186734119073,0,67,67,1.0,3.594571030875392,13.508491156335126,1938208,68,1.0,1.0,2.0,0.9897095698105632
H3K4me3_TDH_ENCODE/samples/colon/ENCFF873WWR/problems/chr4:32840638-40296396,146106,1.00892875639618,16,1,6.864000311913454,3.05351692515917,1.0,47.114500281948,0,56,56,1.0,4.052218058395234,16.991702709379766,144814,57,1.0,1.0,2.0,0.9890658273946566
H3K4me3_TDH_ENCODE/samples/colon/ENCFF873WWR/problems/chr4:40297096-49000000,165501,1.009035538565654,12,1,6.440938194656249,2.9096817461285207,1.0,41.48568482738171,0,61,61,1.0,4.29854062047021,20.087344051910247,164020,62,1.0,1.0,2.0,0.9875925052298168
H3K4me3_TDH_ENCODE/samples/skeletalMuscle/ENCFF000BMB/problems/chr1:30028082-91800000,387048,1.0819042507693986,6,1,3.803096331531816,2.8018325748851147,1.0,14.463541706910751,0,30,30,4.0,1.836203843143456,3.152393429398262,357748,31,0.0,1.0,4.0,0.9562806163407548
H3K4me3_TDH_ENCODE/samples/skeletalMuscle/ENCFF000BMB/problems/chr2:110251337-149690582,192130,1.0749493660971052,21,1,4.152785527362045,2.244361764623605,1.0,17.24562763626766,0,160,160,2.0,8.440597292263027,211.1270302020647,178735,91,0.0,1.0,2.0,0.9632840365592852
H3K4me3_TDH_ENCODE/samples/skeletalMuscle/ENCFF000BMB/problems/chr3:93504854-194041961,537176,1.0727236055667495,6,1,3.549336134825647,2.394210799584632,1.0,12.597786997979062,0,33,33,3.0,2.1635387329339006,4.767744224103828,500760,33,0.0,1.0,3.0,0.9510589116892074
H3K4me3_TDH_ENCODE/samples/skeletalMuscle/ENCFF000BMB/problems/chr4:32840638-40296396,32032,1.0647166361974405,5,1,3.29068914356368,2.066908196503357,1.0,10.828635039567862,0,24,24,2.0,2.354600699483904,5.484596711403468,30086,25,0.0,1.0,2.0,0.9442241296968816
H3K4me3_TDH_ENCODE/samples/skeletalMuscle/ENCFF000BMB/problems/chr4:40297096-49000000,35314,1.0618835698821265,4,1,3.17984318668738,1.892954866644616,1.0,10.111402691922148,0,26,26,2.0,2.724582308151556,8.142787149924601,33257,27,0.0,1.0,2.0,0.940881074670058
H3K4me3_TDH_ENCODE/samples/skeletalMuscle/ENCFF000BMD/problems/chr1:30028082-91800000,553792,1.2291575111087436,37,1,14.763386204869894,11.40868988141082,4.0,217.9575722341427,0,187,187,17.0,1.7178270699976137,3.406258032322552,450547,140,1.0,4.0,18.0,0.995672922613044
H3K4me3_TDH_ENCODE/samples/skeletalMuscle/ENCFF000BMD/problems/chr2:110251337-149690582,230204,1.1989354554781857,163,1,14.169542272259417,9.008713178617558,2.0,200.7759282053465,0,575,575,13.0,6.53029780489626,184.64915307710044,192008,156,1.0,2.0,14.0,0.9942092584767946
H3K4me3_TDH_ENCODE/samples/skeletalMuscle/ENCFF000BMD/problems/chr3:93504854-194041961,681354,1.2216030723222069,1445,1,24.719247329391816,10.194273471327016,3.0,611.0411885316444,0,3258,3258,15.0,81.87867453389116,10126.474727940997,557755,232,1.0,3.0,16.0,0.9913468418192504
H3K4me3_TDH_ENCODE/samples/skeletalMuscle/ENCFF000BMD/problems/chr4:32840638-40296396,34734,1.1806254248810333,8,1,12.963882098881538,8.767173107644199,1.0,168.06223907370116,0,97,97,12.0,1.889855014457794,3.698739991256855,29421,93,1.0,1.0,13.0,0.9950354761812622
H3K4me3_TDH_ENCODE/samples/skeletalMuscle/ENCFF000BMD/problems/chr4:40297096-49000000,45022,1.415519084449475,539,1,89.66066900913584,12.72578363253372,1.0,8039.035567165812,0,3046,3046,11.0,29.75759510263133,942.1148427565917,31807,162,1.0,1.0,12.0,0.9966753011205766
H3K4me3_TDH_ENCODE/samples/skeletalMuscle/ENCFF063EVY/problems/chr1:30028082-91800000,305594,1.041482915391484,5,1,7.302658858786318,6.690688868970735,4.0,53.32882640781029,0,46,46,10.0,1.1984824313960016,0.8018886227671174,293423,47,1.0,4.0,11.0,0.9894477579912356
H3K4me3_TDH_ENCODE/samples/skeletalMuscle/ENCFF063EVY/problems/chr2:110251337-149690582,106790,1.0328352434837271,18,1,6.587802103625586,5.201061936631978,2.0,43.3991365565337,0,40,40,8.0,1.4911601011791888,1.6673878238941953,103396,41,1.0,2.0,9.0,0.987278456816088
H3K4me3_TDH_ENCODE/samples/skeletalMuscle/ENCFF063EVY/problems/chr3:93504854-194041961,371510,1.0364201922138063,5,1,6.997280782049809,5.9286188541968885,3.0,48.96193834284358,0,44,44,9.0,1.3617251105906012,1.3198725794487944,358456,45,1.0,3.0,10.0,0.9886634497772042
H3K4me3_TDH_ENCODE/samples/skeletalMuscle/ENCFF063EVY/problems/chr4:32840638-40296396,18834,1.0350057701818982,12,1,6.701817827973532,5.536267721727662,2.0,44.91436219934386,0,36,36,8.0,1.3442905199507025,1.1492605676909458,18198,37,1.0,2.0,9.0,0.9875703657415196
H3K4me3_TDH_ENCODE/samples/skeletalMuscle/ENCFF063EVY/problems/chr4:40297096-49000000,20814,1.040023984410133,6,1,7.80603679197582,5.898371140201859,1.0,60.93421039768016,0,43,43,9.0,1.4780434157940767,1.3870490025784017,20014,44,1.0,1.0,10.0,0.9907798466572802
H3K4me3_TDH_ENCODE/samples/skeletalMuscle/ENCFF280HQO/problems/chr1:30028082-91800000,1043152,1.0174601146450966,12,1,3.7533603350752665,2.4772582740633524,1.0,14.087713804916316,0,30,30,2.0,2.35080906020493,5.508687159774194,1025252,31,0.0,1.0,2.0,0.9626064425795512
H3K4me3_TDH_ENCODE/samples/skeletalMuscle/ENCFF280HQO/problems/chr2:110251337-149690582,524352,1.0112668993847755,11,1,2.8822910506652946,1.6780454030869163,1.0,8.307601700745249,0,54,54,2.0,3.580224612133402,17.13613095761958,518511,54,0.0,1.0,2.0,0.9377084124010452
H3K4me3_TDH_ENCODE/samples/skeletalMuscle/ENCFF280HQO/problems/chr3:93504854-194041961,1700098,1.0143425738592735,10,1,3.3181951481805583,2.07796140949608,1.0,11.010419041408996,0,33,33,2.0,2.782129428407105,8.307538060939736,1676060,34,0.0,1.0,2.0,0.9525941055227096
H3K4me3_TDH_ENCODE/samples/skeletalMuscle/ENCFF280HQO/problems/chr4:32840638-40296396,108730,1.0118936827606746,8,1,3.052587164667689,1.7700669129759057,1.0,9.318288397893925,0,24,24,2.0,3.1834982911413814,10.97112713946074,107453,25,0.0,1.0,2.0,0.9443489500829916
H3K4me3_TDH_ENCODE/samples/skeletalMuscle/ENCFF280HQO/problems/chr4:40297096-49000000,125404,1.0107519948416217,6,1,2.9068735499732075,1.6540529213111848,1.0,8.449913835533838,0,27,27,2.0,3.558109603161949,14.30773529101015,124071,28,0.0,1.0,2.0,0.9388765511965368
H3K4me3_TDH_ENCODE/samples/skeletalMuscle/ENCFF290WZR/problems/chr1:30028082-91800000,1511946,1.0204116617241523,13,1,5.982826883515981,3.436586819355836,1.0,35.79421751812154,0,47,47,2.0,2.530080425450779,5.999650264262316,1481703,48,0.0,1.0,2.0,0.9851670893404696
H3K4me3_TDH_ENCODE/samples/skeletalMuscle/ENCFF290WZR/problems/chr2:110251337-149690582,786950,1.013275133910177,18,1,4.538478548034583,2.246547632690008,1.0,20.59778753097009,0,61,61,2.0,3.716075816679567,15.017579661810917,776641,61,0.0,1.0,2.0,0.9747130746256584
H3K4me3_TDH_ENCODE/samples/skeletalMuscle/ENCFF290WZR/problems/chr3:93504854-194041961,2470430,1.0157834315497585,14,1,5.163630996082623,2.767225113022169,1.0,26.663085063705225,0,43,43,2.0,3.0658857728485,9.496208169847636,2432045,44,0.0,1.0,2.0,0.9803477526053326
H3K4me3_TDH_ENCODE/samples/skeletalMuscle/ENCFF290WZR/problems/chr4:32840638-40296396,163924,1.012282706024022,6,1,4.61248817280861,2.2707859895267264,1.0,21.27504714429931,0,41,41,2.0,3.6594396728753855,14.079149674331248,161936,41,0.0,1.0,2.0,0.9756254434145613
H3K4me3_TDH_ENCODE/samples/skeletalMuscle/ENCFF290WZR/problems/chr4:40297096-49000000,188934,1.0106448990071892,9,1,4.36910111837587,2.0868330257562384,1.0,19.089044582593274,0,40,40,2.0,4.082258226517052,17.636804464743822,186945,41,0.0,1.0,2.0,0.9729467917752084
H3K4me3_TDH_ENCODE/samples/skeletalMuscle/ENCFF743PUV/problems/chr1:30028082-91800000,311622,1.0140380335038464,4,1,2.920743492899524,2.284456361512354,1.0,8.530742551314914,0,22,22,3.0,1.7179246516353188,2.633009906277745,307309,23,0.0,1.0,3.0,0.93890337593855
H3K4me3_TDH_ENCODE/samples/skeletalMuscle/ENCFF743PUV/problems/chr2:110251337-149690582,135696,1.0094851250920616,6,1,2.4403890227555243,1.6256862715924476,1.0,5.955498582385662,0,20,20,1.0,2.4086445768863283,6.179349051065765,134422,21,0.0,1.0,1.0,0.9135841287167984
H3K4me3_TDH_ENCODE/samples/skeletalMuscle/ENCFF743PUV/problems/chr3:93504854-194041961,434374,1.011696696416926,5,1,2.722590198630324,1.9666335160113009,1.0,7.412497389677904,0,21,21,2.0,2.0138979733880986,3.972275951894023,429353,22,0.0,1.0,2.0,0.9301537084974346
H3K4me3_TDH_ENCODE/samples/skeletalMuscle/ENCFF743PUV/problems/chr4:32840638-40296396,25642,1.0096070556736751,5,1,2.495952259918854,1.693767471160282,1.0,6.229777683794033,0,18,18,2.0,2.2181248678365737,4.866390489186037,25399,19,0.0,1.0,2.0,0.9173404098607488
H3K4me3_TDH_ENCODE/samples/skeletalMuscle/ENCFF743PUV/problems/chr4:40297096-49000000,28470,1.008465870851192,3,1,2.444434139928563,1.573498158118447,1.0,5.975258264448294,0,18,18,1.0,2.49776884264404,6.42731141373153,28232,19,0.0,1.0,1.0,0.9141625890922026
H3K4me3_TDH_ENCODE/samples/thyroid/ENCFF014AIG/problems/chr1:30028082-91800000,1273945,1.0038667084831188,6,1,1.3821841396672725,1.47858891649508,1.0,1.910432995947758,0,18,18,1.0,2.2967936622814347,10.599507321405946,1269039,19,1.0,1.0,2.0,0.7351595785785804
H3K4me3_TDH_ENCODE/samples/thyroid/ENCFF014AIG/problems/chr2:110251337-149690582,733876,1.004642121330349,56,1,1.8466003887670588,1.4233373397984357,1.0,3.409932995794653,0,80,80,1.0,16.557147904589463,505.3912780957948,730486,81,1.0,1.0,2.0,0.8492909983257716
H3K4me3_TDH_ENCODE/samples/thyroid/ENCFF014AIG/problems/chr3:93504854-194041961,2011594,1.003467450314096,5,1,1.2881526766335811,1.4196246316054122,1.0,1.6593373183182596,0,22,22,1.0,2.1564141611997334,10.727660927601818,2004644,23,1.0,1.0,2.0,0.6954844511894033
H3K4me3_TDH_ENCODE/samples/thyroid/ENCFF014AIG/problems/chr4:32840638-40296396,143343,1.0033317701078626,3,1,1.2439727608231277,1.3705168407201054,1.0,1.5474682296699138,0,15,15,1.0,2.089331371608924,10.014111589351726,142868,16,1.0,1.0,2.0,0.6736356781036146
H3K4me3_TDH_ENCODE/samples/thyroid/ENCFF014AIG/problems/chr4:40297096-49000000,172962,1.0036207917000313,3,1,1.2843352073988703,1.4036869193856294,1.0,1.6495169249642994,0,18,18,1.0,2.3451977968841566,12.831399397630378,172339,19,1.0,1.0,2.0,0.6935598715066918
H3K4me3_TDH_ENCODE/samples/thyroid/ENCFF020VFT/problems/chr1:30028082-91800000,1024171,1.0079937089648237,20,1,4.940598889132317,2.728711185473156,1.0,24.40951738329548,0,49,49,1.0,3.2147883987114514,11.003281053825424,1016050,50,1.0,1.0,2.0,0.9789821575100844
H3K4me3_TDH_ENCODE/samples/thyroid/ENCFF020VFT/problems/chr2:110251337-149690582,559996,1.006421373667156,44,1,3.9053995513940745,1.989520581427113,1.0,15.25214565602904,0,94,94,2.0,4.901805600091527,35.297195375443714,556424,90,0.0,1.0,2.0,0.9663146471183256
H3K4me3_TDH_ENCODE/samples/thyroid/ENCFF020VFT/problems/chr3:93504854-194041961,1599106,1.006315643741308,13,1,4.252377448651309,2.248303568563016,1.0,18.08271396579822,0,46,46,2.0,3.83548280023634,16.284267455656924,1589071,47,0.0,1.0,2.0,0.9717967237856704
H3K4me3_TDH_ENCODE/samples/thyroid/ENCFF020VFT/problems/chr4:32840638-40296396,116330,1.0060102910018591,13,1,4.118184713498537,2.052405825175551,1.0,16.95944533449303,0,40,40,2.0,4.36297551553255,20.86530926191025,115636,41,0.0,1.0,2.0,0.9698651515497216
H3K4me3_TDH_ENCODE/samples/thyroid/ENCFF020VFT/problems/chr4:40297096-49000000,137285,1.005721444060247,9,1,3.891914465270526,1.999728947657595,1.0,15.146998204981966,0,38,38,2.0,4.5803614156797945,23.854336673669856,136505,39,0.0,1.0,2.0,0.9663918521994268
H3K4me3_TDH_ENCODE/samples/thyroid/ENCFF482XRP/problems/chr1:30028082-91800000,1774578,1.0065940498697357,14,1,2.432259712700776,2.1269868640928804,2.0,5.91588731002726,0,30,30,2.0,3.428540496094652,16.154635933340487,1762954,31,1.0,2.0,3.0,0.9137362473841704
