sequenceID,sum_diff,mean_diff,max_diff,min_diff,std_deviation,mean,median,variance,min_value,max_value,range_value,iqr,abs_skewness,kurtosis,count,unique_count,percentile_25,percentile_50,percentile_75,autocorr
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr10:18024675-38818835,1445651,1.0990910922478645,610,1,94.64747722573836,28.857262437315445,10.0,8958.144945196664,0,1801,1801,10.0,7.68551681894038,73.55257539463861,1315316,1561,6.0,10.0,16.0,0.9998796612916924
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr1:17175658-29878082,1285666,1.2598109008812148,463,1,164.88739508319946,59.610733309554696,13.0,27187.853057323115,0,1885,1885,16.0,4.826681428284248,26.909971742679392,1020524,1805,7.0,13.0,23.0,0.9999411620540176
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr2:16329724-21153113,355527,1.1199746725386055,31,1,108.98761030837784,33.96994106028484,10.0,11878.299200730831,0,1457,1457,11.0,6.57390503442958,50.611739191691726,317443,1324,6.0,10.0,17.0,0.9999262010197048
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr3:60000-66170270,4970991,1.1202556377964257,102,1,111.27502857586262,33.81610132842112,10.0,12382.131984559044,0,2502,2502,12.0,7.459551192903588,72.69995301351072,4437373,2219,6.0,10.0,18.0,0.9999268629613736
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr4:52660117-59739333,471058,1.0887839018504737,38,1,87.81959689630949,26.88371813510784,10.0,7712.281599030292,0,1256,1256,11.0,7.267273635833956,61.55351907939736,432647,1195,5.0,10.0,16.0,0.9998984525093644
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr4:75452279-190000000,7424384,1.0681017774688215,312,1,73.16575343421887,23.27563854398692,10.0,5353.227475596911,0,1812,1812,10.0,8.249004433050162,86.59128277025106,6951009,1628,5.0,10.0,15.0,0.9998628699686466
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr5:100000-17500000,1116389,1.0807909872528527,454,1,85.03286249388658,25.3490616087316,9.0,7230.587703904223,0,1796,1796,10.0,8.182672984505523,84.58318296644178,1032938,1446,5.0,9.0,15.0,0.9998788108211274
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Stanford_/problems/chr10:18024675-38818835,1421571,1.5082789396845877,2680,1,280.2283629892109,63.309065233052486,7.0,78527.93542361296,0,5326,5326,10.0,7.914811114139027,77.74591606133176,942513,3850,4.0,7.0,14.0,0.9998532713729226
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Stanford_/problems/chr1:17175658-29878082,1729876,2.250643365850739,1449,1,487.0731022051261,146.28034711786785,11.0,237240.20689172525,0,5357,5357,29.0,5.146013531476706,30.33139042479133,768615,4796,5.0,11.0,34.0,0.9999280727019516
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Stanford_/problems/chr2:16329724-21153113,382096,1.6793952180028129,63,1,354.7734433581829,83.11147542424655,8.0,125864.1961122218,0,4235,4235,11.0,6.865277321112342,53.19323642396776,227521,3308,4.0,8.0,15.0,0.9999416067628504
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Stanford_/problems/chr3:60000-66170270,5335239,1.664628433200845,1882,1,351.79318609649005,81.79262410984617,8.0,123758.44578391968,0,9793,9793,12.0,8.128861599086163,93.84353262959648,3205064,5501,4.0,8.0,16.0,0.9999322950036996
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Stanford_/problems/chr4:52660117-59739333,454256,1.509121050341022,205,1,280.0648724399216,63.17913477382661,7.0,78436.33277478955,0,4478,4478,9.0,7.453950885561293,66.56818137986517,301008,2988,4.0,7.0,13.0,0.9999384999385256
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Stanford_/problems/chr4:75452279-190000000,6808960,1.413508311286709,1326,1,231.1778622880244,53.31167588562745,7.0,53443.20401206076,0,6934,6934,8.0,7.855285984804288,81.40596792019252,4817065,3973,4.0,7.0,12.0,0.999927506639975
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Stanford_/problems/chr5:100000-17500000,1092827,1.4283789188609848,865,1,256.2517757080223,55.42364423206371,7.0,65664.97255351457,0,5953,5953,9.0,9.33254613905047,118.20620356966074,765083,3498,4.0,7.0,13.0,0.9999256328501496
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__UTA_/problems/chr10:18024675-38818835,1836656,1.3073485038839865,901,1,190.1289274944033,40.958090132054735,10.0,36149.00907017207,0,4599,4599,13.0,10.126290922807415,128.1379407511898,1404872,3331,5.0,10.0,18.0,0.999897504367604
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__UTA_/problems/chr1:17175658-29878082,2102665,1.763377132659291,1476,1,329.61687238898446,88.31901973232338,14.0,108647.28256349606,0,4819,4819,21.0,6.414410534319544,47.765771965491496,1192409,4018,7.0,14.0,28.0,0.9999158446547703
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__UTA_/problems/chr2:16329724-21153113,494139,1.4080400979081953,56,1,233.5190635078912,52.03252674231069,10.0,54531.153021602535,0,3572,3572,14.0,8.600690090320647,85.97946672471112,350942,2870,5.0,10.0,19.0,0.999924318540633
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__UTA_/problems/chr3:60000-66170270,6992056,1.4153515426135417,1107,1,239.8562779476765,52.53808989027877,10.0,57531.03407091304,0,6786,6786,15.0,9.405544199782709,113.8354973970348,4940156,4589,5.0,10.0,20.0,0.9999219786176357
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__UTA_/problems/chr4:52660117-59739333,615433,1.317344389813711,56,1,192.3080751815088,41.54272461460086,10.0,36982.395780016814,0,3228,3228,12.0,9.107474975592543,97.25044502757062,467178,2660,5.0,10.0,17.0,0.9999177982938554
