sequenceID,min.log.lambda,max.log.lambda
1_chr1,0.195727052,inf
1_chr11,-100,2.067398084
1_chr17,-1.810653194,inf
1_chr2,-1.108755361,inf
1_chr3,-1.000656424,inf
1_chr4,-0.995123242,inf
10_chr1,-1.507914102,inf
10_chr11,-2.604480415,inf
10_chr17,-1.445994305,inf
10_chr2,-2.247432777,inf
10_chr3,-2.372064251,inf
10_chr4,-3.834173644,inf
100_chr1,-1.151406862,inf
100_chr11,-1.822545646,inf
100_chr17,-3.408032112,inf
100_chr2,-1.591491646,inf
100_chr3,-2.202733133,inf
100_chr4,-2.733281342,inf
101_chr1,-0.782329303,inf
101_chr11,-2.104611576,inf
101_chr17,-2.687234841,inf
101_chr2,-100,2.807504809
101_chr3,-0.895748525,inf
101_chr4,-2.328503768,inf
102_chr1,-100,3.995251872
102_chr11,-3.514593266,inf
102_chr17,-100,1.277816799
102_chr2,-100,2.613329814
102_chr3,-1.769221001,inf
102_chr4,-4.012624598,inf
103_chr1,-100,4.570874407
103_chr11,-1.48726828,inf
103_chr17,-100,1.95162954
103_chr2,-100,3.882075381
103_chr3,-2.89588781,inf
103_chr4,-2.583988256,inf
104_chr1,-100,3.08952458
104_chr11,-1.378482858,inf
104_chr17,-100,2.364707728
104_chr2,-100,3.824040468
104_chr3,-1.414334806,inf
104_chr4,-1.402925807,inf
105_chr1,-2.45069953,inf
105_chr11,-3.475345317,inf
105_chr17,-2.989606531,inf
105_chr2,-2.404577146,inf
105_chr3,-3.559461661,inf
105_chr4,-4.004569602,inf
106_chr1,-1.529125655,inf
106_chr11,-100,2.984423361
106_chr17,-100,2.839004109
106_chr2,-100,-1.01724705
106_chr3,-2.111934122,inf
106_chr4,-2.995682084,inf
107_chr1,-1.322606587,inf
107_chr11,-1.378524148,inf
107_chr17,-3.103018406,inf
107_chr2,-2.676370439,inf
107_chr3,-1.412212203,inf
107_chr4,-1.904675165,inf
108_chr1,-0.837543336,inf
108_chr11,-100,2.032879937
108_chr17,-100,2.027730088
108_chr2,-3.261977492,inf
108_chr3,-3.525873913,inf
108_chr4,-1.536434328,inf
109_chr1,-1.758774326,inf
109_chr11,-3.47823584,inf
109_chr17,-1.667073155,inf
109_chr2,-1.556841767,inf
109_chr3,-1.830179841,inf
109_chr4,-1.863765519,inf
11_chr1,-100,2.394732877
11_chr11,0.552800358,inf
11_chr17,1.036932358,inf
11_chr2,-0.456570393,inf
11_chr3,-0.249593971,inf
11_chr4,-100,0.730793396
110_chr1,-1.01731325,inf
110_chr11,-3.02683221,inf
110_chr17,-2.56337069,inf
110_chr2,-1.758939357,inf
110_chr3,-2.775597242,inf
110_chr4,-2.539664599,inf
111_chr1,-0.468300692,inf
111_chr11,-1.851090867,inf
111_chr17,-1.04098873,inf
111_chr2,-2.059756969,inf
111_chr3,-2.368433871,inf
111_chr4,-0.879888663,inf
112_chr1,-1.400877387,inf
112_chr11,-100,3.468358863
112_chr17,-100,2.683703682
112_chr2,0.512085739,inf
112_chr3,-2.585431152,inf
112_chr4,-0.480703595,inf
113_chr1,-100,0.899563408
113_chr11,-100,1.246556144
113_chr17,-100,1.139119366
113_chr2,-100,1.696085099
113_chr3,-1.939836795,inf
113_chr4,-100,-0.173795938
114_chr1,-2.098289129,inf
114_chr11,-100,1.933085686
114_chr17,-100,2.317648996
114_chr2,-100,1.935459268
114_chr3,-100,2.213348089
114_chr4,-3.922498605,inf
115_chr1,-1.467379426,inf
115_chr11,-100,2.010858669
115_chr17,-100,1.871579447
115_chr2,-100,1.321685201
115_chr3,-100,1.916784874
115_chr4,-100,0.887542085
116_chr1,0.443473657,inf
116_chr11,-1.834497382,inf
116_chr17,-1.289467538,inf
116_chr2,-1.779989849,inf
116_chr3,-1.889724447,inf
116_chr4,-0.404646713,inf
117_chr1,0.091868834,inf
117_chr11,-2.296833253,inf
117_chr17,-1.166985403,inf
117_chr2,-2.942354184,inf
117_chr3,-2.694319532,inf
117_chr4,-1.391693763,inf
118_chr1,-1.146891762,inf
118_chr11,-0.1853377,inf
