sequenceID,sum_diff,mean_diff,max_diff,min_diff,std_deviation,mean,median,variance,min_value,max_value,range_value,iqr,abs_skewness,kurtosis,count,unique_count,percentile_25,percentile_50,percentile_75,autocorr
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr10:18024675-38818835,1155971,1.0837488902076706,7,1,4.916953314942956,5.649954717702847,4.0,24.17642990132852,0,44,44,6.0,1.6359004488261997,3.347190594824262,1066642,45,2.0,4.0,8.0,0.9738017059788238
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr10:51448845-125869472,4321232,1.085576574510242,8,1,5.0152750105642045,6.034376328321343,5.0,25.15298343158978,0,43,43,7.0,1.3320983588763515,1.805716025480153,3980588,44,2.0,5.0,9.0,0.9747069392035914
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr11:96437584-134946516,2070520,1.0841412171272238,8,1,5.027433123740483,5.74096488371192,4.0,25.275083813683,0,52,52,6.0,1.4939589433868028,2.478409925501395,1909826,53,2.0,4.0,8.0,0.974930506516958
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr12:37856694-109373470,4451976,1.088304719141555,10,1,5.200471267381022,6.225668185134982,5.0,27.04490140285557,0,89,89,7.0,1.431361490446193,2.5158423200607896,4090745,87,2.0,5.0,9.0,0.9763037875184876
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr12:7239876-34856694,1721771,1.0875726092328373,8,1,5.152899529155199,6.123535419955241,5.0,26.552373557567872,0,69,69,6.0,1.555014718807799,3.0953851165086466,1583133,70,2.0,5.0,8.0,0.9759092791092222
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr13:19020000-86760324,3780069,1.0853412977171784,42,1,4.947621027933769,5.667901482698028,4.0,24.4789538360524,0,65,65,6.0,1.5670912014159395,2.8638358256341188,3482840,63,2.0,4.0,8.0,0.9740038832125456
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr14:19000000-107289540,5326348,1.086721260334756,14,1,5.022695776508948,6.1415956413214285,5.0,25.227472863360823,0,113,113,7.0,1.427436017436331,3.8690136520004703,4901302,105,2.0,5.0,9.0,0.9746988747413696
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr15:29209443-82829645,3505020,1.089464241532067,8,1,5.213885694248904,6.6740936287084685,5.0,27.18460403269337,0,62,62,7.0,1.175142996446359,1.4593202635249938,3217197,61,3.0,5.0,10.0,0.9763550538921608
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr16:46385801-88389383,2522185,1.146456065135019,44,1,86.61083419408459,14.142665063625431,5.0,7501.436599795212,0,2556,2556,7.0,15.023182736456771,268.19399913439827,2199985,2223,2.0,5.0,9.0,0.999866374289506
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr17:34725848-62410760,1992374,1.0905895193877204,11,1,5.5642438912723575,7.315472453293294,6.0,30.960810081561743,0,83,83,7.0,1.4169010618251932,4.981931277827968,1826879,84,3.0,6.0,10.0,0.9791759827891744
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr17:62460760-77546461,874676,1.0822626306620209,6,1,4.922334327842911,6.052968783446528,5.0,24.22937523506072,0,39,39,7.0,1.315383577693509,1.89958915228622,808193,40,2.0,5.0,9.0,0.9739717921407662
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr18:18510898-52059136,1776409,1.089099192498717,57,1,13.219022984544722,5.8361327020959095,4.0,174.74256866592165,0,1154,1154,6.0,43.53055716848358,2777.2539553643546,1631082,630,2.0,4.0,8.0,0.99614831016187
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr1:3995268-13052998,542306,1.0848267957055495,6,1,4.942349847834976,6.5200179235130085,5.0,24.42682201839441,0,36,36,6.0,1.0272475848774556,0.8930844333694892,499902,36,3.0,5.0,9.0,0.973994622985975
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr2:21178113-87668206,4350374,1.089240158810081,8,1,5.140938191765116,6.477049310032114,5.0,26.42924549154917,0,46,46,6.0,1.2663441231347652,1.706060563647438,3993954,47,3.0,5.0,9.0,0.9756932805663058
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr3:60000-66170270,4377414,1.0886774081631891,12,1,5.217661578030295,6.537634772297242,5.0,27.223992342853595,0,47,47,6.0,1.2584915155113552,1.5796472779803934,4020856,48,3.0,5.0,9.0,0.9764384288187002
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr4:75452279-191044276,6389846,1.0847253745278616,9,1,4.875458646386265,5.545038145390969,4.0,23.770097012622585,0,55,55,5.0,1.6516175350362514,3.317631342763019,5890751,56,2.0,4.0,7.0,0.9733022037441806
